link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=57435&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/03/31/6063ceed4d9b5.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57434&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/02/621f38650dc2a.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51763&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/03/02/621f389f364e0.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51753&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/05/02/5ae90de01c0e4.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51764&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/10/06/615d3bbf4e365.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57433&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/01/17/5c402a4a00fbc.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=74588&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/05/15/6461f00c310fe.jpg,호텔,호텔,9.1 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=70213&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/31/64f01c07c7400.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=67769&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/05/17/60a24896cdb03.jpg,호텔,호텔,9.0 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=49688&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/02/22/5c6fbd4c90939.jpg,호텔,호텔,9.1 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=70936&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/13/650168a537abd.jpg,호텔,호텔,9.1 추천해요,1,400,000원,1,400,000원
https://www.goodchoice.kr/product/detail?ano=48951&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/07/12/5d28096981820.jpg,호텔,호텔,9.0 추천해요,남은 객실 1개 253,000원,남은 객실 1개 253,000원
https://www.goodchoice.kr/product/detail?ano=54760&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/09/22/632ba76ebd516.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
