link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=74091&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/08/17/64ddd62e410b8.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=65555&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/06/26/5ef5c73b1a952.jpg,호텔,호텔,9.6 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=6884&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2016/06/22/5769f802ec666.jpg,호텔,호텔,9.6 최고에요,224,070원,224,070원
https://www.goodchoice.kr/product/detail?ano=60907&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/04/26/60866fa413b96.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=74692&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/05/22/646b0735ae1b6.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=48192&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2017/10/12/59df070a95fd5.jpg,호텔,호텔,8.7 만족해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=68867&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/11/05/6184d017eace9.jpg,호텔,호텔,9.7 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=11158&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2016/12/09/584a4ac86baf3.jpg,호텔,호텔,9.4 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=57160&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/02/21/5e4f8b55d3730.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=6451&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2016/06/01/574e493d012b8.jpg,호텔,호텔,9.1 추천해요,판매 완료,판매 완료
