link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=68536&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/12/29/61cc26b285028.jpg,호텔,호텔,8.8 만족해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=74094&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/03/31/6426a6b54e93f.jpg,호텔,호텔,8.5 만족해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=66722&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2020/11/12/5facd1c4769bd.jpg,호텔,호텔,8.9 만족해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=71073&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/07/13/62ce43f37dd41.jpg,호텔,호텔,9.7 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=75779&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/10/06/651f74087fa25.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=67442&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/07/01/62beaeae50f53.jpg,호텔,호텔,9.5 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=67762&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/05/07/6094c1a7028c3.jpg,호텔,호텔,9.0 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=6325&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2016/05/17/573ade296aabc.jpg,호텔,호텔,8.2 만족해요,남은 객실 1개 200,000원,남은 객실 1개 200,000원
https://www.goodchoice.kr/product/detail?ano=74439&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/09/08/64fa7dfeab2c4.jpg,호텔,호텔,9.4 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=67686&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/04/16/60794d15d21ec.jpg,호텔,호텔,9.7 최고에요,107,250원,107,250원
