link,img,type,grade,rate&comment,simpleLocation,status
https://www.goodchoice.kr/product/detail?ano=70163&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/02/10/6204da5a97f08.jpg,호텔,호텔,9.8 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=6798&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2021/12/30/61cd5eb540030.jpg,호텔,호텔,9.3 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=45252&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2017/03/07/58be3e1bd93ac.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=48187&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2019/07/05/5d1f36b1d84a3.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=76226&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/10/11/6525ee13b43a6.jpg,호텔,호텔,,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=73685&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/02/10/63e5e0671e58c.jpg,호텔,호텔,9.6 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=6534&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/08/07/5b695306dc33f.jpg,호텔,호텔,9.5 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=6264&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2023/01/30/63d7641ad61a2.jpg,호텔,호텔,9.1 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51906&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/09/07/5b91cb5156365.jpg,호텔,호텔,9.5 추천해요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=72776&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/12/14/639916973b0a8.jpg,호텔,호텔,9.8 최고에요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=51149&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/07/12/5b472eee0884d.jpg,호텔,호텔,9.3 추천해요,숙박 다른날짜 확인,숙박 다른날짜 확인 
https://www.goodchoice.kr/product/detail?ano=71695&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2022/09/28/633415692bab7.jpg,호텔,호텔,9.6 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=50756&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2018/04/24/5aded7766b259.jpg,호텔,호텔,9.6 최고에요,판매 완료,판매 완료
https://www.goodchoice.kr/product/detail?ano=49442&adcno=2&sel_date=2023-10-14&sel_date2=2023-10-15,//image.goodchoice.kr/resize_1000X500x0/affiliate/2017/12/22/5a3ca880e23d5.jpg,호텔,호텔,9.4 추천해요,판매 완료,판매 완료
