Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
70000,[커피 2인 제공] 마운틴 노블 스위트_증축,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/08/25/63071042ad6a3.jpg,70000,241,2
 80000,[커피 2인 제공] 마운틴 테라스 스위트_증축,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2019/06/21/5d0c61ddeb439.jpg,80000,241,2
 60000,마운틴 노블 스위트_증축,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/08/25/63071042ad6a3.jpg,60000,241,1
 60000,마운틴 테라스 스위트_증축,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2019/06/21/5d0c61ddeb439.jpg,60000,241,4
 70000,[스카이 1340 2매 제공] 마운틴 노블 스위트_...,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/08/25/63071042ad6a3.jpg,70000,241,1
 90000,[스카이 1340 2매 제공] 마운틴 테라스 스위...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2019/06/21/5d0c61ddeb439.jpg,90000,241,4
 50000,힐 슈페리어,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efe91e434a29.jpg,50000,242,1
 100000,힐 슈페리어 온돌,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efe91f98645d.jpg,100000,242,4
 100000,힐 그랜드 디럭스,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efe905fae619.jpg,100000,242,3
 60000,힐 갤러리 스위트,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efe8fcee089e.jpg,60000,242,4
 90000,힐 펫룸,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/22/62d9e9e935547.jpg,90000,242,3
 100000,[커피 2인 제공] 힐 펫룸,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/22/62d9e9e935547.jpg,100000,242,4
 60000,[스카이 1340 2매 제공] 힐 펫룸,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/22/62d9e9e935547.jpg,60000,242,1
 80000,스탠다드 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee6d39a3f9.jpg,80000,243,1
 70000,스탠다드 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee7ac52ade.jpg,70000,243,2
 70000,스탠다드 트리플,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee8d6b8e11.jpg,70000,243,1
 100000,스탠다드 온돌,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee94d0f51b.jpg,100000,243,1
 70000,스탠다드 투 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeea0934d2c.jpg,70000,243,2
 90000,[스카이 1340 2매 제공] 스탠다드 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee6d39a3f9.jpg,90000,243,1
 80000,[스카이 1340 2매 제공] 스탠다드 트윈,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee7ac52ade.jpg,80000,243,3
 80000,[사우나&수영장 2인] 스탠다드 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee6d39a3f9.jpg,80000,243,2
 60000,[사우나&수영장 2인] 스탠다드 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee7ac52ade.jpg,60000,243,2
 60000,[스카이 1340 2매 제공] 스탠다드 트리플,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee8d6b8e11.jpg,60000,243,2
 100000,[스카이 1340 2매 제공] 스탠다드 온돌,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee94d0f51b.jpg,100000,243,3
 60000,[사우나&수영장 2인] 스탠다드 트리플,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee8d6b8e11.jpg,60000,243,3
 50000,[사우나&수영장 2인] 스탠다드 온돌,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee94d0f51b.jpg,50000,243,2
 70000,[스카이 1340 2매 제공] 스탠다드 투 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeea0934d2c.jpg,70000,243,1
 100000,[사우나&수영장 2인] 스탠다드 투 더블,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeea0934d2c.jpg,100000,243,4
 80000,주니어스위트 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee9ce9d3f2.jpg,80000,243,3
 100000,주니어스위트 패밀리,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/10/15/5f87b4d67ab84.jpg,100000,243,2
 50000,[스카이 1340 2매 제공] 주니어스위트 더블,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee9ce9d3f2.jpg,50000,243,3
 80000,[스카이 1340 2매 제공] 주니어스위트 패밀리,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/10/15/5f87b4d67ab84.jpg,80000,243,2
 70000,[사우나&수영장 2인] 주니어스위트 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efee9ce9d3f2.jpg,70000,243,2
 70000,[사우나&수영장 2인] 주니어스위트 패밀리,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/10/15/5f87b4d67ab84.jpg,70000,243,3
 50000,슈페리어 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2021/07/20/60f69e1c3d918.jpg,50000,244,3
 90000,슈페리어 트리플,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4a3b7f98.jpg,90000,244,3
 90000,슈페리어 온돌,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4b1ef92b.jpg,90000,244,3
 50000,슈페리어 더블 온돌,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4c3c6962.jpg,50000,244,2
 90000,[스카이 1340 2매 제공] 슈페리어 더블,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2021/07/20/60f69e1c3d918.jpg,90000,244,1
 80000,[스카이 1340 2매 제공] 슈페리어 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4937a29e.jpg,80000,244,2
 70000,[사우나&수영장 2인] 슈페리어 더블,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2021/07/20/60f69e1c3d918.jpg,70000,244,1
 60000,[사우나&수영장 2인] 슈페리어 트윈,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4937a29e.jpg,60000,244,4
 80000,[스카이 1340 2매 제공] 슈페리어 온돌,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4b1ef92b.jpg,80000,244,1
 80000,[스카이 1340 2매 제공] 슈페리어 트리플,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4a3b7f98.jpg,80000,244,3
 60000,[사우나&수영장 2인] 슈페리어 트리플,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4a3b7f98.jpg,60000,244,1
 80000,[사우나&수영장 2인] 슈페리어 온돌,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/03/5efeb4b1ef92b.jpg,80000,244,1
