Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
수원역 J호텔제이호텔,경기 수원시 팔달구 매산로1가 1114,9.2,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/3468/422268/eaed29d47500708f8cdc488356470392.jpg,050440400633,사장님 한마디                    수원역 J(제이)호텔입니다.고사양 게이밍커플2PC룸 초특가할인커플노래방(커플들에게강력추천!!)  파티노래방(46인파티를위한 스위트룸)이 있습니다. 선착순으로 할인되오니 많은 이용바랍니다. 미성년자는 출입이 불가하며 나이확인을 위한 신분증이 없으면 입실이 불가합니다. 체크인시 인원 및 나이와 신분증을 확인하고 있습니다. (신분증 확인이 되지않을시 환불은 불가합니다. )디럭스 특가 객실엔 따로 이불이 제공되지는 않습니다.인원추가시 트윈 객실이나 트리플 객실을 이용해 주세요.정해진 인원외에 다른 사람이 무단입실시 환불없이 즉각 퇴실처리됩니다. 전객실 기준인원 외에 추가 되는 인원에대한 추가요금은 현장에서 발생됩니다.모든 객실은 2인 기준이며 3인이상시 1인인원 추가비용은 15 000원입니다.노래방객실 예약하신분은 참고부탁드립니다~~ 노래방 사용제한시간은 새벽02~아침09까지 입니다~~만족스러운 이용이 되도록 성의껏 모실 것을 약속드립니다. 감사합니다.                혜택안내객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보1층 대형 주차장을 보유한 숙소 입니다.차량 주차는 객실당 1대만 주차가능합니다.추가주차시 대실은 1만원  숙박은 2만원이 별도 부과됩니다.총 40대 주차시설 보유지하철 정보1호선 수원역,1
 의정부 반월,경기 의정부시 의정부동 2007,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/2067/196113/816d945dd60895ab6007368e1ded7c28.jpg,050440532917,사장님 한마디                    ★☆ 테블릿 적립 이벤트☆★테블릿 터치 후 핸드폰 번호 누르시면 현금 10% 카드 5% 어플예약자 100포인트 지급 및대실 숙박 최대 50% 할인권 문자발송해 드립니다카카오톡 플러스친구에 의정부 반월을 친구 추가해주세요최초 가입자 2000원 적립해드리며 대실  숙박 최대 50% 할인권 문자발송 해드립니다★☆게이밍노하드 커플 PC☆★i5 7400  32인치 커브드 모니터 지포스1050 6gb   16gb메모리   기계식 청축키보드   게이밍 러버마우스   7.1 채널진동 헤드셋   PC방 의자★☆ 바디프렌드 안마의자  75인치 UHD TV  노래방  파티룸  150인치 빔 스크린  2인 월풀 or 스파☆★★☆10가지 보드게임 및 파티용품☆★★☆지상 1층  B1층 총 40대 주차 시설을 보유한 호텔☆★입실전 & 퇴실 후 주차가능★☆렌즈 세척액 & 렌즈통 무료 제공☆★1회용 렌즈세척액과 렌즈통을 무료로 제공합니다★☆다양한 먹거리가 가득한 샐러드바 및 조안나 3가지맛 아이스크림롯데칠성 4가지 탄산음료 및 원두커피 무료제공맛있고 다양한 종류의 샐러드 및 아이스크림을 제공하고 있습니다자유롭게 이용가능하지만 꼭!! 드실만큼만 담아주세요^^★☆이용후기이벤트☆★객실 사용 후 예쁜 사진 후기 부탁드립니다한달에 한 번 추첨을 통하여 vip 파티룸 숙박 대실권 당첨해드립니다당첨되신 분도 또 당첨기회가 부여되니 지속적인 좋은 후기 부탁드립니다★☆전화예약 및 환불 규정안내☆★[예약입금계좌]국민은행 27270104336022예금주 : 주식회사 홍준입금하신 고객님께서는 031)8463600으로 연락주시면 확인도와드리겠습니다[예약환불규정]4일전 100% 환불3~2일전 50% 환불전일 및 당일은 환불 불가입니다불숙관련 안내사항익일 01시까지 호텔측과 연락이 안될시에는 불숙으로 간주하며 객실을 판매할 수 있습니다그러나 고객님이 도착하였다면 결제 금액과 동일한 금액으로 환불 받으실 수 있습니다저희 호텔은 미성년자의 투숙은 불가하며동안이신 고객의 경우 입실 시 신분증 확인을 진행하고 있습니다.신분증 확인의 경우 실물 신분증(여권 주민등록증 운전면허증) 미지참시 입실이 불가하며위 사항으로 인해 예약취소 및 환불은 불가하오니 양해 부탁드립니다.혜택안내요금할인객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보 B1층  지상1층 주차시설을 보유한 숙소입니다. 발렛 서비스 운용  만차시 차량키는 카운터로 부탁드립니다. 총 40대 주차공간 보유총 40대 주차시설 보유지하철 정보1호선 의정부역의정부경전철 의정부중앙역주변 정보1호선 의정부역 (도보5분거리)의정부경전철 중앙역 (도보5분거리)공항버스 정류장 (도보2분거리)신세계 백화점 (도보5분거리)부대찌개 거리 (도보5분거리)의정부 로데오 거리(도보3분거리)의정부 시청 (차량10분거리)경기제2청사 (차량15분거리)객실내부 시설1회용 어메니티는 객실료에 포함되어 있습니다.AMENITIES ARE INCLUDED IN THE ROOM RATE.프런트 및 그 외 시설 다양한 먹거리가 가득한 샐러드바 오픈 !! 맛있고 다양한 종류의 샐러드류를 마음껏 드실 수 있는 샐러드바를 오픈하였습니다. 샐러드바는 프론트 옆에 준비되어 있으며  자유롭게 이용 가능하지만 꼭 ! 드실 만큼만 담아 주세요. 외관 기타시설에 샐러드바 사진이 있으며  과일은 제철 과일에 따라 변동 될 수 있습니다,2
 수원역 71번가71st,경기 수원시 팔달구 매산로2가 2780,9.1,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/4453/25452/3ef81f9e6a973458e360a10140f082e9.jpg,050448840425,사장님 한마디                    해충  미세먼지 박멸 세스코 가입 !!뽀송뽀송 새 수건 교체모텔속의 작은 편의점  편의점보다 저렴한 가격으로 71미니 도 많이 이용해주세요.소프트아이스크림이 준비되어있어요.오래 머무시는동안 편안히 계시길 바라며  정성껏 준비했습니다.컴포트룸 숙박 이용 시 스페셜어메니티 증정컴포트룸 이용시 기본제공 음료이외에 탄산음료 2개 스페셜어메니티  71에만 있는 미국과자 증정                혜택안내요금할인주차장 정보감사합니다~저희 71모텔은 모텔1층 입구 옆 14대 전용 주차장을 보유 하고있습니다.공지)1객실당 1주차를 원칙으로 하고있습니다(차량 추가시 주차비 1만원 주말 입차불가 및 대실료 발생 합니다)조기주차시 모텔에 문의 바랍니다 (토요일 조기주차 불가)탑차 주차불가 (주차장 높이에 의해 입차가 불가합니다)총 14대 주차시설 보유지하철 정보1호선 수원역주변 정보수원역 먹자골목(로데오거리) 한신포차 바로 앞 골목에 위치해 있습니다^^객실내부 시설 씨네호텔 무료영화프런트 및 그 외 시설저희 71에서는 TV화면으로 PC 씨네호텔에서 제공하는 무료 영화를 시청하실수 있습니다.추가 안내사항미성년자 및 신분증 미지참시 입실불가(환불 취소불가!!),3
 수원역 호텔하루,경기 수원시 팔달구 매산로2가 2635,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74655/514539/cde213f66063df0c359e9a8e0293762a.jpg,050440417865,사장님 한마디                    안녕하세요 여기어때 고객님! 수원역 호텔하루입니다.2023년 06월 ALL 리모델링 완료하여 쾌적한 시설 및 친절한 서비스로 고객님들을 찾아뵙겠습니다.항상 저희 호텔하루를 이용해주심에 큰 감사드립니다.                주차장 정보총 15대 주차시설 보유지하철 정보1호선 수원역수인분당선 수원역객실내부 시설 2023년 6월 리모델링 완료!얼음컵 및 원두커피 제공한강 라면기계 설치 (라면무료제공) PC객실 고사양 2PC 설치 넷플릭스 무료시청 가능 갤러리창 설치 모든 입실 고객님들의 신분증을 확인하고 있으니  이 점 양해 부탁드립니다.(신분증 미지참시 입실 절대불가)사전연락 없이 새벽 6시까지 입실하지 않을시 노쇼처리 되니 참고 부탁드립니다.,4
 르컬렉티브 시흥 웨이브파크,경기 시흥시 정왕동 2725,9.7,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/11/64d5a097da005.jpg,16447694,사장님 한마디                    함께 만나는 특별함 BEYOND STAY  르 컬렉티브  르 컬렉티브  는 어반스테이가 런칭한 프리미엄 스테이 브랜드로 함께하는 분들과의 특별한 시간을 위해 공간 내 모든 경험을 세심하게 collective 하였습니다                주변정보시흥종합터미널 차량17분소래습지생태공원 차량 25분갯골생태공원 차량 27분공지사항[체크인 아웃 안내 사항]비대면 체크인으로 입실 정보는 체크인 당일 13시 이전에 연락처로 발송됩니다당일 예약의 경우  입실 정보 전송까지 1시간 이내 대기 시간이 발생할 수 있습니다얼리 체크인 및 레이트 체크아웃 요청 시  별도 비용이 발생하며 현장 상황에 따라 불가 할 수 있습니다[모바일 프론트 안내]운영시간 : 09:00~23:00 (점심시간 : 12:00~13:00)어반스테이 공식 홈페이지의 챗봇을 통해 상담 및 문의가 가능합니다기본정보체크인 : 16:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의무료 WiFi전 객실 금연일회용 칫솔 치약 세트 미제공   대용량 욕실 어메니티 비치주차 가능 (객실당 1대 무료  건물 내 지하 1층~지상 6층)인원 추가 정보전 객실 최대 인원까지 추가 비용 없이 투숙 가능침대 추가 불가침구 추가 : 토퍼 1채당 30 000원 (슈퍼싱글 토퍼+이불)토퍼 서비스(유료)는어반스테이 고객센터를 통해 신청 가능합니다토퍼 서비스(유료)는 수량이 한정되어 있어  선착순으로 마감될 수 있으며  호텔 사정에 따라 예고 없이 종료될 수 있습니다36개월 이하 영  유아의 경우 인원수에 불포함   최대인원 초과 불가투숙객 혜택짐 보관 가능   L층 (4층)전 객실 넷플릭스 이용 가능 (개인 계정)투숙 기간 중 알림톡 제시 할 경우 인유어코너카페 전 메뉴 10% 할인 제공부대시설 정보위치 : L층 (4층)   파노라마풀  프라이빗 패밀리 스파  프라이빗 패밀리 사우나이용시간 : 07:00~23:00풀&스파 안내데스크 : 0314991102   이용 관련하여 자세한 내용은 공식 홈페이지 상에서   부대시설 이용 안내  를 확인해 주세요조식 정보4층 (L층) 그레잇(GReat)   07:30~10:30   한식반상 (한우육개장 or 한우고기곰탕 + 3찬 + 계절샐러드)현장 상황에 따라 메뉴 변동 가능성이 있습니다아기용품 대여 안내고객센터를 통하여 아기용품 무료 대여 가능 (한정 수량으로 수량 마감시 대여가 불가)대여 상품 : 침대가드  아기의자  방수패드  아기베개  변기커버+계단세트취사 시설전 객실 간단 취사 가능객실 내 육류  튀김류  생선류 조리 금지취소 및 환불 규정체크인일 기준 2일 전 17시까지 : 100% 환불체크인일 기준 2일 전 17시 이후~당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다객실 이미지와 객실 전망 및 구조는 상이할 수 있습니다.객실 인테리어 및 방향  소품 등은 사진과 상이할 수 있습니다.전 객실 애완동물 출입이 불가합니다미성년자는 보호자 동반 없이 이용이 불가합니다화재경보기가 매우 민감하여 흡연 및 연기가 많이 나는 음식류의 조리는 삼가 바랍니다객실을 포함한 건물 내 모든 공간은 금연이며  위반 시 150 000원의 손해배상금 및 즉시 퇴실 조치 됩니다 (해당 사유로 인한 취소 환불 불가)객실에 비치된 물품을 파손 또는 분실하는 경우  최초 구매가를 기준으로 배상 책임이 발생합니다,5
 의정부 STAGE79,경기 의정부시 의정부동 5074,9.7,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/46728/510858/4777666f169a03a595828ddcff7ceb0a.jpg,050240112306,주차장 정보총 20대 주차시설 보유지하철 정보1호선 의정부역의정부경전철 경전철의정부역의정부경전철 의정부시청역객실내부 시설★ 동절기 야외노천당 이용불가 (2022.11.28~  )★20.12.07 의정부 최초 글램핑&바베큐&프리미엄PC OPEN!! 의정부 4PC룸 i59600 RTX2070 200hz모니터 smat65  TV4명이 편안한 주무실수있는 2층침대 OPEN!! 의정부 3PC룸 i59600 RTX2070 200hz모니터 smat65  TV3명이 편안하게 주무실수있는 더블&싱글 침대 보유! 의정부 최초 글램핑장 OPEN!!밤하늘 별을 따면서 글램핑&야외노천&바베큐 가능! 의정부 최초 야외 노천탕 OPEN!!밤하늘 별을 따면서 야외노천&바베큐 가능! 의정부 최초 시네마룸 OPEN!!엄청난 대형스크린 & 최고급 리클라이너 보유! 의정부 최초 키친파티룸 OPEN!!가족 연인 요리솜씨를 한번 뽐낼수있는 객실보유! 의정부 최초 로얄스위트 OPEN!!초대형 SMAT82  TV  최고급 쇼파 객실보유! 의정부   찐  거울룸 OPNE!!아찔한 밤을 보낼수있는 객실 보유!프런트 및 그 외 시설 전 객실 울트라초고속 충전기! 전 객실 개별 WiFi ZONE! 전 객실 최고급 라텍스 메모리폼 매트릭스! 전 객실 고데기&헤어드라이기 설치! 최신 다양한 게임 렉없이 즐기는 의정부 최고의PC사양! 프론트 렌즈통  일회용 렌즈케이스 무료증정!추가 안내사항 유료게임은 해당 개인 라이센스 구매필요 불법 프로그램 이용 시 취소 환불 불가 이용빈도가 낮은 게임 호텔로 문의 예약이 마감되었더라도 현장 객실판매중이니전화로 문의주시면 예약가능합니다 모든 객실 요금은 2인 입실 기준글램핑  4PC  3PC  키친파티룸 포함0318719438문의 전화주시면 예약완료 당일 취소  환불불가입실전 신분증 요구할시(주민등록증 운전면허증)미성년자 또는 미지참으로 인해 입실이 거부되는 경우 취소 환불 절대 불가합니다.현장에서 1인당 10 000원 추가비용 발생동절기 야외노천탕 이용이 불가합니다.기본적으로 부탄가스로스타 있습니다.추가적으로 바베큐이용시바베큐 이용시간 17시 ~ 23시바베큐세트 대여 (참숯+일회용 불판) : 3만원,6
 일산 Hotel Feel Green,경기 고양시 일산동구 백석동 13061,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/66620/525406/a0bbb250af7a404275dd8de10d7b006d.jpg,050440063076,사장님 한마디                    연박 (연속숙박) 이용시 금액 발생. 평일 (월요일 ~ 금요일) 연박시   대실비용  없음   주말 (토요일 일요일 공휴일) 연박시   대실비용  1회 발생 (3만~5만)  연박 이용시 참고 부탁드립니다.                혜택안내요금할인주차장 정보객실 당 1대 주차가능(차량 추가 시 사전 문의)문의사항은 필그린호텔 0319075277로 연락 부탁드립니다.총 60대 주차시설 보유지하철 정보3호선 백석역경의중앙선 곡산역주변 정보백석역 1번  2번출구 도보 1분고양종합터미널 도보 5분코스트코 도보 5분일산병원 도보 10분행신역 차량 15분웨스턴돔 차량 15분라페스타 차량 15분일산호수공원 차량 15분킨텍스 차량 15분아쿠아플라넷 일산 차량 15분현대모터스튜디오 고양 차량 15분인제대학교일산백병원 차량 15분동국대학교일산병원 차량 15분국립암센터 차량 15분CHA의과대학교 일산차병원 차량 15분자유로 진입 차량 15분고양스타필드 차량 20분마곡지구 차량 20분김포공항 차량 30분인천공항 차량 30분상암월드컵경기장 차량 30분객실내부 시설커피포트냉장고드라이기 및 고데기게이밍PC욕조공기청정기초대형 주차장프런트 및 그 외 시설 무료 WiFiBath Amenity(샴푸  바디  린스) 무료 제공충전기 대여 서비스(보증금 1만원 or 신분증 보관)전 객실 금연(흡연은 건물 외부 지정된 장소를 이용)객실 키 분실 시 2만원 부과룸 제한인원 외 추가 시 2만원 부과미성년자는 보호자 동반 및 허가 없이 투숙이 제한됩니다.저희 호텔은 남녀 혼숙(3인 이상)은 일체 허용하지 않습니다.이용규칙 위반 시 취소 및 환불이 불가능합니다.저희 호텔은 지하 노래방  2층 노래방과는 별개의 업장입니다. 이용에 대한 문의를 받거나 안내하지 않습니다.연박 (연속숙박) 이용시 금액 발생.  평일 (월요일 ~ 금요일) 연박시   대실비용  없음   주말 (토요일 일요일 공휴일) 연박시   대실비용  1회 발생 (3만~5만)  연박 이용시 참고 부탁드립니다. ,7
 하남 리버파크 호텔,경기 하남시 망월동 11083,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73040/485216/4620f222d374b371957f6936e2603a19.jpg,050440121919,주차장 정보총 1대 주차시설 보유지하철 정보5호선 강일역5호선 미사역,8
 의정부 HOTEL BENE,경기 의정부시 의정부동 4378,9.4,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/48986/127085/da4a69285b28c72cd89f46f2e1669854.jpg,050440127393,혜택안내요금할인주차장 정보주차시설 보유중전직원 후진100km 가능한 발렛직원 상시대기!!1객실당 1차량 주차가능총 30대 주차시설 보유지하철 정보1호선 의정부역의정부경전철 경전철의정부역주변 정보의정부역 3번출구 신세계 백화점 (도보 1분)깡통돌곱창 산전수전 빨간세상라면학교 (도보 1분)의정부 북부직업전문학교 (도보 10초)경전철 의정부역 (도보 3분)경기도 의료원 의정부병원 (차량 3분)의정부 시청 예술회관 청소년수련관 (차량 5분)의정부 종합운동장 실내빙상장 실내체육관 (차량 7분)객실내부 시설 조조무한대실 주중 08시~19시 (최대11시간)현장결제만 이용가능합니다의정부 최초!!커플PC 배틀그라운드 울트라  옵션   즐기기!i58500  지포스1060 6GB  16GB메모리32인치 커브드 144hz모니터  청축 광축 키보드게이밍마우스  7.1채널 진동헤드셋 안락한 pc방의자초고속기가랜 CAT6 (배그.롤.오버워치.풀옵션 게임가능)프리미엄객실최고급안마의자 구비 완료!!무중력자세 슬라이딩 자동체형인식 공기압마사지7가지부위 구석구석   5가지 자동프로그램 이용가능눈안마기 대여중!!오늘하루 쌓인스트레스 확 풀어드립니다!스타일러 설치WII게임룸299가지가 다양한게임으로 커플내기!!디럭스 거울룸오늘하루 아찔한 하룻밤을 보장해드립니다!!오락실룸나혼자산다 화사님이 사용하신 매직박스 구비중!2400개가 넘는 다양한게임으로 커플내기!!퀄리티가 남다른 기본음료 4가지  다양한간식거리!!전 객실 무료 넷플릭스 이용가능!!전 객실 최고급 라텍스 메모리폼 매트릭스 꿀잠보장!!전 객실 고데기 & 해어드라이기 설치전 객실 무료 WiFi Zone전 객실 메가급 충전기 구비중(c타입 안드로이드 아이폰)거짓말 살짝보태서 1분이면 100% 메가급 충천!!신분증(주민등록증 운전면허증 여권)미지참 시 입실불가(사진촬영 임시신분증 학생증 인정되지 않습니다.) 프런트 및 그 외 시설 다양한 먹거리 구비중해장라면 짜파게티 만두 치킨 음료 컵피자 등등!!예약이 닫혀있을경우 호텔로문의 바랍니다호텔 프론트 0318297381모든 객실 2인기준입니다.초과시 현장에서 추가요금 발생됩니다(1인10 000원)  ,9
 하남 블루힐 호텔,경기 하남시 망월동 11083,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73041/520084/65c0b6b7784bc537016839acc7938e46.jpg,050240367448,사장님 한마디                    블루힐 호텔입니다.저희 호텔을 이용해주신 모든분께 감사드립니다.최고의 서비스와 청결한 호텔을 위해 더욱노력하겠습니다.스타일러 간식.음료 넷플릭스.디즈니.왓챠 무료시청 가능합니다.                주차장 정보 건물 지하주차장 상시이용이 가능 합니다. 1객실당 차량1대 주차가 가능 합니다.(이외경우 숙소문의) 스위트 투베드 객실의 경우 최대 2대 가능 합니다. 입실 시간에 맞춰 주차를 하셔서 주차등록이 가능하오니 이점 양해 부탁드립니다. 예약 시간 이외 발생한 주차요금에 대해선 책임지지 않습니다. 고객 부주의로 미등록시 발생되는 요금에 대해선 책임지지 않습니다.총 33대 주차시설 보유지하철 정보5호선 강일역5호선 미사역객실내부 시설 모든 객실은 1객실당 2인기준 요금이며 체크인시 입실하신 고객 이외 추가인원은 입실이 불가합니다.  스위트 투베드 객실의 경우 2인기준 최대4인(추가인원 1인당 20 000원의 추가요금 발생 및 3인이상 혼숙불가 동성 및 가족만 가능) 무단 입실한 추가 인원 적발시 환불 없이 강제 퇴실 조치 됩니다. 추가인원 관련 문의는 숙소로 연락 부탁드립니다.  (TEL 0317915355) 미성년자 출입불가 (실물 신분증 주민등록증 운전면허증) 만 확인가능 하며 미지참 또는 확인거부시 입실이 제한되고 취소 및 환불불가 하오니 이점 양해부탁 드립니다. 성수기 시즌에는 주말 및 공휴일 객실요금 변동이 있을수 있습니다.프런트 및 그 외 시설 전객실 4K UHD 대형TV 75 86 98 인치  전객실 노하드 게이밍 배그PC (2PC 4PC룸 보유) 전객실 공기청정기 및 최고급 비데 설치   전객실 무료 OTT 서비스 (넷플릭스 디지니 왓챠 Youtube) 최고급 침구류  최고급 비품  무료 WiFi 및 물품대여서비스 헤드셋 고데기 충전기 데스크 무료 스낵바 이용가능 ( 당일로스팅 최고급원두커피 토스트 구운계란 생수 음료 일회용 수저 젓가락) 스타일러 (디럭스룸 이상),10
