Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
60000,디럭스 특가(넷플릭스 개인계정이용 PC 없음),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422259/acc8262be1a564ae37fb41c51a3d9b29.jpg,60000,281,1
 90000,트윈 디럭스(넷플릭스 개인계정이용 PC 없음),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422261/70f7fb9dbbfef97224abd45d3e8181d1.jpg,90000,281,1
 100000,트리플 디럭스(넷플릭스 개인계정이용  PC 없음),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422262/104cf6210ef5020396cd6eb060bcc0cd.jpg,100000,281,1
 60000,스페셜게이밍2PC(LOL/배그/서든/고사양2PC/넷...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422264/d570e4f17ac93bdefc59013b834e5494.jpg,60000,281,4
 90000,트윈 디럭스2PC (LOL/배그/서든/고사양2PC/넷...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422265/b8555977a61a409a817ab3eb68901542.jpg,90000,281,1
 80000,커플노래방스페셜(커플강력추천!!)넷플릭스 ...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422266/42a2ce597c52e36914a4bcff2bf50063.jpg,80000,281,1
 80000,디럭스 프리미엄(넷플릭스 개인계정이용 PC ...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422260/cbf23ebcc2231ef9542a34be2778df5e.jpg,80000,281,2
 100000,파티 스위트(4인 노래방 매달 최신업데이트 ...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422267/afd2aefd255e4e5db8948bd89331a387.jpg,100000,281,2
 50000,VIP 파티 스위트,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/3468/422268/eaed29d47500708f8cdc488356470392.jpg,50000,281,3
 90000,STANDARD,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/2067/221546/0dec90f90c0963e2b12884fbb13b3ca2.jpg,90000,282,4
 90000,스탠다드 무한대실,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/185156/4f085b49c06173fd54df8e97b7026b7f.jpg,90000,282,3
 70000,EARLY CHECK IN,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/303286/8d0a5bfb253d9ee6db6152d9e2c6f85f.jpg,70000,282,1
 50000,DELUXE 커플쇼파,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/221548/b4295b4c270139729e9371e3b220281b.jpg,50000,282,2
 50000,무한대실(Deluxe),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/203334/439aa3fc19c601fb5b46ec18057fda5d.jpg,50000,282,2
 80000,매진임박 Deluxe 2PC 러브체어,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/2067/360200/5bf806ed7aadc8cce9824f0f96948f38.jpg,80000,282,1
 60000,PREMIUM 커플쇼파/2PC/200Hz/i5/i79700/RX57...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/2067/139470/d3b2bb9e5c16708c9ae8524fc28c2f30.jpg,60000,282,3
 100000,PREMIUM 무한대실 객실랜덤배정,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/2067/185159/5120d2e4ce6fbc910e59f76d1346d1c0.jpg,100000,282,1
 90000,배그커플PC Premium(i57500 RAM 8G TGX1050 ...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/249733/bd6aa1322569db620b12f15f6c00a9be.jpg,90000,282,2
 60000,배그커플PC Luxury(i510400F  RTX2060  i78...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/249734/37c1cb4094a85e3cb3b9730aaec09507.jpg,60000,282,4
 100000,국내최초 가상현실 VR게임룸,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/353494/1e0e82028e631ea8282a61ee5b0610d7.jpg,100000,282,3
 80000,LUXURY(바디프랜드안마의자),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/196112/e75e2cd7c94f5790d8953927e96177a5.jpg,80000,282,1
 100000,LUXURY 커플PC &2인스파(커플PC/러브체어/2인...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/196113/816d945dd60895ab6007368e1ded7c28.jpg,100000,282,3
 80000,LUXURY 무한대실,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/185157/180b8118ffa6340f7febb9ede8863e00.jpg,80000,282,4
 100000,SUPERIOR 시네마룸&배그1PC(2인스파/UHD 75in...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/130626/1333c92d94f6d5127593ac587eff2c7b.jpg,100000,282,4
 90000,Standard(엘리트),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/255884/91380b3140f976107b02aec42d6d10ca.jpg,90000,282,2
 70000,VIP(기준4명 ),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/250739/935b8ca299a62e10c6c6daa3baac3431.jpg,70000,282,1
 70000,무한대실  랜덤배정(VIP),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/203333/2857357d2e5f397ffb04d612842afca4.jpg,70000,282,1
 80000,VIP (바디프랜드안마의자),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/250741/6e8e7e0fe10355de112895f19f3aaa26.jpg,80000,282,1
 50000,VIP(150인치스크린),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/2067/250740/fb3d3d4505f8d84565182bc49591d05d.jpg,50000,282,3
 50000,VIP 배그4PC tj전국배틀노래방(i78700RAM 16...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/250742/3cac78352e02faffcc548f5df7aafb9e.jpg,50000,282,4
 70000,국내최초 TJ 전국배틀노래방,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/2067/353495/69479fd06fe0412528f033d215ff45e3.jpg,70000,282,3
 50000,08시부터 대실가능,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364459/eb1f5ceda479c6eb5d5915a4be8bc376.png,50000,282,3
 50000,보드게임 무료대여,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364460/ba501a55eaba56b89cf97fe1febcf5ef.jpg,50000,282,4
 60000,블루투스 마이크 무료대여,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364461/9cba497916ecbbf8bc32baae66b50ef0.jpg,60000,282,3
 60000,WONDER SQUARE,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364462/cb8407d05e69d32f6390f6f83be5556d.png,60000,282,1
 50000,VR기기 전객실 대여,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364464/428d18a8113fbf789f5e28cec2d47faa.jpg,50000,282,1
 90000,전객실 넷플릭스 무료시청,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/2067/364465/3ecc9cd5df61fdf8b89595da9216f9bd.png,90000,282,3
 90000,고사양 2PC룸(i7 10세대  GTX 1660  16G),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/4453/513560/d2fdbd460885fb6bc89dac178b8be80c.jpg,90000,283,1
 80000,야간대실,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/4453/197932/19489d0abb8bed5cc1bb479440b57e01.jpg,80000,283,1
 50000,잠꾸러기패키지 A B랜덤객실(넷플릭스무료시...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/4453/488600/6d38bf3b813c98a692440edcaf89d78e.jpg,50000,283,2
 90000,스마트룸 (주차불가! 도보전용!)(페이백),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/4453/180403/7aa64aab4b67a767ef0757a2653dcb92.jpg,90000,283,1
 50000,스마트룸 A,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/4453/156606/7aa64aab4b67a767ef0757a2653dcb92.jpg,50000,283,4
 50000,스마트 A B(랜덤) 도보전용 주차불가,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/4453/374922/393b74c82bd4596b305d436c9747ecc7.jpg,50000,283,3
 100000,스마트 TIME룸(긴시간),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/4453/160998/4e1ec920eb495758dc9b177d1668a1ef.jpg,100000,283,4
 70000,넷플릭스룸,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/4453/223871/2dce556ee5298bc40bbc82686fceaeb6.jpg,70000,283,4
 60000,스마트룸 B(욕조),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/4453/358005/402612aaddc497cb5d46413a0d7521eb.jpg,60000,283,3
 90000,고사양1PC룸(i7 10세대.메모리16G.GTX1660.27...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/4453/357948/d96bd59961b86cd4d1959b385dfb0406.jpg,90000,283,4
 80000,넷플릭스+스마트 TIME룸(긴시간),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/4453/330430/cd55588f913d80732b384bfee803a0f0.jpg,80000,283,4
 100000,넷플릿스 +스마트룸 B(욕조),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/4453/356995/5b0f3516c2c471d6a652286ac800806d.jpg,100000,283,3
 80000,스탠다드 B(!주차절대불가! 도보전용 넷플릭...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74655/514538/c2b795143012e3ccf45fcf80f8d323d0.jpg,80000,284,1
