Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
합성 아이브호텔,경남 창원시 마산회원구 합성동 1255,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74814/517488/6460e29f9d37d3766d94eca033bc7f03.jpg,050440098664,사장님 한마디                    창원 마산 아이브호텔(IVE HOTEL)은 익숙하지만 일상에서 벗어나 감성을 자극할 수 있는 도심 속 부티크 공간으로 취향에 상관없이 누구나 호감을 가질만한  대중적이면서 개성있는 호텔입니다.창원 마산 아이브호텔(IVE HOTEL)이 선보일 최고의 서비스와 다양한 혜택을 놓치지 마세요~❣                주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보마산 시외버스터미널까지 약 160m  도보로 3분거리대현프리몰 98m  도보 2분 거리마산 삼성창원병원 945m  도보 15분 거리창원역까지3.2km  자동차로7분 거리동마산ic까지2.2km자동차로4분 거리창원테크노밸리까지2.9k m자동차로 5분거리ㄴ마산 CGV 111m  도보 2분 거리입니다.마산 롯데시네마 121m  도보 2분 거리마산 cgv까지 110m  도보로 2분거리객실내부 시설전 객실 공기청정기전 객실 75인치 스마트TV전 객실 천정형 에어컨전 객실 건식 욕실   일체형 비데 구비전 객실 5성급 침구&가구전 객실 넷플릭스&디즈니플러스 시청 가능일부 객실 스타일러 구비아이브호텔_부탁의 말씀모든 고객님들께 쾌적한 숙소를 제공하고자 전객실 금연입니다매너있으신 고객님들께서 양해해주세요❤  기본규정  각 객실의 입실 기준을 확인바라며  추가 인원시 현장에서 추가요금 결제됨을 알려드립니다.성수기 및 특정일  공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.환불 및 취소는 규정에 따라 상이하게 처리프런트 및 그 외 시설주차장 이용팁   건물뒷편 밀레온 유료주차장 이용가능합니다   아이브호텔 이용한다고 말씀하시고 주차권 받아오시면됩니다,1
 진주 드림호텔,경남 진주시 장대동 984,9.7,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73421/492523/19fcdf03e3d892bbb4d88d9571b800ef.jpg,050440059318,주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보진주성(촉석루 국립진주박물관)까지 600m 도보 6분 거리진주 시외버스 터미널까지 30m  도보 1분 거리진주 고속버스 터미널까지 차량 이용시 7분 거리메가박스 및 롯데시네마까지 700m  도보 10분 거리진주 시내까지 도보 10분거리진주 중앙시장까지 도보 8분거리객실내부 시설✔️전 객실 호텔식침구✔️전 객실 WiFi✔️진주 남강이 보이는 객실보유✔️전 객실 넷플릭스 시청가능추가 안내사항이용안내⭐️진주 드림호텔 공지사항⭐️객실 예약 및 이용관련 문의는 언제든지 A동 프론트로 전화 부탁드립니다.원활한 체크인을 위해  예약고객님은 A동 프론트 에서 예약자 성함을 말씀해주세요.객실은 체크인 시 배정되며  상기 이미지와 다를 수 있습니다.미성년자 혼숙은 불가합니다. 신분증 미지참시 입실이 제한됩니다.퇴실시간을 꼭 지켜주세요. 정해진 시간 이후 퇴실 시  추가요금이 발생합니다.즐겁고 쾌적한 휴식을 위해    숙박문화 에티켓  을 지켜주세요. (소음  음식물처리  오염주의  분리수거)✔️진주 드림호텔 기본규정✔️각 객실의 입실 기준인원을 확인바랍니다.기준인원 초과 입실시 퇴실조치하오며  환불 및 취소 처리되지 않습니다.야간시간 지나친 소음 발생시 퇴실조치가 가능하오니 삼가바랍니다.성수기 및 특정일  공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.입실 시 신분증을 확인하고 미성년자는 입실이 제한됩니다(신분증을 꼭 지참해주시기 바랍니다.)불편사항 있을 시 언제든지 안내실에 문의주세요. 친절하게 답변해드리겠습니다~!,2
 용원 브라운도트 시그니처 호텔 신항만점,경남 창원시 진해구 용원동 13539,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/75901/537232/7c08d7c407db6210a0e6a6f39527be46.jpg,050240468801,사장님 한마디                    ★GRAND OPEN★10월 리뷰 이벤트 진행예정                주차장 정보지하주차장 33대 주차가능인근 공터 무료주차 이용가능총 33대 주차시설 보유주변 정보부산 신항 국제터미널까지 2km  자동차로 2분거리입니다.부산 신항만 컨테이너부두까지 1.5km  자동차로 2분거리입니다.부산 가덕대교까지 2.1km 자동차로 3분거리입니다.진해 시외버스터미널까지 16km 자동차로 15분거리입니다.진해 경화역까지 15km 자동차로 15분거리입니다.진해 드림파크까지 3.5km 자동차로 15분거리입니다.부산 김해공항까지 14km 자동차로 15분거리입니다.추가 안내사항모든 숙박 고객님께 무료 조식을 제공해드립니다.2F 라운지   07:00 ~09:00  LAST ORDER 8:30간단 조식 (매일 제공)  컵라면 씨리얼 우유 커피 토스트한식 조식 (화금 운영  공휴일 국경일 제공불가)  밥   국   반찬 3종 ,3
 창원 브라운도트중앙점,경남 창원시 성산구 중앙동 986,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73505/493285/57581d4a83391073eb9ad8f054c95736.jpg,050214700115,혜택안내요금할인주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보창원시청까지 1.15km 자동차로 3분거리입니다.롯데백화점까지 470m  자동차로 2분거리입니다.창원상공회의소까지 1.73km  자동차로 4분거리입니다.용지공원까지 약 1.8km 자동차로 6분거리입니다.경남도청까지 2.7km  자동차로 7분거리입니다.객실내부 시설▷전 객실 스타일러 완비 :)▷호텔 이용고객에 한하여  헬스장 및 세탁실 이용가능 :)프런트 및 그 외 시설 ▷인원추가시 추가요금은 ￦15 000(1인) 입니다. ▷분실물이 발생하지 않도록 유의하시기 바라며  분실물 발생시 호텔에서는 책임을 지지 않습니다. ▷호텔 편의시설 이용시 안전에 유의하시기 바라며  파손시 배상책임이 따를 수 있습니다.,4
 진주 STRL 호텔,경남 진주시 평거동 7893,9.7,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/72305/472188/36f3f0b6992378d146a053e69a892f6a.jpg,050440447277,사장님 한마디                    ❤STRL 호텔 GRAND OPEN❤항상 최고의 서비스와 친절 그리고 청결로 고객님을 모시겠습니다 ^^                주차장 정보넓고 쾌적한 주차시설 보유바로 앞 공영주차장 저녁 9시부터 다음날 오전 9시까지 무료이용 가능합니다 ^^총 17대 주차시설 보유주변 정보진주 KTX역까지 10km 차량 이용시 13분 거리진주 진양호 공원까지 3km 차량 이용시 9분 거리진주성(촉석루 국립진주박물관)까지 3km 차량 이용시 8분진주 공설운동장까지 3km 차량 이용시 8분 진주 시외버스 터미널까지 4km 차량 이용시 10분 진주 고속버스 터미널까지 4km 차량 이용시 12분 진주 롯데시네마까지 3km 차량 이용시 10분 진주교욱대학 차량으로 3분 진주 경상대학교 차량으로 10분진주 종합공설운동장 차량으로 12분객실내부 시설전객실 넷플릭스전객실 공기청정기스타일러고급 브람스 발마사지 기기안마의자65인치 대형 TV추가 안내사항1실 1주차주말 연박불가,5
 상남 호텔 티티HOTEL T.T,경남 창원시 성산구 상남동 173,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74755/517651/29409073a02cadf3275cc92264b214ff.jpg,050214646123,주차장 정보당 건물에는 주차공간이 없어 건물 맞은편   로데오 주자창   이용 바랍니다 :)도로명 주소 : 경상남도 창원시 성산구 마디미로21번길 11지번 주소 : 경상남도 창원시 성산구 상남동 114주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보롯데백화점 창원점 까지 약 400m  도보 5분 거리상남시장까지 약 150m  도보 2분 거리창원시설공단 공영주차장까지 약 200m  도보 3분 거리롯데마트 창원중앙점까지 약 700m  도보 10분 거리이마트 창원점까지 약 800m  도보 12분 거리 용지호수공원까지 약 2.5km  차량 7분 거리창원 컨벤션센터까지 약 3.5km  차량 10분 거리경상남도청까지 2.2km  차량 7분 거리창원시청까지 약 1.1km  차량 4분 거리객실내부 시설전 객실 금연입니다 예약 시 참고 부탁드려요:)전 객실 메모리폼 침대 비치전 객실 UHD 스마트 TV 비치전 객실 비데 설치 완료전 객실 욕실 고데기 비치고사양 PC 객실 완비간편 조식제공(뷔페식)조식이용시간 : 07:00~09:00시 까지야식제공(토스트  한강라면 제공)야식이용시간 : 18:00~01:00시 까지자세한 사항은 안내데스크 문의 부탁드립니다:)많은 이용 부탁드립니다 !! ,6
 밀양 더 반 호텔,경남 밀양시 가곡동 66285,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74378/515399/3e98b1c554aa9b307916aaee9a23c95e.jpg,050240527031,사장님 한마디                      연박 불가 객실 안내 드라이브인  레이트체크인  객실은 연박 불가 예약은 2박 이상 가능하나 1박 단위로 퇴실 후 입실 시간에 다시 체크인 하는 방식으로 이용 가능혜택안내요금할인주차장 정보넓은 주차장 보유전기차 충전 가능(완속  4대)장애인 전용 주차 2면 보유총 36대 주차시설 보유객실내부 시설좋은 기억을 가져가실 수 있도록 최고의 시설과 서비스를 제공하겠습니다.23년 4월 준공 신상호텔  전 객실 에어드레서 설치 전 객실 공기청정기 비치 호텔전용 고급 침구 침대 비치 고급 어메니티 제공 기가지니 음성 서비스로 객실 제어 넓은 주차장 고급 호텔 비품 비치 네스프레소 버츄오 팝 (디럭스객실) 안마의자 비치(디럭스객실) 스탠다드 객실 이용 고객 중 욕조가 필요하신 분은 사전에 문의 부탁 드립니다. 전 객실은 금연 객실로 운영 중입니다.  객실 내 흡연 시 객실 재정비 비용 30만 원이 청구 됩니다.  입실 시간은 18:00~24:00입니다.항상 더 나은 서비스 제공을 고민하는 더 반 호텔입니다.프런트 및 그 외 시설  셀프 세탁 가능한 세탁기 건조기 비치  세탁 세제 필요 시 프런트에서 별도 판매(1 000원 ea 현금만 가능)  전기차 충전(완속) 4대 설치  무료 조식 서비스(드라이브인 제외)  1층 카페테리아 자율 이용  비지니스 존 운영(컴퓨터 2대  복합기 1대 설치),7
 진주 Yam상평점,경남 진주시 상평동 30718,9.4,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/75334/528750/75d8e33d0aca56cdae853023fc6debf3.jpg,050213912167,사장님 한마디                    [yanolja Brand Hotel_Hotel YAM 진주상평점]YAM 진주상평점은 마음까지 하얘지는 곳입니다.휴식의 본질에 충실할 수 있도록 가성비 높은 쉼을 제공하는 이곳은 전체적으로 화이트톤의 깔끔한 객실을 자랑하는데요.2020년 12월에 리뉴얼되어 쾌적함까지 더해주는 곳입니다. 이곳은 머무는 동안 단 하나의 불편함도 느낄 수 없도록 준비된 곳이에요. 비대면 5초 체크인으로 입실부터 빠르고 편안하게  트윈침대 스타일러 등 옵션별로 객실도 다양하게 되어 있어 고르는 즐거움도 있답니다.YAM 진주상평점에서 가성비는 물론 가심비까지 넘치는 쉼을 마주해보세요.                주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보진주버스터미널까지 5.3km 차량 10분진주역까지 3.3km 차량 11분진주성까지 5.9km 차량 11분진주시청까지 2.6km 차량 8분객실내부 시설⭐YAM 진주상평점 객실 안내전 객실 금연전 객실 무료 WiFi,8
 팔용 호텔 레오,경남 창원시 의창구 팔용동 1535,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/75256/529441/1b943298cf3cbffe8638bc4121471a95.jpg,050240320097,주차장 정보총 25대 주차시설 보유,9
 통영 네르하21스파펜션,경남 통영시 도산면 수월리 13386,7,펜션,//image.goodchoice.kr/resize_490x348/affiliate/2023/03/29/642395174657c.jpg,050440218123,사장님 한마디                    통영의 바다를 가장 가까이에서 누리는 전 객실 바다전망 힐링 펜션입니다전 객실 스파 또는 족욕이 갖춰져 있으며  개별 테라스 바비큐가 가능합니다                주변정보더카트인통영 차량 15분통영버스터미널 차량 19분동피랑벽화마을 차량 30분공지사항주기적인 방역 실시기본정보입실 : 15:00 | 퇴실 : 11:0022시 이후 입실 시 사전문의 (필수)무료 WiFi전 객실 금연주차 가능객실정보A301호 욕조   A302  C202  C302 족욕 구비 외 전 객실 스파 구비인원 추가 정보1인 20 000원 (12개월 이상)영유아 인원수 포함   최대인원 초과불가현장 결제펜션 서비스시설 이용문의 및 비용 별도 펜션문의카페인피니티 실외 미온수 수영장 (25~31도) : 23년 5월 1일부터 23년 10월 31일까지  15:00~20:00   온수 수영장 OPEN 기념 무료 이용   수영복  레쉬가드 착용 필수(복장 미준수 시 입수 불가)이용 기간 및 이용 시간 현장여건에 따라 변동 가능바비큐 시설미국 웨버 가스 바비큐 그릴 대여 : 2~3인 20 000원  4~5인 30 000원  6~7인 40 000원  8인이상 50 000원. 단  C301호 (대형그릴) 4인 30 000원  5~6인 40 000원  7~8인 50 000원.이용시간 : 15:00~22:00  전 객실 개별 테라스 바비큐 가능현장 결제취소 및 환불 규정숙박일 기준 14일전 : 100% 환불숙박일 기준 13~10일전 : 90% 환불숙박일 기준 9일전 : 80% 환불숙박일 기준 8일전 : 70% 환불숙박일 기준 7일전 : 60% 환불숙박일 기준 6일전 : 50% 환불숙박일 기준 5일전 : 40% 환불숙박일 기준 4일전 : 30% 환불숙박일 기준 3일전 : 20% 환불숙박일 기준 2일전 : 10% 환불숙박일 기준 1일전~당일 및 Noshow : 환불불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타최대 인원 초과시 입실이 불가 합니다 (방문객 불가)객실 내 육류  튀김류  생선류 조리를 할 수 없습니다전 객실 애완동물 출입이 불가합니다보호자 동반없는 미성년자는 이용하실 수 없습니다해당 이미지는 실제와 상이 할 수 있습니다이용시설의 분실 및 훼손의 책임은 이용자에게 있으니 주의부탁드립니다객실 내에서는 화재위험물질 (화약  폭죽 등)은 사용 하실 수 없습니다 (화재로 인한 책임은 이용자에게 있습니다)쓰레기는 지정된 장소에 분리하여 주시기 바랍니다위의 정보는 펜션의 사정에 따라 변경될 수 있습니다성수기 기간동안 일부 객실의 경우 요금변동이 있을 수 있습니다수영장 운영은 날씨 또는 펜션 상황에 따라 변동 될 수 있습니다,10
