Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
90000,Standrad Room (더블베드 공기청정기 75인치 ...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517482/6866ba04eec1a6b32d915cf7e6b2f971.jpg,90000,321,2
 90000,Deluxe Room (더블베드 공기청정기 75인치 스...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517483/6c371e99136b4fbc36f8b980d79e80ef.jpg,90000,321,2
 70000,Business Twin Room (더블+더블베드 1PC 공기...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517484/16f626a692bf3110bda2c2e0491f2c0b.jpg,70000,321,4
 100000,안마의자 Room (안마의자 공기청정기 75인치 ...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517485/238788b713401987667696a97daebcb9.jpg,100000,321,2
 70000,Premium Room (더블베드 PC랜덤배정 시티뷰 ...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517486/8b76b141bf95b2ce98be5a783254008d.jpg,70000,321,3
 80000,고사양 1PC Room (고사양1PC 공기청정기 75인...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517487/bbf0d34823d1b273619d1dd4027bd837.jpg,80000,321,4
 60000,Suite Room (안마의자 공기청정기 75인치 스...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74814/517488/6460e29f9d37d3766d94eca033bc7f03.jpg,60000,321,1
 60000,대실 곱빼기최대 12시간,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73421/537803/f072be85712ad124e0e21779253ba817.jpg,60000,322,3
 100000,도보특가(주차불가  2023년 1월 GRAND OPEN  ...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/73421/492523/19fcdf03e3d892bbb4d88d9571b800ef.jpg,100000,322,3
 60000,일반실(2023년 1월 GRAND OPEN  넷플릭스 시...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73421/491862/fd4ab408f6e876399f68db51d643ec0b.jpg,60000,322,2
 60000,VIP스위트(남강뷰 스타일러 공기청정기 넷플...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73421/537807/2170179a08a046af9c750e0418a93f1a.jpg,60000,322,1
 60000,늦은퇴실,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73421/500724/27522e3585827fedb16d07cac5e32674.jpg,60000,322,2
 100000,숙박 곱빼기연박,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73421/537804/f69f3c424073a312c2633c8ab29db95c.jpg,100000,322,2
 90000,무한대실 6시간,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/75901/537656/13b51b397f2ec6d19629802b8e916145.jpg,90000,323,3
 50000,조식 제공(간편조식 매일제공  한식조식 화...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/75901/540098/2d147a4c352e5c430bfbe9a2dd5dc73e.jpeg,50000,323,3
 90000,무한대실 8시간,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/75901/537657/dad0f5a84cb92ceb148d0d6a127a8b61.jpg,90000,323,2
 90000,오픈특가(랜덤배정  연박불가),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/75901/537235/03122c2b6e6360bbdb2b6b56611b80b9.jpg,90000,323,1
 70000,스탠다드 더블(OTT서비스 이용가능 조식제공),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/75901/537228/29628bfdb4fabb3e0fef62057bff611f.jpg,70000,323,1
 60000,디럭스 더블(OTT서비스 이용가능 조식제공),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/75901/537229/5e3d6de138ee00b884c7fc7f2b4d2c45.jpg,60000,323,2
