Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
90000,[조식&별채탕&석식 불포함] 스탠다드 더블 A,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d7bda016e.jpg,90000,361,2
 90000,[조식&별채탕&석식] 스탠다드 더블 A,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d72037af0.jpg,90000,361,4
 50000,[조식&별채탕&석식 불포함] 스탠다드 더블 B,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/17/646421018c9ef.jpg,50000,361,2
 100000,[조식&별채탕] 스탠다드 더블 B,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d5be7bf27.jpg,100000,361,2
 100000,[조식+별채탕 2인] 디럭스 패밀리 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/19/65095d72d287d.jpg,100000,361,1
 80000,[올인클루시브 특가] 스탠다드 더블 B,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d6422682e.jpg,80000,361,2
 100000,[조식&별채탕&석식] 스탠다드 더블 B,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d72037af0.jpg,100000,361,1
 90000,[석식+조식+별채탕 2인] 디럭스 패밀리 트윈,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/19/65095be609b2c.jpg,90000,361,3
 90000,[조식&별채탕] 스탠다드 더블 A,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/16/6462d82056f05.jpg,90000,361,1
 50000,디럭스 트윈 핸디캡룸,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2021/12/09/61b155a215437.jpg,50000,362,2
 80000,패밀리 트윈 (호수 전망),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/06/10/5ee086f2b0ccb.jpg,80000,362,3
 90000,[2인 조식 포함] 패밀리 트윈(호수 전망),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/06/10/5ee0872c3498d.jpg,90000,362,3
 70000,[24시간 STAY] 스탠다드 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2021/12/28/61ca982b900db.jpg,70000,363,1
 70000,[24시간 STAY] 슈페리어 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/11/02/6361af1f7475b.jpg,70000,363,1
 70000,[24시간 STAY] 스탠다드 더블 (오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2021/12/28/61ca982c074af.jpg,70000,363,3
 90000,[24시간 STAY] 디럭스 패밀리,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/11/02/6361b16241185.jpg,90000,363,3
 50000,[조식 2인 패키지] 스탠다드 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2021/12/28/61ca982b900db.jpg,50000,363,3
 90000,[24시간 STAY] 스위트 테라스,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2021/12/28/61ca989aefd11.jpg,90000,363,2
 80000,프라이빗 45타입 (클린),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/26/64c0c74ca70b7.jpg,80000,364,4
 70000,프라이빗 55타입 (취사),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/28/64223f5367b93.jpg,70000,364,4
 80000,[독채빌라] Deluxe 2호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/271b8080-cd77-43fa-a454-f9e2c0f5153b-original.jpg,80000,365,3
 60000,[독채빌라] Deluxe 5호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/beeccd9a-be4d-483a-bfa7-c3caf0ff8cd5-original.jpg,60000,365,4
 90000,[독채빌라] Deluxe 1호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/354dbb02-0b3b-47b6-9793-d880e06e2d89-original.jpg,90000,365,2
 90000,[독채빌라] Deluxe 3호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/beeccd9a-be4d-483a-bfa7-c3caf0ff8cd5-original.jpg,90000,365,4
 60000,[독채빌라] Deluxe 4호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/80a81d35-bcb0-47e8-bc1a-462394654b1b-original.jpg,60000,365,1
 50000,[스파] Deluxe 6호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/eefdd35b-5c6c-4754-8ee4-642014b577f9-original.jpg,50000,365,1
 90000,[스파] Sweet 4호,2,7, //image.goodchoice.kr/resize_1000X500x0/adimg_new/list_none.png,90000,365,3
 80000,[독채풀빌라] Sweet 3호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/9ae9dbce-a20d-4fbd-a3a8-54b5a64de562-original.jpg,80000,365,2
 70000,[독채풀빌라] Sweet 2호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/1dce9b77-f323-4d88-a9e6-630a1a21a63a-original.jpg,70000,365,4
 80000,[독채풀빌라] Sweet 1호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/01/17/09/525f233e-3278-4d3a-bee3-959fc0cf7107-original.jpg,80000,365,4
 100000,8동 1층 (오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676265468139GodoAMNaOFRKxyxlNlt.jpg,100000,366,2
 50000,5동 2층 (오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/16762645987839T90RPAHckekhpyFtr7.jpg,50000,366,4
 80000,9동 3층(어덜트존/오션뷰),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676265860890mITrRrNqNl9cIS9eM5G.jpg,80000,366,2
 100000,1동 1층 (오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/17/14/16762625619371ebcBdP574WhUj7VU0H.jpg,100000,366,2
 60000,2동 1층 (오션뷰),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/19/14/1676262897646VKo78FhYnwdxGvLHfV2.jpg,60000,366,1
 60000,9동 1층(어덜트존/오션뷰),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676265758882xwahiEHqi7xekidVSqn.jpg,60000,366,3
 100000,10동 1층(어덜트존/오션뷰,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/27/17/1676265954784Yo1g1RgZt6PnMiokQ3Q.jpg,100000,366,1
 80000,1동 2층(오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676262611016SQv8dkiq4ETmaZtBBNh.jpg,80000,366,4
 90000,2동 2층 (오션뷰),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/17/14/1676262955940RKTusKhEiBagth4RV5V.jpg,90000,366,4
 90000,3동 2층 (오션뷰),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676263797492acDgKL2SjaAMQEbaS2Z.jpg,90000,366,3
 90000,4동 2층(오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676264085660VHvWIkceHRNYHrKAM00.jpg,90000,366,2
 90000,6동 2층(오션뷰),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676264899515KZQ0Y0dfREQx7DLSrdh.jpg,90000,366,3
 60000,7동 2층 (오션뷰),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676265117629reFZtEgQ15I9aAVPmv1.jpg,60000,366,2
 100000,8동 2층(오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/17/14/1676265575156cae0Y4H5NUXrWSTVCmM.jpg,100000,366,1
 60000,9동 2층(어덜트존/오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/16762658046406BnOoPAWO3cO1OyKu48.jpg,60000,366,4
 60000,10동 2층(어덜트존/오션뷰,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/06/15/1676266006844tXCbpx1S77AoDQ3lGZ2.jpg,60000,366,1
 60000,1동 3층 (오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/19/15/1676262740737YiAv9YTwO56Ul97cQs9.jpg,60000,366,2
 50000,1동 4층 (오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/16/1676262788218lUAzvKgMzZ1DjGjXoVo.jpg,50000,366,1
 70000,2동 3층 (오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/17/14/1676263012756Ua4ehB5sNvq2a4CgTGg.jpg,70000,366,4
 70000,2동 4층 (오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/16/1676263078622a6U3EHEiiCy6bp9ZYoD.jpg,70000,366,3
 90000,3동 4층 (오션뷰),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/16/1676264021653pTGOwQrW1ZmBQRanTh9.jpg,90000,366,3
 70000,4동 3층(오션뷰),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/17/14/1676264206690o0nA1gAUjOyt3bvXu95.jpg,70000,366,1
 100000,4동 4층(오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/16/167626427062837OgxMGCX8I6A5Wqq43.jpg,100000,366,2
 60000,5동 3층(오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676264707445OomVu7s6XS7Xx5cdwBo.jpg,60000,366,4
 100000,5동 4층(오션뷰),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/17/1676264770832dmSTUcvm132TKZPLhgB.jpg,100000,366,2
 70000,6동 3층(오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/1676264948619wyZHTMKqwyyj3ODaQY9.jpg,70000,366,2
 60000,6동 4층(오션뷰),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/17/16762649983001ryylN19hcWYr2QbhbO.jpg,60000,366,1
 50000,7동 3층 (오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/17/1676265166577dhCojhVPkGJSRlwcibr.jpg,50000,366,2
 50000,7동 4층 (오션뷰),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/21/17/1676265213789XeFVro27Fd3oBuyl2NX.jpg,50000,366,1
 70000,8동 3층(오션뷰),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/13/10/16762656258251tei13ZHBca17kqmcg1.jpg,70000,366,4
