Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
70000,낮대실 특가(랜덤배정/오전10시~오후5시 사이...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/68989/450466/f765c5d1d6968e387fd1a7b1acd2785c.jpg,70000,121,2
 80000,타임특가,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/68989/535493/a6a18eef7f4ee9784410361721026458.jpg,80000,121,4
 50000,디럭스(넷플릭스/배그PC/스타일러/65인치TV/...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/68989/400073/212eedfb25505177f0515ce726bce1b4.jpg,50000,121,2
 80000,스위트(넷플릭스/배그커플PC/더블+싱글/스타...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/68989/400074/f7a7ef3ee20eecaf7e4574ac03227249.jpg,80000,121,4
 50000,무한대실(넷플릭스  4시간),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74706/515247/6bb15e9bad7360b902e58c231d05ef8e.jpg,50000,122,3
 100000,무한대실(넷플릭스  6시간),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74706/515248/2d496ff372cdf4521a851a2b9c96d6a0.jpg,100000,122,2
 80000,스탠다드(넷플릭스 55인치TV 공기청정기 비데),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74706/539829/5446b73c3ba177afeb8c5f7a1c71ef55.jpg,80000,122,4
 90000,디럭스A (넷플릭스  킹베드  65인치TV  스타...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74706/515360/db0ab8c2506d86efacf05ae92c56bcee.jpg,90000,122,1
 90000,디럭스B (넷플릭스  킹베드  65인치TV  스타...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74706/515359/1564843d752c7cf951b00519cae607d6.jpg,90000,122,2
 60000,프리미엄 트윈 (넷플릭스  킹+싱글베드  65인...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74706/515361/dfa79b29a1ef2cccfeafc840ef1b10ca.jpg,60000,122,1
 90000,스위트트윈(넷플릭스 킹+싱글베드 65인치TV ...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74706/539828/1a00b85831cb0b2224c31a98a987e055.jpg,90000,122,4
 70000,타임특가(넷플릭스 공기청정기 비데 객실랜덤...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74706/539830/14ee36d7ec276307cf62fdbdbc80218b.jpg,70000,122,2
 90000,도보특가(스탠다드),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/72859/492365/14c7d1d4c57fd9131bcd9a32fcd1cbf7.jpg,90000,123,2
