Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
대전 벨레자 호텔,대전 동구 용전동 6331,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/67852/374237/a896642a058287e23269ca7dbcafaf8c.jpg,050440291726,사장님 한마디                    ★현장결제시 숙박요금 1만원 할인 이벤트 !!! #0426224500(계좌이체 가능)★한 번도 안오신 분은 계셔도 한 번만 오신 분은 없을 정도의최상의 퀄리티를 보장합니다.★★연박예약방법 : 동일한 예약자명으로 하루하루 예약 !!!평일 숙박 연박비는 없음!(단! 토.일.공휴일 연박요금 2만원씩 추가 됩니다)★입실 인원 안내전 객실 최대 2인 입실 가능합니다.단  VIP는 가족 최대 4인 가능합니다.인원 추가 할 시 미리 유선 연락 바랍니다.042)6224500★파티  촛불  풍선 이벤트 행위 금지파티이벤트 행위시 촛농  테이프 흔적 등으로 인해 욕조  바닥  천장  벽 등재물에 해당하는 부분 손상시 손해배상비용 청구될 수 있습니다.(복구비용 및 영업제한 비용)                주차장 정보지하주차장 40대지상주차장 10대로 넓은 주차공간 보유총 50대 주차시설 보유주변 정보복합터미널 도보 1분대전 CGV 도보 1분대전 IC 차량 5분홈플러스  이마트 도보 3분한남대학교 도보 10분객실내부 시설전 객실 넷플릭스 시청 가능하며 최신 사양의컴퓨터(2PC) 설치되어 있습니다.(배틀그라운드 가능)최고급 매트릭스와 5성급 호텔의 침구류(오리솜털)를사용하고 있습니다.각 층  객실마다 인테리어가 모두 다르며 감각적이고럭셔리한 인테리어로 고객님들에게 편안한휴식 공간을 제공합니다. (구조는 같으며  인테리어만 다르니 착오없으시길 바랍니다.)★연박예약방법 : 동일한 예약자명으로 하루하루 예약 !!!평일 숙박 연박비는 없음!(단! 토.일.공휴일 연박요금 2만원씩 추가 됩니다)★입실 인원 안내전 객실 최대 2인 입실 가능합니다.단  VIP는 가족 최대 4인 가능합니다.인원 추가 할 시 미리 유선 연락 바랍니다.042)6224500★파티  촛불  풍선 이벤트 행위 금지파티이벤트 행위시 촛농  테이프 흔적 등으로 인해 욕조  바닥  천장  벽 등재물에 해당하는 부분 손상시 손해배상비용 청구될 수 있습니다.(복구비용 및 영업제한 비용)프런트 및 그 외 시설고객님들의 즐거움과 편안함을 주고자 10층 스카이라운지(노래방 오락실 당구장 만화방 탁구장)객실 이용고객 한에서 24시간 무료 이용 가능!고객님들의 만족할만한 조식서비스 제공하고 있습니다.지하주차장 40대  지상주차장 10대로 넓은 주차공간을보유하고 있습니다.전 객실 고사양 컴퓨터 CPU i5 7500  GTX1050ti  RAM16G  32인치를 보유하고 있습니다.,1
 유성 메이호텔,대전 유성구 봉명동 55117,9.3,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/13678/146755/8980b7737578fe222d0adc0baa57c4f9.jpg,050213853923,혜택안내요금할인주차장 정보총 40대 주차시설 보유지하철 정보1호선 갑천역1호선 유성온천역주변 정보유성온천역 도보 1분 거리객실내부 시설전 객실 WiFi Zone 구축최신형 안마의자 구비  LG 힐링미 안마의자드라이기   헤어매직기 전 객실 구비씨네무비 무료 서비스전 객실 헤어드라이기 설치전 객실 커피포트 구비 완료일부 객실 안마의자 설치 완료전 객실 천연 온천수일부 객실 스타일러 설치 완료프런트 및 그 외 시설 24시간 셀프 스낵바 이용 가능 추가 안내사항100% 천연 암반 온천수 사용리모델링 완료,2
 대전 베스트인시티호텔,대전 중구 대흥동 575,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/59372/10159/9557c26a157f2586fa01c3f2c30fc7c6.jpg,050440408301,사장님 한마디                    도심속의 휴식 공간 베스트인시티호텔베스트인시티호텔을 찾아주셔 감사합니다.언제나 청결하고 친절한 모습으로 인사드리겠습니다.오늘도 행복한 하루 보내시길 바라겠습니다.베스트인시티 호텔 임직원 일동                혜택안내요금할인주차장 정보⭐주차장 이용 안내대전 최고 주차 시설 (60대 이상)보유하고 있습니다 단  주차장은 체크인 시간부터 이용 가능합니다.버스 및 대형 차량은 프런트로 문의 부탁드립니다. (주차 안내 가능)총 60대 주차시설 보유지하철 정보1호선 중구청역1호선 중앙로역주변 정보⭐호텔 주변 가볼만한 곳1. 한화생명이글스파크 400m2. 충무실내체육관 260m3. 한밭체육관 540m4. 오토바이 특화 거리 420m5. 테미공원 800m6. 대흥동 문화예술거리 920m7. 으능정이 문화의거리 920m8. 우리들공원(대흥동 먹자골목) 960m9. 중앙시장 1km ⭐호텔 주변 먹거리호텔 주변의 맛집은 프런트에서 확인 가능합니다.1. 맥도날드 대전 부사 DT점 20m2. 편의점 (JS25편의점) 150m 객실내부 시설⭐침구&어메니티Bestincity Hotel의 침구와 어메니티는 부산 명품 브랜드 부성 침구를 제공하고 있습니다.매트리스 : 프리미엄 주문 제작을 통해 고품질의 숙박 경험을 제공합니다.프런트 및 그 외 시설⭐로비&프런트Bestincity Hotel은 A동과 B동으로 나누어져있으며  프런트는 A동에 위치해있습니다.복합기 : 인쇄 및 FAX 이용 가능하며  인쇄 희망 시 프런트에 문의해주세요.⭐조식당조식당은 A동과 B동 사이에 위치해있습니다.전자레인지 이용이 필요한 경우 조식당에서 이용 부탁드립니다. (24시간 오픈) 추가 안내사항⭐이용 주의 사항호텔 내 비품에는 도난방지시스템이 설치되어 있습니다.촛불사용이나 염색  물건 투척 등 파손이나 손괴 시 변상조치됩니다.전 객실은 2인 기준이며 객실에 따라 최대 5인까지 입실 가능합니다.1인 추가요금은 요일 상관없이 15 000원 비용이 발생합니다.사진과 다른 동일 타입의 객실로 배정될 수 있습니다.호텔은 전 객실 금연으로 운영됩니다.미성년자는 이용할 수 없으며  입실 시 신분증을 확인합니다.신분증 미지참 또는 미성년자의 경우 입실 및 환불이 불가합니다.객실 컨디션 정비(청소)를 위해 입 퇴실시간을 반드시 준수해 주세요.외출 시 도난 위험이 있기에 카드키는 프런트에 보관해주세요.객실 내 분실 및 도난은 업체가 책임지지 않습니다.⭐현장 예약 안내시티은행 I 891  00241  267  01 I 우혜숙프런트 : 042  226  1070,3
 호텔 디 에디션,대전 서구 둔산동 1422,9.4,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/17/64ddd62e410b8.jpg,0425509000,사장님 한마디                    호텔 디 에디션은 대한민국의 미래를 선도하는 중심 도시 대전광역시 서구 둔산동에 위치하고 있습니다Daejeon  Dunsan의 지역명과 그리고 모회사인 Donggun의 영문명 첫 이니셜인   D  와 호텔을 이용하는 고객에게 한정된 특별한 시설과 서비스 제공을 실현하고자 하는 마음을 담은   EDITION   브랜드 네이밍  또한 Natural & Minimal 컨셉의 인테리어는 자연스러운 질감과 장식을 최소화하고 여백을 남겨 더욱 편안하고 안락한 휴식과 숙면을 통해 성공적인 비즈니스를 도울 수 있도록 설계하였습니다                주변정보시청역 도보 2분엑스포수상공원 차량 12분대전오월드 차량 28분기본정보체크인 : 15:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의얼리 체크인: 체크인 당일 확인 가능  레이트 체크아웃: 체크아웃 당일 확인 가능 시간당 11 000원 비용 발생 (프론트 문의   현장 상황에 따라 불가할 수 있음)무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 무료)주차 안내호텔 지하 주차장 공간이 부족하여 만 차일 경우  이용 가능한 주변 주차장을 안내드립니다1..호텔 뒤편 외부 주차장 (대전광역시 서구 둔산동 1421번지) 호텔 투숙객 무료 이용 가능 시간 : 15:00 ~ 익일 12:00 (시간 초과 시  이용자 부담) 무료 이용 시간 외 사용 시 요금 : 30분 당 2 000원2.노상 주차장 (호텔 주변 도로에 위치)월~금: 2시간 기준 요금 3 700원 (체크인~체크아웃 시간 최대 18 200원)토~일: 무료 이용 가능3.대전광역시청 주차장 (호텔에서 도보 3분)월~금: 2시간 기준 요금 3 700원 (체크인~체크아웃 시간 최대 9 000원)토~일: 무료 이용 가능객실정보욕조 구비 객실: 로열 스위트  디에디션 스위트[로열 스위트]  [디에디션 스위트] 객실 내 풀장 용품 구비 : 튜브 3개  구명 조끼  유아 가운)인원 추가 정보기준인원 외 추가 시  1인 33 000원 (5세~성인)침구 추가 : 1채당 33 000원영유아 인원수 포함   최대인원 초과 불가현장결제자세한 내용은 호텔 홈페이지 및 호텔로 문의 바랍니다투숙객 혜택짐 보관 가능프린트 이용 가능세탁서비스 이용 가능   호텔 문의부대시설 정보Califonia Bakery & Cafe   1~2F   08:00 ~ 22:00비즈니스 센터   1F   00:00~24:00   프린트 호텔 문의P.D.R (Iris  Anemone Room)   2F   이용시간 및 대여 품목 호텔 문의GYM   2F   06:00~24:00   18세 미만 어린이 또는 청소년 보호자 동반 필요Canteen shop   2F   24시간   셀프 세탁  건조기  벤딩머신  전자레인지  제빙기 사용 가능조식 정보Califonia Bakery & Cafe 2F   07:00~09:30 (입장 마감 09:00)   조식 뷔페 (메뉴는 계절 및 식자재 수급 상황에 따라 변동될 수 있음)1인 20 000원 현장 결제취사 시설전 객실 취사 불가취소 및 환불 규정체크인일 기준 1일 전 17시까지 : 100% 환불체크인일 기준 1일 전 17시 이후 ~ 당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다화재 위험이 있는 물품은 반입을 금합니다반려동물 동반 입실 불가합니다미성년자는 보호자 동반 없이 이용이 불가합니다이미지는 실제와 상이할 수 있습니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다,4
 유성 호텔 드메르,대전 유성구 봉명동 44026,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/1724/438018/49beb678fe6bfac15f9f5062de02736d.jpg,050240430829,혜택안내객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보1객실당 1주차 가능총 30대 주차시설 보유지하철 정보1호선 구암역1호선 유성온천역주변 정보  유성온천역까지 도보 5분 소요됩니다.  유성시외버스터미널까지 도보 10분 소요됩니다.   금호고속버스터미널까지  도보 10분 소요됩니다.  주변의 관광지로  엑스포과학공원  국립중앙과학관  화폐박물관  한국지질박물관  대전시민천문대  유림공원  유성 5일장  국립대전현충원  수통골 등이 있습니다.  인근 노천 족욕탕과 걷기 좋은 갑천으로 데이트 코스로 이용됩니다.객실내부 시설  욕실 리모델링 완료  최고급 침대 및 시트 교체  최신 냉장고 완비  최신 영화 서비스  최신 컴퓨터 설치  고급 비품 사용  전 객실 고급 어메니티 제공  전 객실 넷플릭스  전 객실 공기청정기 설치완료  전 객실 WiFi 설치 완료  전 객실 헤어드라이기  고데기 설치 완료  일부 객실 안마의자 구비  라텍스 침대  방음시설  아이팟 닥  비품  55인치 삼성 스마트 TV 설치프런트 및 그 외 시설  로비에서 원두커피 및 다과 제공  쾌적한 휴식 공간추가 안내사항  연박 이용시 평일에는 추가요금을 받지 않으나 금 토 연박이용시에는 토요일 입실시간이 늦으므로 추가요금이 있습니다.  24시간 무료스낵바 이용 가능  kt skylife   넷플릭스  삼성 스마트TV 설치(무료 영화 드라마 다시보기),5
 둔산 미드멜리,대전 서구 둔산동 1446,9.3,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/55117/513392/f8f3064114b7ddd6dd54dee1e2b42859.jpg,050440537402,사장님 한마디                    코로나19 예방을 위해 로비에 코로나19바이러스 99.9%제거 가능한 살균기를 설치 하였으며 매일 전객실을 소독하고 있습니다.오셔서 마음 편히 쉬세요2018년 10월 Mead MELI HOTEL GRAND OPEN                주차장 정보주차장이 비좁은 관계로 객실당 1대만 주차 가능합니다.유료주차장 20대   주차타워 19대 주차타워의 경우 SUV RV #주차불가#유료자차장의 경우 오후 5시부터 익일 오후 1시까지 주차가능총 39대 주차시설 보유지하철 정보1호선 시청역1호선 탄방역주변 정보시청역 7번출구 도보 2분  180m갤러리아 타임월드점 도보 15분객실내부 시설[객실 시설]전 객실 디즈니+  넷플릭스 무료 시청 가능합니다.전 객실 TV 구비 완료전 객실 드라이기 구비 완료	일부 객실 고데기 구비 완료	전 객실 휴대폰충전기 구비 완료	전 객실 와이파이 구비 완료	전 객실 에어컨 구비 완료	전 객실 냉장고 구비 완료		전 객실 커피포트 구비 완료	전 객실 사무용PC 구비 완료		전 객실 IPTV설치 구비 완료	전 객실 시네호텔 구비 완료	프런트 및 그 외 시설▼ 프런트 및 로비 시설 ▼① 커피머신 설치② 전자레인지 설치③ 정수기 설치④ 손소독제 비치⑤ 코로나 19 예방 살균기 설치추가 안내사항◆ 둔산 미드멜리 이용 안내 사항 ◆① 전 객실 2인 기준입니다.(인원 추가시 요금 발생하며  현장에서 추가 결제합니다.)② 전 객실 금연입니다!③ 3인 이상 혼숙 금지입니다.④ 타입별 대표 객실을 촬영한 것으로  사진과 제공되는 객실이 상이할 수 있습니다.,6
 대전 아늑호텔대흥점,대전 중구 대흥동 1522,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74812/24505/7c9763a1693a0ef0257e54425e2c645e.jpg,050240155652,사장님 한마디                    엘리베이터 없는 숙소 입니다. 프론트는 2층에 있습니다.아늑호텔은 원래 낡고 오래된 모텔이었습니다.저희는 모텔을 매입하고  깔끔한 인테리어  다양한 컨텐츠  더 나은 휴식을 위한아이템들을 더해 새로운 형태의 <콘텐츠 호텔>로 만들어 가고 있습니다.객실에서는 영화  플레이스테이션 음악 등 20종 이상의 컨텐츠를 경험할 수 있고 로비에는 평소 써보고 싶었던 제품들을 체험해볼 수 있는 공간으로 마련해놨습니다.또 전문적인 교육을 받은 직원이 체계 잡힌 응대 서비스를 제공하고 여러분이 머무는 공간의 청결 상태를 책임집니다.아늑호텔의 모든 객실에서 OTT 서비스  크리에이터들의 작품이 담긴 액자 더 나은 휴식을 위해 아늑호텔이 직접 개발한 고이고이 침구류와 어메니티를경험해 보실 수 있습니다.  지원 OTT서비스 : 넷플릭스 디즈니플러스 유튜브                주차장 정보숙소 내 5대 주차 시설 보유 (외부주차장 운영)1객실 1주차 입니다. (차량 추가 비용 2만원)탑차  튜닝카  차량 높이가 높거나차체가 낮은 차량의 경우 주차장 진입이 불가 하오니프론트(0422227599)로 문의 주시면 친절히 답변 드리겠습니다.총 5대 주차시설 보유총 5대 주차시설 보유지하철 정보1호선 대전역1호선 중앙로역주변 정보✨  65`UHD SMART TV✨  무인 키오스크✨  고급 어메니티✨  호텔 5성급 최상급 침구류(고이고이 침구 가운)✨  무료 와이파이✨  2층 서비스 및 체험존✨  고객님의 상황에 맞는 9개 컨텐츠 객실 운영✨  넷플릭스 무료 시청가능  ✨  웨이브 온 무료 시청가능✨  Disney+ 시청가능(개인아이디) ✨  YOUTUBE 프리미엄 시청가능객실내부 시설아늑호텔 대흥점전 객실 금연 입니다.객실 내부나 화장실에서 흡연 시 청소 비용 부과되며근처 객실에서 흡연 행위에 대한 항의로 인하여 적발 될 시환불 없이 바로 퇴실 조치 됩니다.아늑호텔 대흥점을 찾아주시는 모든 손님들께서 편안히머물다 가시기 위한 호텔 규정입니다미성년자는 이용이 제한되어 입실 시에 신분증을 확인 하오니 양해 부탁 드립니다.부모님 동반 아닌 이상 미성년자 분들은 절대 입실 불가기준 인원 초과 시 1인 2만원 발생합니다. 침구 추가 2만원(별도)최대 인원 외에 절대 입실 불가.(환불불가)유아 동반 시 미리 연락 주세요.남 여가 섞여서 3인 이상은 이용 불가 합니다.풍선이벤트하시는경우 (벽지 커튼에 테이프 붙이면 안됩니다.)객실 내 음식 반입 시 벽지 손상에 주의해 주세요.과도한 손상 시 배상 책임은 고객 님에게 있습니다.무한대실 이용 시간은 최대 시간 입니다. 마감 시간에 따라 이용 시간 제한프런트 및 그 외 시설아늑호텔 대흥점  연박 이용 시 공지사항연박 이용 시 평일에는 별도 추가 요금 없습니다.★다만 공휴일 전  금요일  토요일  일요일 연박 이용 시 추가 요금(4만~5만)이  객실에 따라 발생하며 해당내용을 숙지하지 못한경우 호텔측의 귀책은 없음을 고지합니다.따로 생성한 예약에 대한 유선 혹은 현장 연박 처리 요청 시 이 점 반영이 어려우실 수 있으며 연박으로 이용을 원하시는 경우에는예약 처음 생성 시 연박 예약을 부탁 드립니다.체크인 시 따로 생성한 예약에 대한 연박 처리 요청이 불가한 사항으로 인한환불 요청은 승인이 어렵습니다.연박 이용 시 지정 시간 청소 요청은 불가 합니다.객실내 물품 파손  또는 훼손시 배상 책임있으니 주의 부탁드립니다.입실시 디파짓 3만원 발생   퇴실시 객실확인후 반환,7
 대전 단밤호텔,대전 중구 대흥동 387,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/4103/494379/6e025d8fe6c2ca3164071f0a35d376ac.jpg,050240586921,사장님 한마디                    # 대전 대흥동 호텔 단밤 OPEN# 비대면 체크인 및 체크아웃으로 운영되고 있습니다.# 객실은 가장 기본인 스탠다드 객실과 120인치 시네마룸  고사양 커플PC  VIP(에어드레서or안마의자) 온돌방 트윈베드 트리플베드 미니파티룸 등의 다양한 타입으로 운영되고 있습니다.# 항상 편안한 공간을 제공하겠습니다.# 이용해주신 모든 고객님께 감사드립니다. :)                주차장 정보주차장이 협소합니다.주차는 예약순이 아닌 (입실순) 으로 가능합니다.주차장 만차 시 주차장 이용이 어려울 수 있으며  호텔 외부에 주차 양해 부탁드립니다.주차장 미보유 숙소입니다. 도보로 이용해 주세요.지하철 정보1호선 중구청역1호선 중앙로역주변 정보# 대전 1호선 중앙로역# 대전 1호선 중구청역# 은행동(으느정이거리) 도보 5~10분 거리에 위치# NC백화점 도보 5~10분 거리에 위치# 대전 한밭야구장 도보 5~10분 거리에 위치# 보문산 도보 10분 거리에 위치# 대전역 차량 이용 10분 거리에 위치객실내부 시설# 전 객실 스마트 TV를 통한 넷플릭스  유튜브 시청 가능# 어에드레서 객실을 통한 쾌적한 의류 관리 가능# 안마의자 객실을 통한 시원한 하루 마감 가능# 120인치 대형 프로젝터 + 사운드 바 설치 (시네마룸)# 고급 침구류 사용(구스 목화솜) 제공추가 안내사항# 대실 및 숙박 입실 시간은 업체 규정에 의거합니다.# 전 객실은 2인 기준 금액입니다. 인원 추가시 추가요금이 발생됩니다. # 연박 고객님 (금요일 ~ 일요일)은 추가 요금 (3만원) 발생됩니다. 단  스탠다드 (2만원)# 공휴일 전   후 요금이 변동될 수 있습니다.# 비품은 테이블 밑 서랍에 있습니다.# 객실 내 소음과 타인에게 피해가 우려될 경우 강제 퇴실을 원칙으로 합니다.# 미성년자는 출입이 제한되며  업체에서는 신분증을 요구할 수 있습니다.# 미성년자 대리 예약 확인 시 퇴실 조치할 수 있으며  이에 대한 환불을 불가합니다.# 호텔 기물 파손 및 도난시 손해 배상을 청구할 수 있습니다.# 온라인 예약이 불가능한 경우 전화 예약이 가능하니 전화 문의 부탁드립니다.# 차량 방문시 1객실 1주차 가능합니다. (객실당 1대 주차 가능)# 체크인 : 예약하신 고객님들께서는 키오스크 화면의 예약체크인을 누른 후 예약번호 끝 문자를 입력하시면 객실 카드를 발급 받으실 수 있습니다.# 체크아웃 : 키오스크 화면의 체크아웃을 누른 후 발급받으신 객실카드를 넣어주시면 체크아웃이 완료됩니다.,8
 도안 자우리,대전 유성구 봉명동 54211,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/5656/5951/52741a5413394aa64141f6bfd788db2b.jpg,050213932058,사장님 한마디                    자우리호텔은100%천연암반온천수를사용합니다.유성구청인증(연번32번)★대실예약시간으로입실처리됩니다.★                주차장 정보무료 1층 지하1층총 20대 주차시설 보유지하철 정보1호선 갑천역1호선 유성온천역주변 정보도안점과 유성점이 있습니다. 꼭 확인 후 예약 부탁드립니다.객실내부 시설넷플릭스가 설치되었습니다 (전 객실 이용가능)신종 코로나바이러스 예방 조치 안내항상 고객의 안전을 최우선으로 하는 자우리호텔에 보내주시는 신뢰와 성원에 진심으로 감사드립니다. 저희 호텔을 방문하시는 고객님들께서 안심하고 이용하실 수 있도록 아래와 같이 전 이용시설에 선제적인 위생과 안전 조치를 시행하고 있습니다.1. 고객 및 모든 방문자를 대상으로 비접촉식 체온계로 체온을 체크합니다.(고열 등 유증상자로 보이는 고객에 한해 투숙 및 시설 이용이 제한될 수 있습니다.) 철저한 예방과 고객 안전을 위한 것이오니 방문객 여러분의 양해 부탁드립니다.2. 바이러스 예방과 확산 방지를 위해 직원들이 마스크를 착용하고 근무 중입니다.전 직원의 감염 질환에 대한 교육 및 건강 상태를 실시간 모니터링하고 있으며  객실 정비 전 직원의 손 소독과 건강상태를 철저히 확인하고 있습니다.3. 객실 정비 시 개별 위생 정비 메이드가 모든 손잡이  세면대  컵  전화기  리모컨  전기포트를 별도 위생처리하고 있습니다.4. 공용 장소의 정기적인 소독 및 호텔 로비에 손 소독제를 비치하여 고객님의 위생을 살피고 있습니다.철저한 위생관리와 예방을 통해 고객님께서 안전하게 머무실 수 있도록 최선의 노력을 다하겠습니다. 감사합니다.자우리호텔은 100% 천연 암반 온천수를 사용합니다.  유성구청 인증 (연번32번) 감각적인 인테리어로 유명한 저희 자우리호텔 도안점은 모든 고객님께 품격 높은 서비스를 제공합니다.또한 고객님의 따뜻하고 포근한 잠자리를 위해 에이스침대와 프리미엄 순면 60수의 다운침구류를 구비했습니다. 체크인 : 평일 15시  토18시  일18시체크아웃 : 13시주차 가능(지상1층  지하1층)프런트 및 그 외 시설: 로비 원두커피와 쿠키 이용100% 천연암반온천수 사용에이스침대(프리미엄) 순면 60수 다운침구류 완비취소 및 환불규정체크인일 기준 3일전 17시까지 : 100%환불체크인일 기준 3일전 17시이후 ~당일 및 NOSHOW : 환불불가취소  환불시 수수료가 발생할 수 있습니다.인원추가 정보1인 1만원(미취학아동 5000원)현장결제및 추가비용 호텔 프론트 문의최대인원 초과시 입실이 불가합니다.위의 정보는 호텔 사정에 따라 변경될 수 있습니다.미성년자는 보호자 동반없이 이용하실 수 없습니다.,9
 유성 더휴식 아늑호텔2호점,대전 유성구 봉명동 54610,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/71320/455366/334afdd0fc4b5c054434a6ca3ff5e811.jpg,050440376352,사장님 한마디                    더휴식 프랜차이즈 아늑호텔은 전지점 금연호텔로 운영합니다.객실 내 흡연 시 4만원의 객실 관리비용이 부과됩니다. 흡연은 건물 외부에서만 허용됩니다.1객실 1대주차 (단  도보특가 객실이용객은 내 외부 주차 금지)저희 아늑 호텔의 고급스러움이 느껴지는 로브는 실제 4성급 호텔에서 쓰이는 원단으로 30수 제작된 프리미엄 가운입니다.고급 소재인 만큼 세탁업체의 많은 양의 공급이 어려워  전 객실에 배치가 어려운 점 양해 부탁드립니다.가운은 프런트로 문의 주시면 언제든 준비해 드리겠습니다.어메니티는 객실 내 서랍 열어보시면 구비 되어 있습니다. 감사합니다주차장 정보♣ 아늑호텔 주차 관련 공지사항1객실 1차량 이상 입고 불가도보특가 객실 차량 입고 불가주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보1호선 갑천역1호선 유성온천역객실내부 시설Room Type_기본정보Standard Room : 아늑한 공간  한번쯤 살아보고 싶은 그런 곳  포근하게 감싸 안기는 편안한 Standard Room2PC Gaming Room : PC게임을 연인  친구와 즐길 수 있는 곳  PC방을 그대로 옮겨 놓은 아늑한 공간 2PC Gaming Room CPU : 인텔i510400F RAM : 16G그래픽카드 : RTX2080기타 [기계식키보드  게이밍마우스  7.1채널 진동헤드셋  가죽 장패드모니터 : 32인치 240Hz 게이밍모니터Movie Room : 먹고 싶은 것  보고 싶은 것 마음대로 골라 편하게 영화볼 수 있는 곳  프리미엄 영화관이 담겨있는 아늑 시그니처 Movie RoomMusic Room : 힘들고 지친 하루 내가 좋아하는 음악과 함께 휴식할 수 있는 곳  제네바(Geneva) 스피커와 함께 휴식하는 Music RoomPlay Station Room : 친구와 연인과 오손도손 재밌는 콘솔게임 할 수 있는 곳  편안한 소파에서 PS4 게임을 즐길 수 있는 Play Station RoomVR Suite Room : VR게임을 할 수 있는 곳이 어디 있을까요? 새로운 차원을 경험할 수 있는 VR Suite RoomBrain Wash Room : 복잡하고 피곤했던 하루 아늑이 풀어드릴게요. 엠씨스퀘어 안마의자와 순두부 같은 고이고이 침대에서 하룻밤 즐기는 Brain Wash RoomSpa Suite Room : 따뜻한 물을 담은 욕조에 배쓰볼을 풀고 피로를 풀 수 있는 곳  BathProject와 함께하는 Spa Suite RoomBusiness Fantasy Room : 업무를 위한 가구 구성과 내일의 업무를 위해 편안함과 단정함을 준비한 공간  편안하고 차분한 분위기 속에서 새로운 하루를 시작할 수 있는 Business Fantasy RoomPet Suite Room : 나의 동반자와 알콩달콩 쉬어 갈 수 있는 곳  강아지와 함께 편히 쉴 수 있는 Pet Suite RoomParty Suite (Movie) Room : 먹고 싶은 것  보고싶은 것  마음대로 골라 편하게 영화볼 수 있는 곳  프리미엄 영화관이 담겨있는 아늑 시그니처 Party Suite (Movie) RoomParty Suite (Tatami) Room : 욕조에서 배스볼을 풀어 몸을 녹이며 피로를 풀 수 있는 곳  사우나에서  다다미에서 완벽한 휴식을 할 수 있는 Party Suite (Tatami) RoomGolf Room : 날도 덥고  골프채는 무겁고 ... 시원한 곳에서 골프하며 자세교정 할 수 있는 유일한 Golf Room프런트 및 그 외 시설♣ 더휴식 프랜차이즈 아늑호텔은 전 지점 금연호텔로 운영합니다.♣  객실내 흡연시 4만원의 객실 관리비용이 부과됩니다. 흡연은 건물 외부에서만 허용됩니다.♣ 예약관련 필수 안내사항♣  전객실 기준인원 2인이며  1인초과시 현장에서 인당 1만원의 추가요금이 발생합니다.  객실간 이동금지 및 혼숙절대 불가   적발시 강제퇴실조치 및 해당사유로 환불 불가합니다.  기준인원이외 무단으로 추가인원 입실시  강제퇴실 조치 및 해당사유로 환불 불가합니다.  1객실 1주차   2중 주차시 2호점 프런트로 키보관 필수  추가 시간연장은 시간당 1만원이며  사전업체로 문의바랍니다.  도보특가 객실타입의 경우 차량입고 불가하며  호텔측으로 차량입고시 별도의 주차관리요금 부과됩니다.  무한대실 이용시간은 최대이용시간으로 표기되며  마감시간에 따라 이용시간은 변동됩니다.♣연박예약 필수 안내사항♣  토  일요일 및 공휴일이 포함된 연박예약의 경우 현장에서 1일 4만원의 추가요금이 발생하며  해당내용을 숙지하지 못한경우 호텔측의 귀책은 없음을 고지합니다.♣펫룸 예약관련 필수 안내사항♣  입실시 디파짓 5만원 발생   보증금은 퇴실시 객실확인 후  반려견으로 인한 객실 손상이 없을 경우 반환됩니다.  소형견 (7kg) 미만 예약가능   초과시 업체로 사전문의 필수  반려견만 두고 외출 불가하며  해당사유로 적발시 강제퇴실조치 및 환불불가합니다.  짖음이 심한 반려견 예약불가  구비물품 : 펫 욕조  펫드라이룸  펫샴푸  펫타올  식기류일체  배변패드  매너벨트  객실내에서 매너벨트 필수착용   마킹으로 인한 벽지 오염시 도배 배상책임은 고객에게 있습니다.♣무비 스위트룸 예약 고객 필독♣ 무비룸 바닥 마감은 카펫입니다. 객실 내 배달음식 이용으로 인한 바닥 오염시 특수 청소비용이 부과됩니다.♣다다미 파티 스위트룸 예약 고객 필독♣ 객실 내 배달음식 이용으로 인한 다다미 마루 오염시 특수 청소비용이 부과됩니다.♣이벤트관련 필수 안내사항♣  이벤트 목적으로 예약하는 경우 풍선을 벽지나  거울  커튼에 붙이는 행위 절대 불가   손상시 배상책임은 고객에게 있습니다.♣스파 스위트룸 예약 고객 필독♣ 스파 욕조가 아닌 일반 욕조 설치로  단순 객실 컨셉이름임을 알려드립니다.♣1객실 1대 주차 (단  도보특가 객실 이용객은 내 외부 주차 금지)♣,10
