Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
80000,최대 9시간 무한대실,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/67852/376535/45e27ca40b2e46e284e6dd39a5c4a3e7.png,80000,81,3
 70000,숙박 이용시 조식 서비스제공(한식뷔페 토스...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/67852/379417/97462f39efdeb488b1689430c454f430.jpg,70000,81,4
 70000,스카이라운지 이용가능(노래방 오락실 당구장...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/67852/379418/99b075c70bdf0da1b6b14ae877c22c52.jpg,70000,81,2
 60000,전 객실 넷플릭스 시청가능,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/67852/379420/c742b1028e95884179331450ba06c81e.jpeg,60000,81,2
 60000,스탠다드(2PC 배틀그라운드 스카이라운지 금...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/67852/374231/63f939b7fcf7001f38f34eb0f9c6d286.jpg,60000,81,1
 80000,디럭스(2PC 배틀그라운드 스카이라운지 금액...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/67852/374232/8761dad0fe339deccfdf00acfb6d5608.jpg,80000,81,3
 80000,비지니스(1PC 배틀그라운드 스카이라운지 금...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/67852/374224/edb42f54ef39478888c2c47f789b0995.jpg,80000,81,1
 50000,프리미엄(2PC 배틀그라운드 스카이라운지 금...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/67852/374237/9aef3b069e03a409f3e97f28911ddbff.jpg,50000,81,4
 80000,VIP(2PC 배틀그라운드 스카이라운지 금액포함),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/67852/374239/fb515b9301b97988922ecb2140e3987f.jpg,80000,81,4
 90000,빠른입실(스카이라운지 금액 포함 넷플릭스 2...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/67852/375713/0355fc14aa0f75399ca88ea6a6e3761b.PNG,90000,81,1
