Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
90000,도보특가(객실 랜덤배정),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74709/516586/d2f0db0f712185eb7dae48e614728ee2.jpg,90000,41,3
 100000,스탠다드,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517866/55fb13f73e6187bc88dd960753e9cbea.jpg,100000,41,4
 70000,스탠다드트윈(침대크기 랜덤배정),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517874/05f3f730390a5b7cf8464fa41a468394.jpg,70000,41,3
 100000,디럭스,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517880/8cf42450561fa386f90bb6a3c209787b.jpg,100000,41,1
 70000,온돌,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517876/e75fe2e1e60dc6dfa9286a465a087be3.jpg,70000,41,1
 60000,디럭스스파,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517869/c82213e17c470ab7933dfb9d7761f901.jpg,60000,41,4
 50000,프리미엄트윈(침대크기 랜덤배정),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74709/517878/dfae1e96f6e96c3ba705b638ad6e2b18.jpg,50000,41,3
 100000,펜트하우스,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74709/528368/1a3d06328ea9df7809d17de69c23fa9a.jpg,100000,41,2
 70000,도보특가  스탠다드 기준 랜덤배정  차량불...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74000/504050/9de3168c17f1bd9865156291d579363a.png,70000,42,1
 100000,Standard (아늑함  청결함  쾌적함만 남긴 스...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503707/a3080015a6be6eed68007d3f4028ae60.jpg,100000,42,4
 80000,Business (일하기 좋은 데스커 책상에서 업무...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503708/f6b899a0014af602c46f48c3ef2746d5.jpg,80000,42,3
 80000,Music (하이엔드 제네바 스키퍼와 함께 최상...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503709/00ade2b3d51b02765a1915a3bd496b44.jpg,80000,42,3
 70000,Yoga & Meditation (안다르 요가 용품과 인센...,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503710/10a42f96710ca1b34f64af18b5f8c710.jpg,70000,42,4
 90000,Get Better (마샬 스피커로 좋아하는 음악과 ...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503711/4ff6e443002fe6ecc0e1417696bfe17d.jpg,90000,42,2
 50000,Make Up (평소에 사용해 보고 싶었던 스타일...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503712/c44ed931076c9f71c5cd44ee98f47d10.jpg,50000,42,4
 100000,2PC (고사양 게이밍 PC 2대로 밤새도록 게임...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503713/29e498deaaa16a4cb9b225a7387aa4e5.jpg,100000,42,1
 90000,Deep Sleep (엠씨스퀘어 안마의자에서 하루의...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503714/cc56b06c5c424fe9a1da85d4d7940962.jpg,90000,42,3
 60000,Play (플레이스테이션 4로 콘솔 게임을 마음...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503715/fb99008fbd34d9f9b65e86ffbc18bcec.jpg,60000,42,3
 80000,Movie (리클라이너에 누워서 대형 스크린으로...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/74000/503716/6ee08b238bab09b9225b6e6ee920784f.jpg,80000,42,2
 90000,빠른입실(객실랜덤배정),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/74000/506465/992994d66bdfb13d81c2f52a51ea00f0.jpg,90000,42,1
