Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
서울신라호텔,서울 중구 장충동2가 202,9.8,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2022/02/10/6204da5d95cd3.jpg,0222333131,사장님 한마디                    전통이라는 지붕 위에 모더니즘적 디자인 요소를 가미  삶에 여유와 품격을 한층 높여 주는 프리미엄 라이프스타일 공간으로 변화를 거듭해 오는 세계 최고의 럭셔리 호텔입니다                주변정보동대입구역 5번 출구 도보 5분신라면세점 도보 3분기본정보체크인 : 14:00 | 체크아웃 : 11:00무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 무료)주차 가능 (객실 당 1대 무료)인원 추가 정보객실 1실 당 최대 투숙 인원 : 성인 3인 or 성인 2인+소아 2인 (단  이그제큐티브 객실 및 더 이그제큐티브 라운지 혜택 포함 객실의 경우 만 13세 미만 투숙 불가)기준인원 외 추가 시  1인 60 500원 (만 13세 이상~성인)  36 300원 (37개월 이상~만 12세 이하)  37개월 미만 무료[이그제큐티브 비즈니스 디럭스  이그제큐티브 그랜드 디럭스] 객실 : 기준인원 외 추가 시  1인 242 000원 (더 이그제큐티브 라운지 혜택 포함)침대 추가 : 호텔 문의 (단  재고 상황에 따라 불가할 수 있음)재고 가능 시  침구(이불 담요) 추가 무료영유아 인원수 포함   최대인원 초과 불가현장 결제투숙객 혜택실내 수영장 및 실내 체육관 무료더 파크뷰 조식 성인 투숙객 할인가 제공부대시설 정보호텔 부대시설은 감염병 예방법  재난 안전법 등 관련 법령 및 방역 당국 등의 규제  조치 사항 등에 따라 사전 고지 없이 이용이 제한되거나 변경될 수 있습니다실내 체육관  실내 수영장  실내 사우나(유료 시설)는 매월 세 번째 수요일 정기 휴무입니다더 파크뷰   1층   06:00~22:00   조식  브런치  저녁 뷔페로 운영실내 체육관   5층   05:30~22:30   만 16세 이상 이용 가능실내 사우나   3층  5층   05:30~22:30   유료   만 13세 이상 이용 가능실내 수영장   3층   06:00~22:00   만 13세 이상 이용 가능 (단  주말 및 공휴일에는 성인 보호자의 보호 아래 만 13세 미만인 고객이 입장할 수 있으며  신장 140cm 미만인 고객은 성인 보호자의 보호 아래 구명조끼 착용 시 입장할 수 있습니다)야외 수영장(어번 아일랜드)   3층   유료   계절에 따라 이용 시간 상이[2023년 어번 아일랜드 운영 시간]10월 4일~11월 26일 : 09:30 ~ 20:00상품 기획 및 수도권 방역 조치에 따라 변동 가능[어번 아일랜드 이용 안내]성인풀  키즈풀 및 자쿠지 등의 시설 이용 시 현장 라이프 가드 직원의 안내를 받으시기 바랍니다신장 140cm 미만의 고객은 성인 보호자의 보호가 필요하며  성인풀 이용 시에는 반드시 구명조끼를 착용하셔야 합니다선베드는 선착순으로 배정되며  객실당 2개씩 제공됩니다 (어번 아일랜드 이용 혜택 포함 객실 한정)36개월 미만 유아는 방수 기저귀 착용 후 이용 가능합니다지름 1m 이내 사이즈의 튜브만 반입이 허용되며  키즈풀에서만 사용 가능합니다강우 및 태풍  한파 등과 같은 기상 상황에 따라 어번 아일랜드 이용이 제한될 수 있습니다쾌적하고 안전한 운영을 위해  적정 인원 초과 시 입장이 제한될 수 있습니다자세한 야외 수영장(어번 아일랜드) 이용 안내는 호텔 홈페이지를 참고 바랍니다더 이그제큐티브 라운지 혜택 안내더 이그제큐티브 라운지   23층   06:30~22:00 (만 13세 이상 입장 가능)익스프레스 체크인&체크아웃 서비스 제공조식   애프터눈 티   해피아워 서비스 제공조식 : 월요일~금요일 06:30~10:00   토요일  일요일 및 공휴일 06:30~10:30애프터눈 티 : 15:30~17:00해피아워 : 18:00~22:00미팅룸 1시간 무료 이용 (투숙 중 1회   사전 예약 필요)음료 테이크 아웃 서비스 미제공평일 주중에 한해 투숙객 동반하신 외부 고객 2인까지 유료 입장 가능합니다 (금 토 일 및 공휴일 제외)조식 정보더 파크뷰   1층   06:00~10:00성인(만 13세 이상) : 1인 사전 요청 시 56 000원  현장 결제 시 정상가 80 000원체크인 전 조식 추가 요청 시 할인 요금 제공되며  체크인 이후 요청할 경우 정상가로 이용 가능 (호텔 문의)소인(37개월 이상~만 12세 이하) : 40 000원 (현장 결제만 가능 사전결제 불가)취사 시설전 객실 취사 불가취소 및 환불 규정[기본 취소 규정]체크인일 기준 1일 전 18시까지 : 100% 환불체크인일 기준 1일 전 18시 이후~당일 및 Noshow : 최초 1일 숙박 요금의 90% 환불 (연박의 경우 최초 1일 90% 환불  이후 일자 100% 환불)[성수기 취소 규정 (매년 5~10월  12월 24~31일)]체크인일 기준 1일 전 18시까지 : 100% 환불체크인일 기준 1일 전 18시 이후~당일 및 Noshow : 최초 1일 숙박 요금의 20% 환불 (연박의 경우 최초 1일 20% 환불  이후 일자 100% 환불)취소  환불 시 수수료가 발생할 수 있습니다당일 취소 및 Noshow는 앱 내 취소가 불가하므로  당사 고객센터를 통하여 취소 및 환불 문의 바랍니다확인사항 및 기타체크인 시 Deposit(보증금) 요구할 수 있고  퇴실 시 전액 환불됩니다(단  유료서비스 이용 및 기물파손 시 청구될 수 있음)미성년자는 보호자 동반없이 이용이 불가합니다위의 정보는 호텔의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다해당 객실가는 세금  봉사료가 포함된 금액입니다수영장 운영은 날씨 또는 호텔 상황에 따라 변동될 수 있습니다,1
 영등포 HAVENUE,서울 영등포구 영등포동3가 23,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/844/524245/ea9c450caf813674d66fa972a1901ab2.jpg,050214601324,사장님 한마디                    HAVENU HOTEL 영등포점⭐2023.06.30 GRAND OPEN⭐모든것이 신규 신상인 신축 건물입니다.신규 신상 신축이 영원하도록 철저한 객실 관리와 꼼꼼한 소독 및 방역고객님이 떠나실때마다 소독과 점검을꼬박꼬박 실시하고 있습니다.고객님께 룸제공시 청결도 확인으로 인하여 입실시간이 늦어질수 있는점양해 부탁드립니다^^(최대5분~10분)                주차장 정보⭐HAVENU HOTEL 주차안내⭐예약시 도보 선택후 차량 이용시 주차비 발생 또는 주차불가 할 수 있습니다.(이에 따른 예약환불이나 취소는 불가합니다.)추가 차량이용 미리주차의 경우 호텔로 문의바랍니다.(주차비 발생되는점 참고바랍니다.)총 30대 주차시설 보유지하철 정보1호선 신길역1호선 영등포역5호선 신길역객실내부 시설⭐HAVENU HOTEL 고객님 편의사항⭐숙박업소 최초 전객실 천정형 공기순환기 설치전객실 1GB 광랜설치전객실 WiFi전객실 시스템 냉 난방전객실 넷플릭스 무료 이용가능전객실 LG스마트 TV전객실 스마트 비데설치전객실 헝가리구스 침구호텔내 얼음제빙기 커피머신기 렌즈통 렌즈액 전자렌지 ATM현금지급기 설치프런트 및 그 외 시설확인 사항⭐HAVENU HOTEL⭐이용안내서를 꼭 읽어보시기 바랍니다.약관 명시사항이 숙지되지 않으실경우고객님의 불찰로 이어지는점 참고바랍니다.⭐HAVENU HOTEL 이용안내⭐어메니티 비용은 별도입니다.전객실 금연 (호텔주의사항 참조)예약시간 전 미리입실시 시간당 1만원의 추가요금이 발생됩니다.(미리 주차도 동일하게 적용)여기어때 예약하시는 분들도 신분증 확인 합니다 신분증 지참 부탁 드립니다.(폰사진 미지참시 입실거부) 이에 따른 환불조치는 불가합니다.입실시간이 경과된 경우  취소 및 환불 불가합니다.퇴실점검 및 객실 청소 확인을 위해 규정된 퇴실시간 준수( 퇴실시간 초과시 추가요금발생 )전 객실 2인 1실 기준이며  어플 예약 시 타입별로 객실은 랜덤 배정됩니다.트윈(최대3인) 등 객실별로 상이할 수 있습니다.기준인원 초과시 추가요금이 발생됩니다 (1인 추가시 +2만원 현장결제)최대인원 2인 객실은 인원추가가 불가합니다2인이상 혼숙예약으로 인한 발생되는 입실 거부에 대해서는 취소 환불이 불가합니다.인원추가 예약문의는 호텔로 문의바랍니다.투숙 당일 노쇼의 경우  결제한 금액은 호텔측에서 환불되지 않습니다.여기어때 취소규정을 확인해 주시고 이용에 참고부탁드립니다⭐저희 호텔은 최근 분실사고로 인해 수화물 보관을 하고 있지 않습니다.⭐⭐HAVENU HOTEL 미성년자 관련사항⭐미성년자는 이용 불가입니다. 동성도 불가  전화문의 주셔도 입실이 불가합니다.여기어때 예약하시는 분들도 신분증 확인 합니다. 신분증 지참 부탁 드립니다.(폰사진 미지참시 입실거부) 이에 따른 환불조치는 불가합니다.⭐HAVENU HOTEL 주차안내⭐예약시 도보 선택후 차량 이용시 주차비 발생 또는 주차불가 할 수 있습니다.(이에 따른 예약환불이나 취소는 불가합니다.)추가 차량이용 미리주차의 경우 호텔로 문의바랍니다.(주차비 발생되는점 참고바랍니다.)⭐HAVENU HOTEL 고사양PC안내⭐고사양 게이밍 객실에 설치된,2
 사당 호텔 카일,서울 관악구 남현동 106216,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73221/23550/6d0b1c438086b70421031f4ddaefd46a.jpg,050440206722,주차장 정보★★미리주차불가!!!!!★★★★얼리룸 무한룸 객실 랜덤배정!!!★★객실1개당 차량1개 주차가능미리주차시 주차비용 발생 할 수 있습니다총 20대 주차시설 보유지하철 정보2호선 사당역주변 정보★★미리주차불가!!!!!★★★★얼리룸 무한룸 객실 랜덤배정!!!★★서울시립 남서울 미술관  남현 예술 정원객실내부 시설★★미리주차불가!!!!!★★★★얼리룸 무한룸 객실 랜덤배정!!!★★★★추가 침구류 불가!!!!!★★TV65인치 스타일러 공기청정기 비데 PC 욕조 드라이기 고데기 주차장 토스트기 커피머신기 인덕션 전자레인지 음료자판기 성인자판기고사양 pc 그리고 다양한 드라마 영화를 즐길수 있는 NETFLIX!!WAVVE ON!!등 무료로 시청가능합니다!!트윈룸(혼숙불가  전 객실 침구류 추가 불가)프런트 및 그 외 시설다이닝룸 주차장 로비,3
 역삼 인트로호텔,서울 강남구 역삼동 67714,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/72748/479210/ab94afc451c0ce2b72d429d267e60525.jpg,050240424038,주차장 정보지상 주차장과 지하주차장을 사용할수 있습니다객실당 1대만 주차할수 있습니다슈퍼카 튜닝카 화물차 대형차 승합차 카니발등 특수차량은 예약하시기전 호텔에 문의 바랍니다총 15대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설모든 객실 75인치 스마트 TV + 통 메모리폼 킹 사이즈 매트리스모든 객실 금연실로 운영중 입니다 ( 객실내 흡연 불가)객실내 흡연시 과태료가 부과 됩니다 흡연하실분은 다른 호텔 이용을 부탁 드리겠습니다모든 객실 2인1실로 운영되고 있습니다 (인원추가 불가)객실내 이벤트 불가 합니다 예)촛불 사용  천장에 풍선 붙이는 행위갑각류(킹크랩)+각종 수산물 객실내 배달및 반입불가프런트 및 그 외 시설슈퍼카 튜닝카 화물차 승합차 카니발등 특수차량은 예약하시기전 호텔에 문의 바랍니다객실당 1대만 주차 가능합니다,4
 서울대 하운드 호텔,서울 관악구 봉천동 8661,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73648/495944/28994a0be615034ba79e57c68e664b84.jpg,050214774575,주차장 정보여유있는 주차장 공간과 최신식 객실의 퀄리티를 제공드립니다총 50대 주차시설 보유지하철 정보2호선 서울대입구(관악구청)역2호선 봉천역,5
 신라스테이 구로,서울 동작구 신대방동 698,9.3,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2021/12/30/61cd5eb540030.jpg,0222300700,사장님 한마디                    디지털 산업의 메카 구로에 있으며  대한민국 IT 벤처의 중심 디지털 밸리까지 도보 5분 거리에 자리하고 있습니다이용객들의 휴식과 편의를 돕는 세심한 서비스와 다양한 규모의 미팅룸이 마련되어 있으며  컴퓨터와 프린터가 갖춰져 비즈니스 여행객에게 가장 적합한 호텔입니다                주변정보구로디지털단지역 도보 7분보라매공원 차량 8분기본사항체크인 : 15:00 | 체크아웃 : 12:00 무료 WiFi  전 객실 금연기본 Bath Amenity (AVEDA) 구비만 19세 미만 투숙 불가[주차 정보]주차 가능 (1객실 당 1대 무료)추가 주차 시 1대 당 10 000원   현장 결제주차 공간 제한으로 인하여 가급적 대중교통을 이용해 주시기 바랍니다호텔 주차장 만차 시 인근 주차장 이용 부탁드립니다 (도보 7분   프론트에서 주차권 제공)인원 추가 정보전 객실 인원 추가 불가투숙객 혜택피트니스 센터  비즈니스 센터 무료 이용전 객실 스트리밍 서비스 이용 가능 (개인 계정 필요)부대시설 레스토랑   2층   11:30~14:00  12:00~14:30 (중식)  18:00~22:00 (석식)   21시까지 단축운영피트니스 센터   21층   06:00~23:00   21시까지 단축운영비즈니스 센터   1층   00:00~24:00조식 정보조식 레스토랑   2층   06:30~09:30   07:00~10:001인 : 28 000원 (성인)  15 000원 (소인)37개월 미만 무료현장결제취소 및 환불 규정체크인일 기준 1일전 18시까지 : 100% 환불체크인일 기준 1일전 18시이후~당일 : 환불불가취소  환불시 수수료가 발생할 수 있습니다아래 객실은 별도의 취소 규정이 적용되오니 참고 부탁드립니다확인사항 및 기타실명으로만 예약 및 체크인 가능합니다최대인원 초과시 입실 불가합니다내국인 전용상품으로 외국인은 투숙이 불가능합니다외국인에 경우 국내거주증 소지자에 한하여 투숙 가능 합니다위의 정보는 호텔의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다해당 객실가는 세금  봉사료가 포함된 금액입니다미성년자는 보호자 동반없이 이용하실 수 없습니다,6
 건대 더 디자이너스 프리미어화양동,서울 광진구 화양동 2315,9.3,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/49461/8046/17a48e6759fbbd5e0db7f5195d52db07.jpg,050440145283,주차장 정보차량이용시   Valet Parking (유료 2000원)1층 정문 주차장소형  대형  SUV 등 모든 차량 주차가능 (주차 리프트 타워 )총 60대 주차시설 보유지하철 정보2호선 건대입구역7호선 어린이대공원(세종대)역7호선 건대입구역주변 정보건대 먹자골목 도보 10분거리어린이대공원역 8분거리에 있습니다건대입구역 10분거리에 있습니다객실내부 시설전객실 넷플릭스 이용가능(본인계정사용)Dining Bar & Lounge Roof차량 이용시 Valet Parking Service(비용 2 000원)이용안내무선 충전기 대여(유료)객실 디자인은 체크인시 랜덤배정 되십니다.추가 안내사항※ 기본규정신분증미지참시 체크인불가합니다.0~ 9세까지  무료입실 10 ~ 16세까지  11 000원17 ~ 성인  22 000원침구 추가  22 000원이불 추가  11 000원이불이나 침구 추가는 선착순 마감최대인원 초과불가현장결제※ 일레븐 라운지 1LLEVEN LOUNGE건대 최고의 전경과 2가지 컨셉이 공존하는 스카이 라운지 Cafe & Bar & Rooftop일레븐 라운지 1LLEVEN LOUNGE20F Cafe & Dining BarBar PM 18:00 ~ AM 01:30 (일요일 정기휴무)클래식 & 빈티지가 공존하는 인테리어.PM 18:00 ~ AM 01:30 (일요일 정기휴무)화이트 & 로즈골드가 강조된 세련된 인테리어와22F Rooftop고객님들의 취향에 따라 자유롭게 즐기실 수 있는서비스를 제공 해드리고 있으며누구나 맛볼 수 있는 쉐프의 특별한 요리를 준비하였습니다.기상 상황에 따라 OPEN  CLOSE가 변동되오니방문하시는 당일날 전화로 문의 주시면 공지해드리겠습니다.(모든 라운지는 내부계단으로 이동 가능합니다.)※ 일레븐라운지 문의 ( 임시휴업 ) Tel. 024982211※패키지 구매 안내패키지 구매자는 호텔을 통해서 라운지 이용시간을 미리 말씀하신 후에 예약 가능하며  해당 시간부터 이용할 수 있습니다.,7
 건대 호텔 K World,서울 광진구 자양동 246,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/51604/161153/9e71c572fa7a8c26b13883e307ef7f41.jpg,050440456158,사장님 한마디                     체크인 시간 룸타입별 확인필수  체크인시간 미숙지로 인한 변경  환불불가  전 객실 금연 얼리 체크인요금 시간당 발생( 현장문의 필수) 레이트 체크아웃시  시간당 요금부과( 현장문의) 무료주차 (숙박고객 입실 3시간전 주차 가능) 객실당 차량은 한대만 주차가능(차량 2대 이용시 추가요금 발생) 기준인원 외 초과 입실불가 모든추가비용 현장결제  체크인시 신분증필요 (미성년자 이용불가)  2인기준 인원추가시 추가요금발생( 사전문의 필수)   객실요금은 호텔사정에따라 변동될수있습니다  Design Hotel 특성상 사진과 다른 테마의 객실이 배정될수있습니다( 랜덤배정)                주차장 정보발렛 비용 없는 무료 주차 가능.기계식주차에 진입 가능한 차량이라면 미리주차 가능.객실당 차량은 한대만 주차가능(차량 2대 이용시 추가요금 발생)총 30대 주차시설 보유지하철 정보2호선 건대입구역7호선 어린이대공원(세종대)역7호선 건대입구역주변 정보건대입구역 6번출구 도보 7분추가 안내사항  연말 PKG 2인 : 체크인시 배정 객실 + 와인 1병(와인은 호텔에서 준비된 와인 중 택1),8
 잠실 Stay hotel,서울 송파구 잠실동 2509,9.3,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/1929/398125/2e54909fe3b5bf1b52d20c890555b046.jpg,050440161730,주차장 정보타워주차장 완비무료 주차1객실당 1대 주차가능(객실당 2대주차 불가)총 40대 주차시설 보유지하철 정보2호선 잠실새내역9호선 삼전역추가 안내사항  2인 1실 기준 : 인원 추가 시 15 000원 추가 12시 체크아웃 : 1시간 연장 시 10 000원 추가(주말 공휴일 15 000원 추가) 1실 당 차량 1대 원칙_차량 1대당 추가 요금 10 000원  토 일 공휴일 1실 당 차량 1대_추가 불가디럭스트윈 객실 원베드 가능(침대 붙여짐) ,9
 잠실 루이체,서울 송파구 방이동 3710,9.4,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/3205/459367/39d80bc2e609a7c2a6c625972ee07a1a.jpg,050448937174,혜택안내요금할인객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보1객실 1주차 가능 미리주차불가(전화문의사절)1객실에 차량두대불가 퇴실후 주차불가도보전용 차량불가총 17대 주차시설 보유지하철 정보2호선 잠실(송파구청)역8호선 몽촌토성(평화의문)역8호선 잠실(송파구청)역주변 정보2호선 잠실(송파구청)역8호선 몽촌토성(평화의문)역 도보3분롯데월드 석촌호수도보5분새벽 대실 전화 문의방역및 소독으로 인한 입장시간이 내부사정상 조금은 지연될수있음을 알려드립니다..객실내부 시설최고급 매트리스  대형tv 넷플릭스  무제한 시청 가능  큰 욕조 스타일러  안마의자  공기청정기각 객실 고데기 비치 추가렌즈통  리뉴 무료제공 추가,10
