Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
100000,[MEMBER EXCLUSIVE] 비즈니스 디럭스 더블,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a82b93ad.jpg,100000,1,1
 70000,[MEMBER EXCLUSIVE] 비즈니스 디럭스 트윈,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a9d5d9e0.jpg,70000,1,4
 90000,[MEMBER EXCLUSIVE] 그랜드 코너 디럭스,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/04/07/624e91e6e28bd.jpg,90000,1,3
 50000,[LTA ROOM ONLY] 비즈니스 디럭스 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a82b93ad.jpg,50000,1,4
 100000,[LTA ROOM ONLY] 비즈니스 디럭스 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a9d5d9e0.jpg,100000,1,2
 50000,[LTA ROOM ONLY] 그랜드 코너 디럭스,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2022/04/07/624e91e6e28bd.jpg,50000,1,1
 80000,[LTA BED AND BREAKFAST] 비즈니스 디럭스 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a82b93ad.jpg,80000,1,4
 70000,[LTA BED AND BREAKFAST] 비즈니스 디럭스 트윈,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a9d5d9e0.jpg,70000,1,1
 90000,[LTA BED AND BREAKFAST] 그랜드 코너 디럭스,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/04/07/624e91e6e28bd.jpg,90000,1,2
 100000,[LTA ROOM ONLY] 이그제큐티브 비즈니스 디럭...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a82b93ad.jpg,100000,1,1
 100000,[LTA ROOM ONLY] 이그제큐티브 비즈니스 디럭...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/22/62146a9d5d9e0.jpg,100000,1,3
 50000,[LTA ROOM ONLY] 이그제큐티브 그랜드 디럭스,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/28/64c3177d697a4.jpg,50000,1,2
 60000,야간대실 (랜덤배정),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/844/525342/b614915f6da733cbc6aec9ee5fcc1f6b.jpg,60000,2,3
 80000,컴팩트 (주차불가 넷플릭스 스마트Tv 헝가리...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/844/524250/e0486bc8ad60f9aa0ead859481861554.jpg,80000,2,4
 70000,스탠다드 (주차불가 넷플릭스 스마트Tv 헝가...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/844/524238/54b3a9164a5f9e0d78395202fa747e55.jpg,70000,2,1
 50000,디럭스 (주차불가 넷플릭스 스마트Tv 헝가리...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/844/524239/cf9c29f468d0d1f455505841248e07c6.jpg,50000,2,2
 60000,고사양 2PC 게이밍 디럭스 (3060.32GB.주차가...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/844/524240/a803d31491f7f7ec0672d93b3a4baa2b.jpg,60000,2,3
 50000,고사양 2PC 게이밍 스위트 (3060.32GB.주차가...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/844/524241/4596cdbafd15ce6e0bb86eaa7f7b3c6f.jpg,50000,2,2
 100000,디럭스 스타일러 (주차가능 넷플릭스 스마트T...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/844/524242/e902055c5409a4f56a31f57f8756ddef.jpg,100000,2,3
 100000,스위트 스타일러 (주차가능 넷플릭스 스마트T...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/844/526576/eea13dd3fefcd5c34bb1530dead78f7b.jpg,100000,2,1
 100000,트윈 스타일러 (주차가능 넷플릭스 스마트Tv ...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/844/524244/e6592357d5f6eeb9b6f07677758fd098.jpg,100000,2,1
 90000,얼리체크인 (주차불가 15시~12시),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/844/524247/447530643ef1017bc8e255d3923a5635.JPG,90000,2,1
 90000,레이트 체크아웃 (주차불가 익일 16시퇴실),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/844/524248/fecbe80c8c949ace7ba88f058da76325.jpg,90000,2,3
 80000,무한숙박 (13시~13시),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/844/524249/6b268cb179eb7d57489fab634c78ed65.jpg,80000,2,1
 100000,루프탑야외욕조 (주차가능 야외욕조 넷플릭...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/844/524245/ea9c450caf813674d66fa972a1901ab2.jpg,100000,2,1
 70000,얼리룸(도보전용 빠른퇴실),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73221/494261/d184dd39043a400efe49dea0c3dd3afe.jpg,70000,3,1
 60000,스탠다드 미니(도보전용),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/73221/492048/e91921f6712c3fc0f404de26ded4011f.jpg,60000,3,1
 50000,스탠다드,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/73221/492057/1af79b0bf49984554acbd12bb1cf6e1e.jpg,50000,3,3
 90000,디럭스,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73221/492062/27443566d93fc2073365a7b6c0589827.jpg,90000,3,4
 80000,고사양 커플PC룸그래픽 3060,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/73221/497914/73b0474aa33c77ee13083d299a90602b.jpg,80000,3,1
 50000,비즈니스 에어드레서(욕조),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73221/498032/fbc23aa1510cee496980a477e8d086e8.jpg,50000,3,1
 90000,디럭스 트윈,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/73221/492063/f7e3dce04575bb1387d5c8376e0f3a35.jpg,90000,3,2
 80000,로얄 테라스 룸,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/73221/497915/a3775ce96271f0692be02f5ce3e5328d.jpg,80000,3,3
 90000,무한룸,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/73221/488700/9ed54282d019ab2e7ba6d20b2ab4bb9a.jpg,90000,3,4
 100000,슈페리어  주차불가(금연객실),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479225/2543d40c476b832d433b913e48c7fac5.jpg,100000,4,3
 60000,슈페리어(금연객실),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479208/c7a348fa30a808c885dbcb4ab98051f4.jpg,60000,4,1
 100000,디럭스A  주차불가(금연객실),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479226/8b22f4759494c2186e3cec1b905597d2.jpg,100000,4,3
 100000,디럭스B  주차불가(금연객실),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479227/6cee03c3659897c1a51e7d45343b9231.jpg,100000,4,4
 100000,디럭스 A(금연객실),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479206/5cd5859437210fe89c52af9d8d17a611.jpg,100000,4,1
 60000,디럭스 B(금연객실),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/72748/479207/36f153737fec02902eab1b416ea958ca.jpg,60000,4,2
 70000,스탠다드,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73648/495942/813ac90a02dabb64d01c6c60f141d231.jpg,70000,5,3
 100000,디럭스,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/73648/496600/0f840e786498a958e69d35e8d9714d8e.jpg,100000,5,4
 70000,프리미엄 미러,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/73648/495944/28994a0be615034ba79e57c68e664b84.jpg,70000,5,1
 60000,프리미엄 윈도우,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/73648/495945/1205bceabd6f73753d2155f37392eb63.jpg,60000,5,2
 90000,스위트 트윈,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73648/495943/e210ff4ef0e7201476d5e548a1404380.jpg,90000,5,4
 80000,[31시간 스테이] 스탠다드 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/01/64f16e38e75f9.jpg,80000,6,1
 60000,[룸온니] 스탠다드 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2021/07/30/610357ca67526.jpg,60000,6,1
 90000,Delux e Cityview 15시 체크인,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/49461/212208/a5c307aea1fdbbdda2fe6ba60ca27b38.jpg,90000,7,2
 100000,디럭스 시티뷰,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140878/3ebf0bcb0e24479eb65536cf7a50b243.jpg,100000,7,3
 80000,디럭스 더블,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140879/5559d17b60e193a2d9c65bdad36a19be.jpg,80000,7,1
 70000,디럭스 트윈 / 싱글베드2개,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140996/db60514e5c86c05749a9c10818671edc.jpg,70000,7,2
 80000,스위트,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140877/16213aa5459d269ec1db799f11f52f04.jpg,80000,7,3
 60000,디자이너스 스위트,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140876/98c87857bd1c75bfd1d5888d7373295a.jpg,60000,7,2
 70000,Delux 15시 체크인,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/49461/212207/22e67d2801d91c8b2f0d0acf122ed730.jpg,70000,7,2
 60000,Suite 15시 체크인,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/49461/212209/1dbaebeb7d13373aaf96e77d8ec64ce2.jpg,60000,7,1
 90000,로얄스위트,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140875/6aecca9bba3ea04b55ea343c72f58690.jpg,90000,7,1
 70000,펜트하우스,2,5, //image.goodchoice.kr/resize_370x220/adimg_new/49461/140874/8c1fe7c8d7494975198acabc46c81f64.jpg,70000,7,3
 50000,세시간대실(랜덤배정),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/51604/420656/246e482a363bb88fc928c4468a138ab9.jpg,50000,8,4
 90000,여섯시간대실(랜덤배정),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/51604/420659/2bf82d1d0fccc2119fbc943b4ce79754.jpg,90000,8,3
 50000,무한대실(랜덤배정),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/51604/420660/eb16c84969b35f8877ea48c8d2d0e831.jpg,50000,8,2
 90000,낮숙박(랜덤배정),2,5, //image.goodchoice.kr/resize_370x220/adimg_new/51604/420661/beccb0edf37e625fa472ab90b12dc800.jpg,90000,8,4
