Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
스타즈호텔 울산,울산 남구 삼산동 22417,9.4,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/03/14/640fc4bf9eb91.jpg,16447694,사장님 한마디                    편리한 위치  합리적인 가격  편안한 서비스로 여행에 좋은 추억을 더해 드립니다모던한 감각의 객실에서 편안하게 휴식할 수 있습니다                주변정보태화강역 차량 2분울산문화공원 차량 10분울산광역시청 차량 17분비대면 체크인 이용 안내스타즈 호텔 울산은 프론트없이 언택트로 운영됩니다체크인 당일 오후 12시경에 카카오톡 알림톡 또는 문자메시지로 체크인 객실  도어락 비밀번호를 안내해 드립니다객실 도어락 비밀번호는 체크인 시작시간에 맞춰 자동 셋팅 되므로  반드시 체크인 시간 이후에 입실해 주세요체크인 시간 이전에 자의적으로 입실하시는 경우  스타즈 호텔 울산 스탭이 객실 준비 점검 등의 목적으로 입실하는 상황이 발생할 수 있으며 이용규정 위반으로30 000원의 위약요금이 부과됩니다[모바일 프론트]운영시간 : 09:00~23:00 (일반 상담)   12:00~13:00 (점심시간)어반스테이 공식 홈페이지의 챗봇을 통해 상담 및 문의가 가능합니다기본정보체크인 : 16:00 | 체크아웃 : 11:00무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 유료)주차 유료 (객실당 1대까지 유료   카오발렛)주차안내건물 지하 1층 카카오발렛에서 객실당 1대까지 유료로 주차하실 수 있습니다투숙객 이용요금 : 5 000원 일   60 000원 월 (2박 이상시 1박당 5 000원 추가 발생 되오니 참고 부탁 드립니다)추가적인 문의사항은 카카오T 앱 고객센터로 문의 부탁드립니다체크아웃 시간에는 엘리베이터 및 주차가 혼잡하므로 30분 가량 여유있게 퇴실하실것을 권해드립니다주차는 카카오발렛 이외에 이용이 불가한 점 양해 부탁드립니다객실 이용안내전 객실 인원 추가 불가36개월 이하 영유아의 경우 인원수에 미포함   최대 인원을 초과하여 입실 불가룸 메이크업 고객 요청 시 무료 제공클리닝 요청 (사전 호텔 고객센터 문의 필수)하루전 18시까지 고객센터로 부재시간 신청 (이후 신청시 2일 후 배정)오전 (10:0014:00) 오후 (14:0018:00) 2타임 중 선택투숙객 혜택피트니스센터 투숙객 무료비즈니스센터 투숙객 무료부대시설 정보피트니스 센터   3층   24시간 이용 가능비즈니스 라운지   1층   24시간 이용 가능조식 정보BNB레스토랑   2층   06:30~11:30 (라스트오더 11:00)   1인 10 000원메뉴 : 단품 메뉴 (미국식 조찬  한국식 조찬 중 택 1)취사 시설전 객실 취사 불가취소 및 환불 규정체크인일 기준 2일전 17시까지 : 100% 환불체크인일 기준 2일전 17시이후~당일 및 Noshow : 환불불가취소  환불시 수수료가 발생할 수 있습니다확인사항 및 기타최대인원 초과시 입실 불가합니다전 객실 애완동물 출입이 불가합니다보호자 동반없는 미성년자는 이용하실 수 없습니다 (한국나이 19세 이하)위의 정보는 호텔의 사정에 따라 변경될 수 있습니다성수기 기간동안 일부 객실의 경우 요금변동이 있을 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다객실 사용 후 변색 오염 악취 등으로 일상적인 수준을 넘어서는 클리닝 들 특별한 조치가 필요한 때에는 해당 비용에 대한 배상 책임이 발생합니다해당 객실가는 세금  봉사료가 포함된 금액입니다,1
 삼산 공담,울산 남구 삼산동 16431,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/75149/524194/dab1d9b4619350e8f93029826654eb28.jpg,050240284403,사장님 한마디                    조식   8 1부터 조식 실시(7층 레스토랑)   조식 객실 구매이외에   프론트에서 1인 5 000원으로 현장 구매 가능합니다 각 객실의 입실 기준을 확인바라며  추가 인원시 현장에서 20 000원 결제됨을 알려드립니다. 성수기 및 특정일  공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다. 입실 시 신분증을 확인하고 미성년자는 입실이 제한됩니다(신분증을 꼭 지참해주시기 바랍니다.) 레이트 체크인은 연박불가 상품입니다. 레이트 체크인으로 연박 시  추가요금이 있음을 알려드립니다. 불편사항 있을 시 언제든지 안내실에 문의주세요. 친절하게 답변해드리겠습니다~!                주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보동해선 태화강역,2
 호텔 리버사이드 울산,울산 중구 성남동 1916,9.5,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/10/12/65278ccf04d36.jpg,18777020,사장님 한마디                    객실 내에서 태화강을 정면 뷰로 탁 트인 전망을 볼 수 있으며  저녁노을과 야경을 즐길 수 있습니다성공적인 비즈니스 미팅을 위한 최신시설과 서비스로 다양한 회의가 가능한 비즈니스 센터가 있습니다                주변정보태화강 도보 1분울산항 차량 15분울산문수축구경기장 차량 17분기본정보체크인의 경우 키오스크로 진행됩니다체크인 : 15:00 | 체크아웃 : 12:0022시 이후 체크인 시 호텔 프론트 문의무료 WiFi전 객실 금연욕실 어매니티주차타워 무료이용 (만차시 주차타워 이용불가 주차비 본인부담)   대형차 주차타워 이용불가인원 추가 정보인원 추가 시 무료침구추가 : 1채 20 000원 (현장결제)메트리스형 침구 세트 : 30 000원 (현장결제)영유아 인원수 포함   최대인원 초과불가부대시설 정보피트니스 센터비즈니스 코너라운지조식 정보간편조식   1인 대인 10 000원   1인 소인 5 000원비즈니스 패키지의 경우 토  일요일은 샌드위치 세트로 제공됩니다취소 및 환불 규정체크인일 기준 1일전 17시까지 : 100% 환불체크인일 기준 1일전 17시이후~당일 및 Noshow :  환불불가취소  환불시 수수료가 발생할 수 있습니다아래 객실은 예약 후 취소  변경  환불 불가합니다[선착순특가!] 객실 예약 후 취소  변경  환불 불가확인사항 및 기타최대인원 초과시 입실 불가합니다미성년자는 보호자 동반없이 이용이 불가합니다위의 정보는 호텔의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다해당 객실가는 세금  봉사료가 포함된 금액입니다,3
 울산 더반 호텔,울산 북구 산하동 551,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73630/495709/a0f8a47dc8d52facfa1568cab0ae1c3d.jpg,050440406310,사장님 한마디                    ● 입실 시에 신분증 확인 하오니 양해 부탁 드립니다. (신분증 미 지참 시 이용 제한 및 환불 불가 합니다.)● 미성년자 이용은 보호자 동반 하에 입실 가능합니다.● 비치 된 모든 물품 도난  훼손 or 오염 시 손해 배상 및 세탁비를 청구 합니다.● 전객실 금연이며 흡연 적발시 퇴실조치가 이루질수 있음을 알려드립니다.● 보시는 판매가는 1인 비즈니스 출장객 특가 타입 제외 전 객실 2인 기준 가격이며 인원추가시 만 4세이상 1인당 2만원 추가 요금이 발생됩니다.(만 4세미만 어린이 1인 무료)침구추가시 별도로 1만원의 요금이 부과됩니다.●저희 호텔은 예약순으로 고층(high floor)배정이 이루어지고있습니다 이점 참고하시어 예약 부탁드리겠습니다.● 객실 예약시 호텔 특성상 사진과 다른 구조의 객실이 배정될수도있으니 예약 하시기전 참고하시어 예약 부탁드립니다.● 퇴실시간을 꼭 지켜주세요 ! 10분 초과시 자동으로 1시간 연장되며 연장 비용 주중 1만원  주말 2만원의 추가요금이 부과됩니다.                혜택안내요금할인주차장 정보주차장은 지상 주차장 지하 주차장으로 구비 되어 있으며 이중주차시 차키는 꼭 ! 프론트에 맡겨주세요:)무료주차는 1객실당 1대만 가능하며 추가주차시 주차비용 1만원의 요금이 부과됩니다.총 20대 주차시설 보유주변 정보정자해수욕장까지 300m  도보 5분거리정자시장 2.9km  차로 6분거리정자항까지 3.2km 차로 8분거리울산공항까지 12km  차로 19분거리객실내부 시설2023년 2월 GRAND OPEN 한 신축 호텔로  최고의 컨디션과 최상의 청결도!강동 몽돌 해변 바로 앞 전 객실 오션뷰 !비지니스와 휴가의 최적화 호텔로서  늘 최상의 서비스로 모시겠습니다 !전 객실 삼성 UHD 대형 smart TV !  전 객실 에어드레서 보유 !전 객실 무료 WIFI !전 객실  넷플릭스 무료 시청 가능 ! 테라스 히노끼 욕조   어린 자녀와 함께 즐길수있는 키즈 전용 객실 보유 !최고급 게이밍  pc 객실 보유 !프런트 및 그 외 시설1. 6층 라운지에서 무료 최고급 원두커피 마시며 뷰 감상2. 정자 해수욕장  강동 몽돌해변 바로 앞3. 사진 맛집전 객실 오션뷰 + 삼성 비스포크 에어드레서 = 힐링 호캉스호텔 내 구석구석 다양한 포토존_________________________________________________________________넷플릭스 무료 시청 가능하오니 시청 원하실경우 1층 프론트로 문의 바랍니다 . _________________________________________________________________체크인 전   체크아웃 후 짐보관 해드립니다._________________________________________________________________와인잔  오프너 프론트에서 대여해드립니다  필요하신 고객님들은 1층 프론트에 말씀 부탁드립니다 :)업무or 검색용 노트북(pc) 무료 대여 서비스 필요하신 고객님들은 1층 프론트에 말씀 부탁드립니다 :),4
 울산 브라운도트 신천점,울산 북구 신천동 8117,9.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73879/499880/08be249a462e635d7352b9320ae85ebe.jpg,050440611357,사장님 한마디                    브라운도트 울산신천점은 미성년자 이용이 제한됩니다. 입실 시에 신분증 확인하오니 양해 부탁드립니다.미성년 투숙시 혼숙은 절대 불가하며 부모님의 자필로 서명된 투숙 동의서를 직접작성해주시는 경우에 한해서 미성년 본인 혼자서만 입장이 가능하오니 양해부탁드립니다.[자필동의서 있어도 미성년만 동반투숙은 불가함.]                주차장 정보 지상 추자장(10대주차가능)과 주차타워(26대주차가능)가 구비되어 있습니다. 호텔 뒷편 옥외 무료 주차공간이 있어 만차시 옥외 주차장 이용 부탁드립니다.총 36대 주차시설 보유주변 정보신천 CGV 200M거리  도보가능호계 먹자골목 차량 2분거리  도보가능울산공항 차량 7분거리추가 안내사항성수기 이벤트 진행스탠다드  디럭스  슈페리어  트윈  와인패키지 객실[넷플릭스 무료시청  성수기 한정 빠른 입실 2시간 제공]그랜드 스위트  패밀리 스위트 객실[넷플릭스 무료시청  성수기 한정 빠른 입실 3시간 제공],5
 롯데시티호텔 울산,울산 남구 달동 12481,9.6,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2016/05/30/574be6733a7fe.jpg,0529901000,사장님 한마디                    한국 최대의 공업도시인 울산 신시가지에 위치하고 울산 최대의 규모인 350실을 구비하고 있습니다금융권  쇼핑타운  공항  버스터미널과 인접하여 비즈니스와 관광에 특화된 비즈니스 호텔로서 고객 한 분 한 분이 만족 할 수 있도록 품격과 서비스를 높였습니다                주변정보울산고속터미널 부근선암호수공원 차량 11분울산대공원 차량 15분기본정보체크인 : 15:00 | 체크아웃 : 12:00무료 WiFi 전 객실 금연Bath Amenity (칫솔  치약  면도기  쉐이빙 젤 제공 불가  1층 무인편의점 판매용품 이용)[주차 정보]주차 가능 (주말  공휴일은 주차공간 혼잡으로 대중교통 이용 권장)※ 호텔 지하 주차장 만차일 경우 외부주차장(도보3분)으로 이용 가능하며  직원 안내 받으시길 바랍니다※ 주차는 객실당 1대 무료 제공됩니다인원 추가 정보만 12세 미만 무료기준인원 외 추가 시  1인 22 000원 (만 12세 이상~성인)영유아 인원수 포함   최대인원 초과불가 현장 결제 및 추가비용 호텔 프론트 문의투숙객 혜택피트니스 센터 무료 이용부대시설 정보씨카페 (레스토랑)   2층   06:30~09:30 (조식)  12:00~14:30 (중식)  18:00~22:00 (석식) 중식과 석식은 사전 예약제로 운영되며  예약 문의가 없을 시 운영되지 않습니다 (예약은 당일 17시까지 가능합니다)씨라운지 (Bar)   1층   08:00~24:00피트니스 센터   5층   06:00~22:00 비즈니스 센터   1층   00:00~24:00코인 세탁실   5층   00:00~24:00조식 정보씨카페   2F C’cafe   06:30~09:301인 성인 18 000원  어린이 15 000원 (사전 예약시 해당 금액 제공   정상요금 성인 20 000원 어린이 17 000원)현장결제취소 및 환불 규정체크인 기준 1일 전 18시 까지 : 100% 환불체크인 기준 1일 전 18시 이후~당일 및 NOSHOW : 환불불가취소  환불시 수수료가 발생할 수 있습니다확인사항 및 기타최대인원 초과시 입실 불가합니다위의 정보는 호텔의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다해당 객실가는 세금  봉사료가 포함된 금액입니다미성년자는 보호자 동반없이 이용하실 수 없습니다 (해당년도에 생일이 지난 만 19세 이상을 성년으로 함)[ 해외 입국 투숙 고객 서비스 가이드 라인 ]질병관리본부의 권고사항에 따라 해외 입국 투숙 고객 대상 서비스 가이드 라인을 아래와 같이 공지하오니 호텔 이용에 참고해 주시기 바랍니다.고객안전을 위한 정부권고사항이므로 많은 양해 부탁 드립니다. 적용 대상 및 기간 : 해외 입국 투숙 고객(내 외국인)   질병관리본부 지침 해제일까지 장기 체류 고객 : 자가격리 기간(14일) 내 체크인 불가 단기 체류 고객 : 질병관리본부 능동 감시 대상으로 다음의 지침에 따라 체크인 가능 체크인 시 체크리스트 작성 호텔 내 이동 시 마스크 착용 필수 호텔 내 이동 시 당직데스크(또는 프론트) 연락 및 지정 엘리베이터 이용 호텔 내 레스토랑 이용 제한,6
 울산 호텔 루바토학성점,울산 중구 학성동 2842,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74859/522978/dfef2f28f58912c6d0a0f7feb7715d8a.jpg,050440338352,사장님 한마디                    7월 GRAND OPEN연박시 1박당 2만원 현장결제인원추가시 1만5천원 현장결제 (침구 별도)퇴실시간 미준수일시 시간당 1만원 추가요금 발생                주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)객실내부 시설전 객실 스타일러 구비비지니스 룸 ( 세탁기  건조기 구비 )2PC 룸 ( 게이밍 PC )✔ 친환경 소재 어메니티 제공✔ 최고급 구스이불✔ 전 객실 스타일러 구비✔ 비지니스 룸 ( 세탁기  건조기 구비 )✔ 2PC 룸 ( 게이밍 PC )✔ 연박시 1박당 2만원 현장결제 ✔ 인원추가시 1만5천원 현장결제(침구별도)✔ 퇴실시간 미준수시 시간당 1만원 추가요금 발생,7
 무거 도안 스테이,울산 남구 무거동 15297,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74181/505613/fe25a668f921ba7c68cbc3c6959564c0.jpg,050240216827,주차장 정보주차장은 건물 내 1층과 건물 밖에 있습니다.1객실 1대 주차. (주차 추가 필요 시 프론트에 문의)총 13대 주차시설 보유주변 정보신복 시외버스 터미널까지 약 408m 도보 6분거리울산대학교까지 약 447m 차량 1분 거리울산문수축구경기장까지 약 3.5km 차량 10분 거리울산 KTX역까지 약 14.2km 차량 23분 거리객실내부 시설이용 안내각 객실의 기준 인원과 최대 인원 확인 부탁 드립니다. 추가 인원 있을 시 현장에서 추가 가능한 객실(트윈)에 한해 1인 15000원 추가 요금이 발생됨을 알려드립니다. (현장 결제)도보 전용 상품은 주차장을 이용할 수 없습니다. 주차 시 10000원(대실 5000원) 추가 요금 발생합니다. (현장 결제)레이트 체크인 상품으로 연박 예약 시 1박 당 추가 요금 15000원 발생합니다.(현장 결제)건물 내부 및 전 객실 금연입니다. 흡연은 1층 외부 공간 활용 바랍니다.성수기 및 특정일  공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.환불 및 취소는 규정에 따라 상이하게 처리될 수 있습니다.체크인 시 신분증 확인하며   미성년자는 입실이 제한됩니다.(신분증을 꼭 지참해 주시기 바랍니다.)장애인 반려동물을 제외한 반려동물은 아쉽게도 우리호텔을 이용할 수 없습니다 .이용 중 불편 사항 있을 시 언제든지 프론트로 문의 주세요. 친절하게 답변해드리겠습니다.프런트 및 그 외 시설2층 프론트 우측편에 냉온정수기와 커피머신이 있어서 상시 이용 가능합니다.,8
 신라스테이 울산,울산 남구 달동 12471,9.3,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2022/03/11/622a92758b36a.jpg,0222300700,사장님 한마디                    현대자동차  현대중공업  SK에너지 등 비즈니스 요충지와의 진입이 쉽고 울산대공원  태화강 공원 등 울산의 문화 중심지와 인접합니다호텔 내 다양한 편의시설과 세심한 서비스  거위 털 이불과 오리털 베개 등의 고급 침구를 통해 편안한 휴식을 제공합니다                주변정보번영사거리울산고속버스터미널 차량 4분울산문화공원 도보 16분기본 정보체크인 : 15:00 | 체크아웃 : 12:00무료 WiFi 전 객실 금연기본 Bath Amenity 구비[주차 안내]객실당 1대까지 주차 가능 (단  호텔 주차 사정에 따라 외부 주차장으로 안내될 수 있음)호텔 지하 주차 이용 시  1박당 5 000원 주차 요금 부과 (체크인 시 현장결제  출차 시 프론트 데스크에서 주차 확인)주차 공간이 협소하여 가급적 대중교통을 권장 드립니다프론트 데스크 T. 0529019000객실 정보[헐리우드 패밀리X룸] 객실 배드타입 : 더블1 + 싱글2 (싱글배드는 간이싱글침대로 구비되어 있습니다)인원 추가 정보전 객실 인원추가 불가투숙객 혜택비즈니스 코너 : 투숙객 무료 피트니스 센터 : 투숙객 무료 (안전상의 이유로 16세 이상 입장 가능)무료 커피  티백무료 생수 2병 (1박 기준)부대시설 Bar (카페 라운지)   18:00~24:00 (라스트오더 22:30)   월~토 운영 (일요일 미운영) 피트니스 센터비즈니스 센터조식 정보조식 레스토랑   2층   06:30~09:30 (평일)  07:00~10:00 (주말  공휴일)1인 23 000원 (14세 이상~성인)  12 000원 (37개월 이상~13세 이하)37개월 미만 무료현장결제취소 및 환불 규정체크인일 기준 1일 전 18시 까지 : 100% 환불체크인일 기준 1일 전 18시 이후~당일 및 Noshow : 환불불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타실명으로만 예약 및 체크인 가능합니다최대인원 초과시 입실 불가합니다내국인 전용상품으로 외국인은 투숙이 불가능합니다외국인에 경우 국내거주증 소지자에 한하여 투숙 가능 합니다위의 정보는 호텔의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다해당 객실가는 세금  봉사료가 포함된 금액입니다만 20세부터 투숙이 가능하며  부모를 동반하지 않은 미성년자는 투숙 할 수 없습니다,9
 삼산 호텔 23도,울산 남구 삼산동 15648,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/72927/481734/59878e2f839fc765d6aecc262cc34890.jpg,050240106723,사장님 한마디                    저희 HOTEL23도C를 이용해 주셔서 감사합니다.저희 숙소는 2인 1실 을  기본으로 하고 있으며 전 객실 금연 시설 입니다.그리고 3인 이상 시  남 녀  혼숙을 금지 하고 있습니다 .(가족 제외)예약시 참고 하여  주시면 감사하겠습니다.앞으로도 고객에게 더 나은 서비스와 청결을 위하여 노력 하겠습니다.감사합니다.                주차장 정보주차 공간이 부족합니다. 도보 특가를 많이 이용해 주시길 바랍니다.차량 주차시 객실당 1대로 제한 합니다.주말(공휴일 포함)엔 주차 공간이  만차 일시 인근 보람병원 공영 주차장을 이용바랍니다. (주말 무료)공영주차장 주소:  울산 남구 삼산동 15541총 10대 주차시설 보유지하철 정보동해선 태화강역주변 정보롯데백화점까지 379m   도보 5분 거리 업 스퀘어까지 411m    도보 6분 거리 현대백화점까지 644m    도보 9분 거리 울산 고속터미널까지 692m   도보 10분 거리  삼산 사거리까지 987m  차량 2분 거리이마트까지 1.2km  차량 4분 거리 태화강역까지 1.9km  차량 7분 거리,10
