Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
100000,Standard (특급호텔100%헝가리구스다운침구류...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/46156/423199/884dcce713820cddb2a2d250d217391d.jpg,100000,201,3
 80000,엘리트도보전용/주차불가(특급호텔100%헝가리...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/46156/415061/4730c829e0d1ebe01ad8fbce7f0afe07.jpg,80000,201,1
 60000,도보전용/주차불가 (특급호텔100%헝가리구스...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/46156/415064/e9ca872087b15e2ff5d3985cbf7fc310.jpg,60000,201,2
 80000,엘리트 (특급호텔100%헝가리구스다운침구류  ...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/46156/415062/2f0bcb9d6cce27068727d70a6052679a.jpg,80000,201,3
 100000,랜덤특가 (특급호텔100%헝가리구스다운침구류...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/46156/415063/0abee2d132a27dae323e97e198d58a4c.jpg,100000,201,2
 60000,Early Check In(특급호텔100%헝가리구스다운...,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/46156/468583/2e21c0044e46c056e472651911a535cf.png,60000,201,3
 90000,체크인시 배정(객실 업그레이드),2,8, //image.goodchoice.kr/resize_1000X500x0/adimg_new/list_none.png,90000,201,2
 60000,무한대실(특급호텔100%헝가리구스다운침구류 ...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/46156/101807/0906a55a79b9b17aa00d58648cf125d4.png,60000,201,2
 80000,난 오늘 안마의자가 땡긴다 (특급호텔100%헝...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/46156/401234/938b4327b2014614dd099efb614f24c0.png,80000,201,1
 100000,호캉스 (특급호텔100%헝가리구스다운침구류 ...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/46156/401252/f1dcf0935f132704dde02f6b769ca867.png,100000,201,3
 100000,갤럭시 울트라2PC (특급호텔100%헝가리구스다...,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/46156/408399/1bce94924173c8e80dcac826b5a5b351.png,100000,201,4
 80000,Business class (특급호텔100%헝가리구스다운...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/46156/211297/5d880edd4f047561fcacabc47b028f08.png,80000,201,1
 70000,Deluxe Twin (특급호텔100%헝가리구스다운침...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/46156/101805/9c79e7a97f6bfc7aced09db80cc43666.png,70000,201,2
 50000,Late Check Out,2,5, //image.goodchoice.kr/resize_1000X500x0/adimg_new/list_none.png,50000,201,4
 90000,First class (특급호텔100%헝가리구스다운침...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/46156/415066/37659b47fcdac682acba8dd2ee363c3b.jpg,90000,201,2
