Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
60000,[박카스 웰컴키트] 디럭스 핸디캡 더블 시티뷰,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2022/12/22/63a3d7e703626.jpg,60000,401,4
 90000,[박카스 웰컴키트] 디럭스 더블 시티뷰,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/11/25/6380800d1f2d6.jpg,90000,401,2
 80000,[박카스 웰컴키트] 프리미어 온돌 풀오션+해...,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/03/23/623a781bcff1d.jpg,80000,402,2
 90000,글램핑룸,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/11/03/5fa0dd0ac0e31.jpg,90000,402,3
 70000,[박카스 웰컴키트][키즈데이 패키지] 키즈룸(...,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/17/620dcec3b6f96.png,70000,402,3
 90000,[박카스 웰컴키트] 스위트 패밀리 커넥팅,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/11/02/5f9fd10216e92.jpg,90000,402,1
 70000,오션 패밀리 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/09/15/5f606ba52efc4.jpg,70000,403,1
 60000,오션 펫 더블 (반려견동반가능),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2020/11/23/5fbb5ed7d46a3.jpg,60000,403,3
 70000,오션 자쿠지 스위트,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2020/09/15/5f606d105019b.jpg,70000,403,1
 70000,오션 자쿠지 더블 스위트,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2021/02/10/602330365f2e2.jpg,70000,403,2
 90000,로얄 풀빌라,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2020/09/15/5f606de16e269.jpg,90000,403,1
 80000,대실5H이벤트,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73396/495767/055d819e2f5c9d70c254dd061efbbfeb.jpg,80000,404,4
 70000,스탠다드,2,7, //image.goodchoice.kr/resize_370x220/adimg_new/73396/495762/ab7fdef1a3aaa1627375b6ae34249339.jpg,70000,404,3
 90000,특실(공기청정기  스타일러),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73396/505434/260dcdb4e4d7dbfbbc41f4720889c187.jpg,90000,404,3
 90000,트윈특실(더블+싱글  공기청정기  스타일러),2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73396/498147/59a7fc7380f27cdc7bcb849465c5c156.jpg,90000,404,4
 50000,패밀리스위트(공기청정기  스타일러),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/73396/495764/38b588d8549345342644100d946c2120.jpg,50000,404,1
 50000,별관,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73396/521445/e6e51705fd299f8efb826bf803316a41.jpg,50000,404,1
 100000,선착순 특가스탠다드,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73396/497094/ceb03cf1de1dda5cd4ada3dd83ac246d.jpg,100000,404,1
 80000,타임 특가,2,8, //image.goodchoice.kr/resize_370x220/adimg_new/73396/507643/0a21e33e3873b201f67afa7d9bb80b0f.png,80000,404,1
 100000,선착순 특가특실,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73396/497095/df6dfc02c330effb4b44014113b90fb6.jpg,100000,404,4
 50000,로얄스위트프라이빗룸(공기청정기  스타일러...,2,6, //image.goodchoice.kr/resize_370x220/adimg_new/73396/495765/7a4b43a07944c34c2b680943e884d09d.jpg,50000,404,3
 100000,프리미어 더블 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2020/07/09/5f06c7d37afd5.jpg,100000,405,2
 80000,[오션뷰/자쿠지] 101호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/51b2bb8e-1adb-4f5c-8892-8c27d6bc5b0f-original.jpg,80000,406,1
 60000,[오션뷰/자쿠지] 102호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/7ebdfe92-641a-48b6-89e1-bef467eb2fff-original.jpg,60000,406,2
 90000,[오션뷰/자쿠지] 104호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/d370cbe2-7de7-49f8-b883-2a792a836ec1-original.jpg,90000,406,3
 80000,[오션뷰/자쿠지] 103호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/3ae462f8-b8d4-4b80-ad6e-9826eb47a667-original.jpg,80000,406,1
 100000,[오션뷰/히노끼스위트] 107호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/237979d4-7001-4ef3-b2fd-8c8f7383fd94-original.jpg,100000,406,3
 100000,[오션뷰/풀빌라] 202호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/ac1a9c6e-aec7-4d87-a51e-24258fd2b3db-original.jpg,100000,406,1
 100000,[오션뷰/풀빌라] 201호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/09/a00ab77f-9551-4553-92a4-5c1f5c3f4ef8-original.jpg,100000,406,2
 70000,스튜디오 로프트 (13평),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/08/6201f441726d0.jpg,70000,407,2
 60000,프리미어 스위트 로프트 (16평),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/08/6201f48d1a72b.jpg,60000,407,4
 90000,패밀리 투룸 로프트 (21평),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/02/08/6201f4db27872.jpg,90000,407,2
