Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
전주 시그니처 호텔,전북 전주시 덕진구 우아동3가 75248,9.3,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/17/64ddd24eda6e8.jpg,0632468000,사장님 한마디                    전주역 도보 2분 거리에 위치한 전주 시그니처호텔은 한국의 멋이 살아있는 전주 시내에 위치하여 관광지와의 이동 및 교통 이용이 편리합니다                주변정보전주역 도보 2분전주한옥마을 차량 12분완산칠봉꽃동산 차량 17분기본정보체크인 : 15:00 | 체크아웃 : 12:0022시 이후 체크인 시 호텔 프론트 문의얼리 체크인  레이트 체크아웃 : 시간당 10 000원  15:00 이후 체크아웃 시 1박 요금 발생   현장 결제무료 WiFi전 객실 금연Bath Amenity (2023년 7월 1일부터 치약  칫솔 등 모든 어메니티 유료   프론트 구매 1세트당 3 000원)주차 가능 (무료)인원 추가 정보최대 인원까지 무료 추가 가능 (단  침구 미포함)침구 추가 : 1채당 30 000원영유아 인원수 포함   최대인원 초과 불가현장 결제※ 추가 인원 투숙 불편 사항으로 인한 취소 및 객실 변경은 불가합니다※ 기준 인원 외 추가 인원 투숙 시  이용이 다소 불편할 수 있는 점 참고 부탁드립니다투숙객 혜택조식 요금 할인짐 보관 가능프린트 이용 가능전 객실 넷플릭스 이용 가능 (개인 계정)부대시설 정보한우 샤브샤브   6층   11:00~14:00  17:00~22:00편의점   1층   00:00~24:00조식 정보레스토랑   6층   07:00~10:00 (입장 마감 09:30)정상가 1인 24 700원(14세 이상~성인)  12 400원(36개월 이상~13세 이하)  36개월 미만 무료투숙객 1인 체크인 사전 예약 시(체크인 시 프론트에서 예약)  20 900원(14세 이상~성인)  10 500원(36개월 이상~13세 이하)  36개월 미만 무료현장 결제취사 시설전 객실 취사 불가취소 및 환불 규정체크인일 기준 1일 전 24시까지 : 100% 환불체크인일 기준 당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다[미리예약 특가환불불가]  [미리예약 단독특가환불불가]  [전주 즐기기 패키지]객실 : 취소  변경  환불 불가확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다객실 층수 및 전망은 선택이 불가하며  예약 순으로 자동 배정됩니다객실키 분실 시에는 10 000원의 추가 비용이 발생합니다호텔 내 반려동물 동반 입장은 불가합니다모든 객실은 실제와 이미지가 다를 수 있으며  배정받으시는 객실에 따라 구조 및 전망의 차이가 있을 수 있습니다미성년자는 보호자 동반 없이 이용이 불가합니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다,1
 군산 스테이 관광호텔,전북 군산시 성산면 성덕리 4284,9.8,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/06/22/6493f4d9665e4.jpg,0634510055,사장님 한마디                    군산역과 군산 종합버스터미널 인근에 있어 교통 이용이 편리합니다또한  전 객실 스타일러와 공기청정기가 비치되어 있어 투숙 시 쾌적함을 느낄 수 있습니다                주변정보군산역 차량 4분국립생태원 차량 7분군산호수 차량 14분기본정보체크인 : 15:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 무료)주차 무료인원 추가 정보기준인원 외 인원 추가 시  무료영유아 포함   최대인원 초과 불가침구 및 침대 추가 불가투숙객 혜택짐 보관 가능프린트 이용 가능전 객실 넷플릭스 이용 가능 (호텔 계정)연박 안내전 객실 연박 불가연박 필요 시  호텔 문의객실정보군산 스테이 객실 테라스 미니풀 이용 시  유료 : 30 000원   상세 이용 호텔 문의취사 시설전 객실 취사 불가조식 정보07:00~09:00   뷔페상세 이용 호텔 문의취소 및 환불 규정체크인일 기준 3일 전까지 : 100% 환불체크인일 기준 2일 전까지 : 70% 환불체크인일 기준 1일 전까지 : 50% 환불체크인일 기준 당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다미성년자는 보호자 동반 없이 이용이 불가합니다이미지는 실제와 상이할 수 있습니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다,2
 전주 몽블랑,전북 전주시 완산구 중화산동2가 6617,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/75859/536550/d7889683cc5420352ea55bd485ab9a1a.jpg,050440209735,주차장 정보총 8대 주차시설 보유주변 정보전주 한옥마을에서 약 3 2KM  차량 기준 9분 소요전주 고속 시외버스터미널에서 약 3 3KM  차량 기준 8분 소요전주역에서 약 6 6KM  차량 기준 15분 소요전주 삼천동 막걸리 골목에서 약 2.5KM  차량 기준 10분 소요객실내부 시설모든 객실의 기준인원은 2인이며  인원추가시 현장에서 10 000원 발생합니다.,3
 전주 제이브라운,전북 전주시 덕진구 산정동 8602,9.8,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73258/490293/d9afb9b5923db3dc6771f8ee2701683f.jpg,050240453581,주차장 정보건물 뒤 넓은 공용 무료 주차장 있습니다 (전기차 충전기 보유  무료 주차장)총 15대 주차시설 보유주변 정보전주 한옥 마을 인근전주 한옥 레일 바이크전주 동물원전주 덕진공원객실내부 시설2023년 1월 GRAND OPEN 신축 건물입니다모든 객실 넷플릭스 이용가능합니다전 객실 금연실애완견 동반 입실 불가프런트 및 그 외 시설프론트 이용 시간 : 오픈 12:00pm  마감 03:00am,4
 전주 YAJA전주한옥마을점,전북 전주시 완산구 고사동 1112,8.5,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73006/486133/9a12406395760550705ef8be10850b2a.jpg,050440542679,주차장 정보입실 전 사전주차 가능내부 주자창 만차 시 바로 앞 공영 주차장 이용가능.총 25대 주차시설 보유주변 정보구주소 : 전라북도 전주시 완산구 고사동 1112전주영화의거리까지 도보 1분PNB풍년제과까지 도보 2분전주한옥마을까지 도보 10분 거리 (차량 5분안)남부야시장까지 도보 10분 거리 (차량 5분안)삼백집까찌 도보 10분막걸리골목까지 차량으로 10분 거리객실내부 시설티비 이용 가능프런트 및 그 외 시설짐 맡기실 고객분은 프론트로 오셔서 말씀해주세요.객실에서 프론트는 300# 누르시면 연결됩니다.,5
 보니타카라반,전북 부안군 변산면 운산리 455104,7,캠핑,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/11/11/1691716683666GU0Y2bkLARcWF8aIRgs.jpg,050440443132,사장님 한마디                    바다 바로 앞 신축 오션뷰 카라반입니다스파 카라반도 준비되어있으며  공용 수영장 이용이 가능합니다                주변정보채석강 차량 8분변산해수욕장 차량 9분변산반도국립공원 차량 8분공지사항영유아 기준인원 포함 및 추가요금 발생   최대인원 초과불가1인 20 000원  현장결제기본 정보입실 : 15:00 | 퇴실 : 11:0022시 이후 입실 시 사전문의 (필수)무료 WiFi전 객실 금연주차 가능펜션 픽업  변산정류장  격포터미널  격포하나로마트입 퇴실 시 픽업 가능 사전예약 및 문의필수 (미예약시 이용불가)객실 정보[객실 내 스파] 이용가능객실 : 프리미엄스파 S01 S02무료이용   입욕제 사용불가현장결제인원 추가 정보1인 1박당 유아(13개월 이상~5세): 10 000원   아동  성인(6세 이상): 20 000원영유아 기준인원 포함   최대인원 초과불가현장결제펜션 서비스시설 이용문의 및 비용 별도 펜션문의[사계절 인피니티 풀]가로 : 20M x 세로 : 6M이용 시간 하절기(5월 ~9월) : 입실 이후 ~ 21:00이용 시간 동절기(10월~4월) : 입실 이후 ~ 19:00이용 복장 : 수영복탈의실 이용가능[공용화장실  공용샤워실]위치 : 인피니티 풀장 [화목난로 불멍]5면창 화목난로 1회 : 15 000원 이용장소 : 바베큐장 [조개잡이 체험]카라반 바로 앞 바닷가에서 조개잡이 및 해루질 가능장비 무료제공바비큐 시설가스그릴 : 2인~5인 20 000원 이용장소 : 전 객실 개별바베큐장 현장결제취소 및 환불 규정숙박일 기준 7 일 전 : 100% 환불숙박일 기준 6 일 전 : 90% 환불숙박일 기준 5 일 전 : 85% 환불숙박일 기준 4 일 전 : 80% 환불숙박일 기준 3 일 전 : 70% 환불숙박일 기준 2 일 전 : 50% 환불숙박일 기준 1 일 전 : 30% 환불숙박일 기준 당일 및 NOSHOW : 환불불가취소  환불시 수수료가 발생할 수 있습니다확인사항 및 기타최대 인원 초과시 입실이 불가 합니다 (방문객 불가)보호자 동반없는 미성년자는 이용하실 수 없습니다전 객실 애완동물 출입이 불가합니다해당 이미지는 실제와 상이 할 수 있습니다이용시설의 분실 및 훼손의 책임은 이용자에게 있으니 주의부탁드립니다객실 내에서는 화재위험물질 (화약  폭죽 등)은 사용 하실 수 없습니다 (화재로 인한 책임은 이용자에게 있습니다)쓰레기는 지정된 장소에 분리하여 주시기 바랍니다위의 정보는 펜션의 사정에 따라 변경될 수 있습니다성수기 기간동안 일부 객실의 경우 요금변동이 있을 수 있습니다수영장 운영은 날씨 또는 펜션 상황에 따라 변동 될 수 있습니다,6
 전주 호텔 더 빈센트,전북 전주시 완산구 전동 1266,10.0,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/08/64d1da675f772.jpg,16003886,사장님 한마디                    빈센트 반 고흐의 작품을 곳곳에서 만날 수 있는 감성을 가지고 있는 전주 호텔 더 빈센트에서 감각적이고 편안한 휴식을 즐기시길 바랍니다                주변정보전주경기전 도보 2분풍남문 도보 5분전주역 차량 18분기본정보체크인 : 16:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의프론트 운영 시간 : 07:00~22:00무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 무료)체크인 전 후 주차 가능 (무료)주차안내호텔 외부 주차장 이용 (최대 18대 수용가능 규모)객실당 1대 투숙객 주차 무료 (1대 외 주차 불가)호텔 주차장 만차 시 남부시장 공용주차장 이용 일 주차료 5 000원 지원 주소 : 전주시 완산구 풍남문 1길 193관광기업지원센터 주차장 무료 이용 가능 무료 이용 가능 시간: 금요일 19:00 이후~일요일 24:00 이전 주소 : 전주시 완산구 전라감영로 72인원 추가 정보기준인원 외 추가 시  1인 30 000원 (만 6세 이상~성인)  미취학 아동 무료 (침구 불포함)침구 및 침대 추가 불가영유아 인원수 포함   최대인원 초과 불가현장 결제투숙객 혜택체크인 전 후 짐 보관 가능넷플릭스 시청 가능 (호텔 계정)웰컴티 무료 제공부대시설 정보빈센트 카페   1층   07:00~24:00루프탑   4층   10:00~23:00조식 정보카페   1층   08:30~10:00   대만식 샌드위치  수제요거트  음료(커피 or 티)체크인 시 사전 예약 필수1인 8 000원  2인 15 000원   현장 결제취사 시설전 객실 취사 불가취소 및 환불 규정체크인 기준 7일 전 : 100% 환불체크인 기준 6~4일 전 : 80% 환불체크인 기준 3일 전 : 30% 환불체크인 기준 2일 전~당일 및 Noshow : 환불 불가확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다이미지는 실제와 상이할 수 있으며  객실에 따라 이미지와 다른 객실로 배정될 수 있습니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다업체 물품의 파손 및 분실 시 업체 기준으로 변상하셔야 합니다애완동물 동반 입실이 불가합니다기본 에티켓을 지키지 않거나  타인에게 피해를 주거나 불쾌감을 주는 행위는 강제 퇴실 조치 사유입니다화재 예방을 위해 객실 내 취사 및 화기 사용을 금합니다성인을 동반하지 않은 미성년자는 입실이 불가하며 이로 인한 환불 또한 불가합니다가족을 제외한 3인 이상 투숙 시 혼숙이 불가합니다,7
 전주 한옥마을 한옥고택 고을,전라북도 전주시 완산구 풍남동3가 7663  　,7,게스트하우스,//image.goodchoice.kr/resize_490x348/adimg_new/75570/0/01f373b5efa76cd0ba6750bbfd03f173.jpg,050440341560,사장님 한마디                    안녕하세요! 한옥고택고을입니다.천년의숨결 그대로  그리고 전주한옥마을이 함께하는 곳 휴식에 휴식을 더하는 힐링공간으로 초대합니다옛날 방식을 고집하여 목재와 순수 황토만을 사용하여 완성된 한옥으로 삼림욕을 느끼는 최고의 잠자리를 제공합니다.친환경 전통한옥 2채로 한옥마을 최대규모를 자랑하고 있습니다.(한옥의 모든 자재는 친환경 건축자재만을 엄선하여 사용하였으며  인체에 해로운 콘크리트  화학자재 등은 일절 사용하지 않았습니다)한옥마을 중심에 위치하고 있으며  툇마루에 앉아 넓은 마당  그리고 기와지붕에 걸린 하늘을 즐길 수 있습니다.  전통한옥 황토 객실  단체  직장 워크숍  수학여행  동창회 모임 등 수용 가능합니다.한옥고택고을은 정겨운 내집같은 편안함을 제공하고푸르른 정원과 넓은 마당에서 또 하나의 휴식을 드립니다.일상에서 지친 피로를 한옥고택 고을에서 날려보세요.전주한옥마을 중심에 위치한 힐링플레이스 한옥고택고을!찾아주시는 고객 모두에게 최대의 휴식을 보장하고픈 마음으로 준비한한옥고택 고을로 여러분을 초대합니다.사람냄새나는 인간미로 혼자여행도 심심치 않게 가이드 해드립니다!사람의 정으로 믿고오는 편안한 휴식공간을 책임질 마인드로 보답해드리겠습니다. 한옥고택고을 주인 올림:)                오시는 길[전주고속버스터미널에서 오시는 방법]  전주천동로   방면으로 우회전 후 10M 이동해주세요  시외버스터미널   방면으로 우회전 후 448M 이동해주세요  태조로   방면으로 우회전 후 3.3KM 이동해주세요  은행로   방면으로 우회전 후 194M 이동해주세요  최명희길   방면으로 좌회전 후 159M 이동해주시면 저희 게스트하우스가 있습니다주변정보전주한옥마을 내 위치전주경기전 도보 1분전주고속터미널 차량 11분숙소 이용 규칙1.셀프간편조식(무료)  전주난장할인  한복할인  전동스쿠터할인  한옥마을공영주차장50%할인2.체크인시간 : 오후3시~오후6시까지 (늦은 체크인 숙소문의)3.체크아웃 : 오전10시30분4.기준인원 초과 시 1인당 추가인원 요금 1만원 현장 결제.(36개월 미만 추가요금 없음. 단  36개월 미만이여도 인원수 포함되며  2명부터 추가요금 1만원 발생)5.객실 내  외 전 구역 금연구역(흡연문의)6.반려동물 동반 불가.7.취사 바베큐 불가.8.저녁 11시부터 취침 시간(매너타임) 음주  가무  오락  고성방가 등 금지하며 야외 조명들이 소등 됩니다.9.한옥체험관은 일반 숙박업소 펜션  리조트  호텔  모텔 등 일반숙소와 다르며 숙소 규정을 지켜주세요. 시설물 분실 및 훼손  파손등 배상책임은 이용 고객에게 있으므로 주의 바랍니다. 일회용품(칫솔 면도기)등은 제공되지 않습니다.10.개인용품(충전기  칫솔  여성용품)등은 준비하여 오셔야 합니다.11.숙소구비 물품 : 샴푸 린스 바디워시 비누 치약 수건 드라이기 구급상자 상비약등12.전주 한옥마을 한옥숙박은 전용주차장이 없습니다.현장 요금 추가 정보인원 추가 시 10 000원 (36개월 이상~성인)  36개월 미만 1인까지 무료 (단  2명부터 요금 발생)주차장 정보한옥마을 제1공영주차장  제2공영주차장 유료 이용 가능 (50% 할인) 도보5분 거리제3공영주차장 도보7분거리취소 및 환불 규정체크인일 기준 6일 전 : 100% 환불체크인일 기준 5 ~ 4일 전 : 50% 환불체크인일 기준 3일 전 ~ 당일 및 NoShow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인 사항 및 기타시즌별 객실 가격 상이하오니 확인바랍니다위의 정보는 게스트하우스 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다예약 확정 이후의 취소는 취소환불규정에 의거하여 적용됩니다,8
 전주 MH HOTEL 객리단길점,전북 전주시 완산구 다가동3가 6424,9.3,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/67125/361204/b1cfe69ba7d1aafa9efdc1ad74ed47a4.jpg,050440023748,사장님 한마디                    MH HOTEL 객리단길점 입니다.객리단길 내 핫플 숙소입니다.체크인 전 미리 짐보관 주차가능 체크아웃 후 짐보관  2시간 주차가능합니다! (대실 제외)1객실 1차량 주차를 원칙으로 하고 추가주차시 10 000원 요금이 부과됩니다.전 객실 금연  노키즈  노펫존으로 운영하고 있습니다. 감사합니다!                주차장 정보지상1층 주차대수 40대 주차장 운영중입니다.버스 및 대형트럭  탑차 등 주차가능합니다.1객실 1차량 주차만 가능합니다. 추가주차 시 10 000원 요금이 부과됩니다.만차시 이면주차 후 프론트에 키를 맡겨주세요.총 40대 주차시설 보유주변 정보객리단길 내에 위치전주 영화의거리 까지 700m전주 한옥마을 및 전동성당 까지 1.2km전주 삼천동막걸리골목 까지 3km전주 고속 시외버스터미널 까지 2km전주역 까지 5km전주 동물원 까지 5km전주 팔복예술공장 까지 7km전주 한국도로공사 수목원 까지 10km객실내부 시설 전 객실 LG트롬스타일러 전 객실 세스코 방역 신관 객실 영국 로렌윌리엄스 최고급 침대 신관 객실 태평양물산 오리털 침구류 신관 객실 55인치 스마트TV 신관 객실 삼성 시스템 냉난방기 설치 신관 객실 세스코 공기청정기 설치 객실 차등 리버뷰 조망 확보 전 객실 금연실로 운영 전 객실 노키즈 노펫존 입니다.프런트 및 그 외 시설 MH HOTEL   투숙객 B1층 오후 그리고 와인 10% 할인쿠폰 증정 전 객실 금연실로 운영중입니다. 노키즈   노펫존 입니다추가 안내사항트윈룸 이용시 만 19세 이상 성인의 경우  3인 이상 혼숙은 불가하며 가족 또는 동성 방문 시 입실 가능합니다.,9
 전주 드래곤 호텔,전북 완주군 이서면 갈산리 66511,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/74044/532230/65db079ef1f0a11633ce354b47bba599.jpg,050440143154,사장님 한마디                    완주 혁신도시에 위치한 드래곤 무인호텔 입니다.먼저 드래곤호텔에 찾아주셔서 너무 감사드립니다.저희 호텔은 다른 무인텔처럼 방이 작거나 답답하지 않습니다.고객님들께서 다른 무인텔처럼 생각하시고 오셔서 많이 놀래시고 정성껏 관리한 호텔 컨디션에다시 한번 또 놀래십니다.무엇보다 숙박업은 청결과 위생이 손님에게 가장 먼저 신경 써 드려야 하는 부분이라고 생각합니다.그래서 침대 객실 청소에 머리카락 하나 없도록 노력하고 있으며 화장실은 청결함을 유지하려고 소독제를 사용하고 있습니다.타올 자체 세탁으로 락스에 담궈서 세탁하지 않고 건조할 때 섬유유연제를 사용하여 건조기에 건조하기 때문에 피부에 나쁜 영향이 끼치지 않도록 조심하고 있습니다. 피부가 민감하신분들을 위해서>>>>고객님들 필요한 작은 것 하나까지 놓치지 않으려고 제가 하루 숙박을 한다고 생각해서 필요한게 무엇인지 항상 생각하고 있습니다.렌즈통 생리대 필요하시면 방에 놓아 드리고 있습니다.불편 사항이나 궁금하신점 있으시면 언제든지 말씀해 주세요.주차장 정보건물 내 넉넉한 주차공간 지하주차장지하에 들어오는 높이가 높아서 스타렉스 1톤화물차량까지 들어 오실 수 있습니다.총 20대 주차시설 보유주변 정보한국전기안전공사까지 200m  차로1분완주혁신도시터미널까지 1km  차로3분농촌진흥청 환경청까지 1km  차로3분국민연금공단  전주지방법원까지 2km  차로5분전주시외고속버스터미널까지 9km  차로18분전주역  전구한옥마을까지 11km  차로25분객실내부 시설객실 타올 6장 생수 4병 음료수 4병 준비WiFi  넷플릭스  유투브 무료시청가능어메니티.공기청정기. 비데  드라이기. 고데기2023년 7월 에어컨 클리닝창문 방충망 교체프런트 및 그 외 시설삼성전자와 합작으로 만든 Y KIOSK 무인 시스템(키오스크)지하주차장5층에 도착하셔서 키오스크에 성함 연락처 차량번호 입력하시면 객실키와 객실번호가 적힌영수증이 출력됩니다.일회용품이나 타올 필요하시면 편하게 쓰실 수 있도록 복도 끝에  마련해 놓았습니다 물.음료수도 냉장고에 편하게 이용하시도록 준비해 두었습니다,10
