Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
90000,[반나절 호캉스숙박불가] [당일 6시간 이용]...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/14/64d9f2789ff4a.jpg,90000,441,4
 70000,[반나절 호캉스숙박불가] [당일 6시간 이용]...,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/14/64d9f27f372e6.jpg,70000,441,1
 100000,[단독! 룸UP] 스탠다드→디럭스 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/02/10/63e59eaa28a19.jpg,100000,441,3
 60000,스탠다드,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/02/10/63e59e6a9ccc3.jpg,60000,441,1
 90000,디럭스 트윈,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/02/10/63e59eaa28a19.jpg,90000,441,1
 90000,디럭스 할리우드,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/13/650176c05916b.jpg,90000,441,2
 50000,디럭스 온돌,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/18/643e17cb3b421.jpg,50000,441,2
 60000,스위트,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/04/642b986cbf806.jpg,60000,441,2
 100000,[펫 프렌들리] 스탠다드,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/13/6501781a07b86.jpg,100000,441,3
 70000,스위트 패밀리,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/04/04/642b986cbf806.jpg,70000,441,3
 100000,본관 스탠다드 더블,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/18/64656be16d97e.jpg,100000,442,3
 90000,신관 스탠다드 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/18/64657790dcd09.jpg,90000,442,1
 60000,신관 스탠다드 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/10/64abc100c38ea.jpg,60000,442,2
 90000,본관 슈페리어 더블,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3ffcc58c.jpg,90000,442,2
 50000,신관 슈페리어 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3c480628.jpg,50000,442,2
 80000,[조식 2인 패키지] 본관 스탠다드 더블,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/18/64656be16d97e.jpg,80000,442,3
 100000,[조식 2인 패키지] 신관 스탠다드 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/05/18/64657790dcd09.jpg,100000,442,4
 70000,[조식 2인 패키지] 신관 스탠다드 트윈,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/10/64abc100c38ea.jpg,70000,442,4
 100000,신관 슈페리어 오션뷰 체크인 시 배정,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f48feeea3.jpg,100000,442,3
 70000,[조식 2인 패키지] 본관 슈페리어 더블,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3ffcc58c.jpg,70000,442,3
 50000,[조식 2인 패키지] 신관 슈페리어 트윈,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3c480628.jpg,50000,442,2
 100000,본관 프리미엄 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3dca0abf.jpg,100000,442,2
 80000,[단독! 특전 패키지] 본관 프리미엄 더블,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3dca0abf.jpg,80000,442,1
 70000,[조식 2인 패키지] 신관 슈페리어 오션뷰 체...,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f48feeea3.jpg,70000,442,3
 80000,본관 프리미엄 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323a212dd1b.jpg,80000,442,1
 50000,[단독! 특전 패키지] 본관 프리미엄 트윈,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323a212dd1b.jpg,50000,442,4
 90000,본관 프리미엄 스위트,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323b63a90ef.jpg,90000,442,1
 80000,[단독! 특전 패키지] 본관 프리미엄 스위트,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323b63a90ef.jpg,80000,442,1
 90000,[조식 2인 패키지] 본관 프리미엄 더블,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f3dca0abf.jpg,90000,442,4
 50000,[조식 2인 패키지] 본관 프리미엄 트윈,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323a212dd1b.jpg,50000,442,3
 50000,본관 VIP,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/13/65016bc641908.jpg,50000,442,2
 100000,[단독! 특전 패키지] 본관 VIP,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/13/65016bc641908.jpg,100000,442,3
 60000,[조식 2인 패키지] 본관 프리미엄 스위트,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/10/20/65323b63a90ef.jpg,60000,442,1
 100000,본관 스위트,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f463b79c0.jpg,100000,442,1
 80000,신관 VIP,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f49e33810.jpg,80000,442,3
 80000,[조식 2인 패키지] 본관 VIP,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/09/13/65016bc641908.jpg,80000,442,2
 50000,[조식 2인 패키지] 본관 스위트,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f463b79c0.jpg,50000,442,2
 50000,[조식 2인 패키지] 신관 VIP,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/22/6493f49e33810.jpg,50000,442,4
 70000,스탠다드 (공기청정기 넷플릭스),2,8, //image.goodchoice.kr/resize_370x220/adimg_new/75859/536549/72ea598f2a545cc1a493335a3e0a615b.jpg,70000,443,3
 100000,온돌 (공기청정기 넷플릭스),2,6, //image.goodchoice.kr/resize_370x220/adimg_new/75859/536551/f95c89339528a80bbbb83ecf781f27e2.jpg,100000,443,1
 80000,트윈 (슈퍼싱글+슈퍼싱글/공기청정기 넷플릭스),2,7, //image.goodchoice.kr/resize_370x220/adimg_new/75859/536550/d7889683cc5420352ea55bd485ab9a1a.jpg,80000,443,2
 80000,★스탠다드  도보특가 ★ (주차문의  넷플릭스...,2,4, //image.goodchoice.kr/resize_370x220/adimg_new/73258/490841/d9eb60cfd9d6a2743f23bccc8b8eb0a3.jpeg,80000,444,1
