Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
50000,오션테라스룸 504호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102e9d5fe29.jpg,50000,481,3
 70000,오션테라스 스파룸 406호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,70000,481,3
 80000,가든더블룸 301호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,80000,481,2
 90000,가든더블룸 310호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,90000,481,3
 70000,가든더블룸 210호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,70000,481,3
 80000,테라스룸 106호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64103161caa76.jpg,80000,481,1
 100000,가든더블룸 201호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,100000,481,4
 60000,가든더블룸 501호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,60000,481,4
 50000,테라스룸 104호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64103161caa76.jpg,50000,481,1
 50000,가든더블룸 410호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,50000,481,1
 50000,테라스룸 105호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64103161caa76.jpg,50000,481,3
 90000,가든더블룸 401호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,90000,481,3
 70000,가든더블룸 510호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410305f79eb7.jpg,70000,481,2
 60000,오션테라스룸 505호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102e9d5fe29.jpg,60000,481,4
 60000,오션테라스룸 507호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102e9d5fe29.jpg,60000,481,4
 80000,오션테라스룸 506호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102e9d5fe29.jpg,80000,481,2
 70000,오션테라스 스파룸 405호,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,70000,481,1
 80000,오션테라스 스파룸 304호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,80000,481,2
 100000,오션테라스 스파룸 305호,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,100000,481,4
 60000,오션테라스 스파룸 404호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,60000,481,1
 50000,오션테라스 스파룸 407호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,50000,481,4
 80000,오션테라스 스파룸 204호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,80000,481,2
 90000,오션테라스 스파룸 307호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,90000,481,1
 80000,오션테라스 스파룸 306호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,80000,481,4
 60000,오션테라스 스파룸 205호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,60000,481,4
 50000,오션테라스 스파룸 207호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,50000,481,3
 100000,오션테라스 스파룸 206호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/6410300eaa871.jpg,100000,481,2
 60000,오션스파룸 508호,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102f521f1aa.jpg,60000,481,3
 60000,오션스파룸 303호,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102f521f1aa.jpg,60000,481,4
 60000,오션스파룸 403호,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/03/14/64102f521f1aa.jpg,60000,481,4
