Lodge_name,Lodge_address,Lodge_rate,Lodge_type,Lodge_RealImgName,Lodge_Tel,Lodge_content,Lodge_SellerInfo_BusinessNum
소노문 단양,충북 단양군 단양읍 상진리 41,8.7,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2022/09/02/6311ad99c4c9f.jpg,15884888,사장님 한마디                    중부내륙 관광 중심지 단양에 위치한 호텔로 충주호  월악산  소백산 등 천혜의 자연을 배경으로 휴양을 즐기기에 좋은 곳입니다.                주변정보소금정공원 부근대성산산림욕장 차량 6분단양생태체육공원 차량 8분취사 시설특가 및 패키지상품 2박 이상의 경우  1박씩 각각 예약 진행 하셔야 합니다예약시 유의사항코로나로 인하여 탄력적으로 운영되고 있습니다이용 전 소노호텔&리조트 공식 홈페이지 내 영업장 운영시간 및 운영여부 사전확인 반드시 부탁드립니다기본정보체크인 : 15:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의 무료 WIFi (로비만 가능)전 객실 금연  Bath Amenity (치약  칫솔 유료)주차 가능 (무료)인원 추가 정보기준인원 외 인원 추가 시  1인 1박 당 11 000원   침구추가 1박당 25 000원영유아 인원수 포함   최대인원 초과불가현장결제펫 객실 안내펫 프렌들리 스위트 (PET) 안내객실명 내 (PET) 표기된 객실에 한하여 반려견 동반 가능12kg 이하 소형견만 동반 입실 가능 (단  법적 맹견 기타 공격성이 강한 견종은 동반 투숙 불가)5대 접종+2년이내 광견병 접종확인서+2년이내 종합백신 접종확인서생후 5개월 미만 반려견 입실 불가 (단  광견병 접종 완료 반려견은 가능)객실 타입별 반려견 동반 기준: 패밀리   스위트 기본 1마리(추가 1마리까지 가능)  1마리당 추가요금 3만원투숙 시 제공 물품: 방석  식기  배변판 패드  탈취제  물티슈  롤러 테이프  리드줄(리드줄 프런트 대여)엘리베이터  객실 복도에서는 유모차  가방 이용  반드시 반려견을 안고 이동그 외 공공지역 이동시 동물보호법에 의거 목줄착용필수  목줄길이 최대 1.5m 이내객실 내 반려견만 남겨두고 외출시 퇴실 조치(안전사고  분리불안으로 인한 짖음 등)식음업장 이용불가리조트 호텔 전 지역에서 반려견 배변 시 배설물은 고객이 직접 바로 치워야 함다른 고객 및 반려견에게 심한 짖음  공격성을 보이는 등으로 피해를 줄 경우 퇴실 조치부대시설 정보부대시설 이용 전 소노 호텔&리조트 홈페이지에서 세부 운영 내용 확인 부탁드립니다노래방편의점BBQCU 편의점   07:00~23:00레전드 히어로즈사우나오션플레이   매주 수요일 클렌데이로 인한 휴장 (현장 상황에 따라 변동 가능)화요일 입실로 예약시 화요일만 가능   수요일 입실로 예약시 목요일만 이용 가능실외존 기간별 미운영 시설 소노호텔앤리조트 홈페이지 참고조식 정보셰프스 키친   East Tower 지하 1층   주중 07:30~10:30  주말 07:00~10:30   메뉴 및 이용시간은 현장 상황에 따라 변동될 수 있음1인 35 000원 (성인)  23 000원 (초등학생)  16 000원 (37개월 이상~7세 이하)   증빙서류 지참 필수현장결제취소 및 환불 규정취소 수수료는 체크인 1일자 기준으로  전체 예약 금액에 취소 접수한 일자의 수수료가 적용됩니다[비수기]체크인일 기준 5일 전 24시까지 : 0% 부과체크인일 기준 4~2일 전 23시까지 : 10% 부과체크인일 기준 2일전 23시 이후~1일 전 23시까지 : 20% 부과체크인일 1일전 23시 이후~당일 및 NoShow : 100% 부과 및 환불 불가취소 및 환불시 수수료가 발생할 수 있습니다[연휴 및 성수기] : 2023년 7월 21일~8월 26일  9월 27일~30일  10월 1일~2일  10월 6일~8일체크인일 기준 7일 전 24시까지 : 0% 부과체크인일 기준 6~2일 전 23시까지 : 10% 부과체크인일 기준 2일 전 23시 이후~1일 전 23시까지 : 20%부과체크인일 1일전 23시 이후~당일 및 NoShow : 100% 부과 및 환불 불가취소 및 환불시 수수료가 발생할 수 있습니다확인사항 및 기타객실 상품 (Room only) 만 구매할 경우  패키지 상품 증정이 어려우니 참고 부탁드립니다해당 호텔은 예약이 확정되지 않을 수 있습니다최대인원 초과시 입실 불가합니다위의 정보는 리조트의 사정에 따라 변경될 수 있습니다해당 이미지는 실제와 상이 할 수 있습니다체크인 시 배정 또는 베드타입 미기재 상품은 특정객실과 베드타입을 보장하지 않습니다해당 객실가는 세금  봉사료가 포함된 금액입니다수영장 운영은 날씨 또는 호텔 상황에 따라 변동될 수 있습니다체크인아웃시간은 현장 상황에 따라 변동될 수 있습니다입실일 기준 만 19세 미만의 경우 부모의 동행 또는 미성년자 숙박 동의서 제출 필수 (소노호텔&리조트 홈페이지에서 다운로드가능)미성년자 숙박 동의서는 입실하는 미성년자 전원 기재하여 제출하셔야 됩니다 (미 기재된 인원은 숙박 불가)미성년자 숙박 동의서 제출시에도 이성과의 혼숙  음주는 허용되지 않습니다 (적발시 퇴실조치),1
 청주 호텔인모던청주터미널점,충북 청주시 흥덕구 가경동 14544,9.7,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/66768/348124/8d049cdfc909424cd6eff724a06c3884.jpg,050440549993,사장님 한마디                    ❤청주 최고사양 PC 설치❤  전객실 최고급 PC 설치   I510400   RAM 16GB   RTX2060   32인치(200MHZ)   7.1ch 해드셋 로지텍 G1   기계식키보드                주차장 정보주차공간 40대 이용가능.발렛파킹 가능합니다.주차공간이 협소로 가경레저타운건물(도보3분거리)에 주차하시면이용시간만큼 무료주차권을 지급해드립니다^^총 40대 주차시설 보유객실내부 시설★호텔소개★(주)호텔인카페가 만든 새로운 프리미엄 브랜드   호텔인모던   입니다.고객님께 최상의 서비스와 청결로 보답하고자 최선을 다하겠습니다.전 객실 최고급 PC설치전 객실 최고급 에이스침대 설치전객실 65인치  스위트룸 75인치 UHD TV설치 디럭스   프리미엄   스위트룸 욕조설치프리미엄이상 스파설치저소음 냉장고 설치전 객실 지포스 GTX 1660 SUPER 노하드 서버운영모든 객실 배틀 그라운드 게임 완벽구동 가능합니다.헤드셋 전객실 설치전 객실 LG퓨리케어 공기청정기 설치프리미엄 스위트룸 LG트롬 스타일러 설치전 객실 WIFI 설치2층 3층 5층 복도에 세탁기 건조기 배치 무료 이용 가능합니다.★ PC사양CPU  Intel I510400 코멧 레이크RAM  16GBVGA  지포스 RTX 2060네트워크  노하드마우스  로지텍 G102 프로디지 2세대키보드  기계식키보드(청축)모니터  32인치 게임용 200MHZ헤드셋  7.1채널 진동 헤드셋★전국 호텔중 pc사양 가장좋다고 자부합니다★모든 게임 완벽구동 가능합니다.노 하드 서버 운영   기존 설치 프로그램 외  당일 설치 불가합니다.★ 객실정보[스탠다드미니] 고사양배그PC(1대)  공기청정기  고급에이스침대  대형65인치TV  넷플릭스[디럭스] 고사양배그PC(1대)  공기청정기  고급에이스침대(스위트골드)  대형65인치 TV  욕조  샤워부스  넷플릭스[트윈] 고사양배그PC(1대)  공기청정기  고급에이스침대(스위트골드)  대형65인치 TV  욕조  샤워부스  넷플릭스[프리미엄] 고사양배그PC(2대)  공기청정기  고급에이스침대(스위트골드)  대형65인치TV  스파  스타일러  넷플릭스[커플pc] 고사양배그커플PC(2대)  고급에이스침대(스위트골드)  대형65인치TV  게이밍의자  공기청정기.넷플릭스[스위트] 고사양배그PC(2대)  공기청정기  고급에이스침대(스위트골드)  대형75인치 TV  욕조  스타일러  넷플렉스프런트 및 그 외 시설★대실 숙박 이벤트★대실 7+1숙박 10+1대실 7번 이용하시면 1번 무료 이벤트!숙박 10번 이용하시면 1번 무료 이벤트!_________________________________이용손님에 한해서 24시간 스낵바 무료개방.커피머신기  팝콘  얼음정수기  토스트기  전자레인지 등 무료로 이용가능합니다!각 층별 건조기&세탁기 설치 했습니다.렌즈통 렌즈액 와인잔 와인오프너 등프런트에서 제공해드립니다.컬러프린트  복사  인쇄  스캔 가능합니다.저희 호텔에서는 안전을 위해 고객의 소중한 물건  귀중품  현금 등을 프론트에 보관하시기를 권하고 있습니다.만일  개인 소지중인 물건의 분실이 발생했을 때에는 당 호텔에서는 배상하지 않으므로 양해 바랍니다._________________________________코로나방역수칙■전문 방역업체를 이용해 로비 스낵바 복도 객실 등 주1회 방역을 준수하고 있습니다.■전객실 공기청정기를 구비하고 있으며  주 2회 필터청소를 진행하고 있습니다.그 후  직원들도 방역소독 기계로 2차 방역을 실시하고 있습니다.■로비 스낵바 각층에 손소독제를 비치하고 있으며  전직원 마스크착용 및 손소독제를수시로 사용하여 안전에 각별히 유의하고 있습니다.,2
 청주 호텔 아담한,충북 청주시 흥덕구 복대동 85310,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/71236/21817/83d3ac0ff4fa210860cf71d9a411d69a.jpg,050240290597,사장님 한마디                      2022년 6월 신축 OPEN    전객실 RTX3050(배그PC). 55인치 스마트TV. 넷플릭스 무료시청                  주차장 정보  주차장 안내  주차장 보유 업소입니다.무료 발렛 서비스를 해드리니 편하게 내방하시기 바랍니다.객실당 1주차 가능입실시간 전 사전주차는 불가합니다.내수동로 33번길 6 삼보멘션 맞은편 아담한호텔 전용주차장총 40대 주차시설 보유객실내부 시설2022년 6월 신축 OPEN전객실 세스코 에어제닉 시스템 작동중...전객실 세스코 초밀도 방역방제 시스템 유지중..전객실 55인치 4K UHD 스마트TV전객실 NVIDIA GeForce RTX 3050(배틀그라운드 전용 PC)전객실 200hz 185hz 응답속도1ms 지싱크 모니터전객실 기계식키보드  7.1ch 로지텍G102전객실 유튜브 리얼4K 화질감상 가능전객실 리모컨 다이렉트 넷플릭스 유튜브 시청가능전객실 최고급 8세대 CPU전객실 고데기  FREE WIFI전객실 린넨 100% 오리털 침구전객실 C타입 5핀 8핀 케이블충전기 구비완료프런트 및 그 외 시설이용 및 이벤트성인 3인이상 혼숙 금지(가족제외)모든객실 2인기준금액  인원추가시 현장에서 인원추가비 결제 부탁드립니다평일(월~금) 연박시 대실료 면제 (토요일 일요일 연박시 대실비 추가 )토요일 일요일 연박 고객님은 현장에서 대실료 결제 진행합니다.현장 현금 이체 결제시 숙박료 할인 (전화예약가능)쿠폰이벤트 대실5회 무료1회대여 및 기본 서비스대여품목 : 휴대폰 충전기(추가 필요 시)이불(추가시유료)(프런트에 신분증 보관 후 무료로 대여가 가능합니다)기본구비 : 일회용 젓가락  일회용숟가락구급의약품 필요 시 프런트에 요청 후 수령하세요.분실물 보관 : 미수령 분실물은 최대 2주 보관 후 폐기됩니다.예약(계좌입금 현금 카드)취소 규정당일취소: 0% 환불1일전취소:50% 환불2일전취소:70%환불3일전취소:100%환불,3
 청주 더휴식 아늑호텔 우암 2호점,충북 청주시 청원구 우암동 34213,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73183/23424/857769c7124f4a47c410754721962812.jpg,050240293594,사장님 한마디                      Grand Open 2022.12.28  전 객실 및 화장실에서 금연입니다.흡연 적발 시 해당 객실 환기 되는 시간 동안의 판매 불가능한 점에 대한보상+청소비용인 10만원 청구 됩니다.염색약등 세탁이 불가능 한 물품 사용으로 인한벽지와 린넨류(카페트 러그포함) 오염 및 훼손 문제 발생 시 이에 대한 책임은 고객님께 있음을 전해드리며 배상이 필요하다고 판단 될 시 비용이 청구 될 수 있음을 고지해드립니다.예약문의시  0432571967더휴식 아늑 청주 2호점 환불 규정안내.7일 전 : 10% 공제 후 환불5일 전 : 30% 공제 후 환불3일 전 : 50% 공제 후 환불2일 전 : 80% 공제 후 환불1일 전 및 당일 : 환불불가                주차장 정보1객실 1주차입니다(추가차량 입고시 대당 10 000원)총 18대 주차시설 보유객실내부 시설AANK은 더휴식 프랜차이즈 호텔입니다.전 객실 금연 입니다. 객실 내부나 화장실에서 연초 흡연 시 청소 비용 부과되며근처 객실에서 흡연 행위에 대한 항의로 인하여 적발 될 시환불 없이 바로 퇴실 조치 되십니다. 아늑을 찾아주시는 모든 손님들께서 편안히  머물다 가시기 위한 호텔 규정 입니다.반드시 연초 흡연은 건물 외부에서 부탁 드립니다.미성년자는 이용이 제한되어 입실 시에 신분증을 확인하오니 양해 부탁 드립니다.부모님 동반 아닌 이상 미성년자 분들은 절대 입실 불가기준 인원 초과 시 1인 1만원 발생합니다.최대 인원 외에 절대 입실 불가.(환불불가)유아 동반 시 미리 연락 주세요.남 여가 섞여서 3인 이상은 이용 불가합니다..풍선이벤트하시는경우 (벽지 커튼에 테이프붙이면안됩니다.)객실 내 음식 반입시 벽지 손상에 주의해 주세요.(손상시 배상요구)과도한 손상 시 배상 책임은 고객 님에게 있습니다 객실요금은 2인 1실 기준(1~2인이하)이며  인원이 초과 시에는 추가 요금이 가산 됩니다. 1객실 1주차 입니다.(추가시 1대당 1만원) 객실은 숙박이외의 목적으로 사용할수 없으며 다른 손님에게 피해를 주는 소란은 삼가하여 주시기 바랍니다. 펫(Pet)룸의 경우 5kg미만 1마리 기준이며  최대 2마리까지 입실 가능 합니다.(1마리당 2만원)프런트 및 그 외 시설▶대여목록 및 이용안내◀렌즈 케이스 & 렌즈 액일회용 젓가락 & 숟가락전자레인지 & 여분 생수1층 셀프 바에 마련 해 놨습니다.고데기 와인 오프너 충전기는프런트에 문의 해주세요.추가 안내사항아늑호텔은 원래 낡고 오래된 모텔이었습니다.저희는 모텔을 매입하고  깔끔한 인테리어  다양한 컨텐츠  더 나은 휴식을 위한아이템들을 더해 새로운 형태의 <콘텐츠 호텔>로 만들어가고 있습니다.객실에서는 영화  플레이스테이션  음악 등 20종 이상의 컨텐츠를 경함할 수 있고 로비에는 평소 써보고 싶었던 제품들을 체험해볼 수 있는 공간을 마련해놨습니다.또 전문적인 교육을 받은 직원이 체계 잡힌 응대 서비스를 제공하고 여러분이 머무는 공간의 청결 상태를 책임집니다.아늑호텔의 모든 객실에서 OTT 서비스  크리에이터들의 작품이 담긴 액자 더 나은 휴식을 위해 아늑호텔이 직접 개발한 고이고이 침구류와 어메니티를경험해 보실 수 있습니다.  지원 OTT 서비스 : 넷플릭스   디즈니플러스   유튜브,4
 일라이트 호텔,충북 영동군 영동읍 매천리 산 3547,9.8,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/07/25/64bf5b498c98a.jpg,0439210000,사장님 한마디                    영동 레인보우 힐링 관광단지 인근에 위치한 호텔로 일상에서 벗어나 자연의 아름다움을 경험하실 수 있습니다                주변정보과일나라테마공원 차량 1분영동군민운동장 차량 2분영동역 차량 3분기본정보체크인 : 15:00 | 체크아웃 : 11:0022시 이후 체크인 시 호텔 프론트 문의무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 미제공)주차 가능 (객실당 1대 무료)인원 추가 정보전 객실 인원추가 불가침대 및 침구 추가 불가영유아 포함   최대 인원 초과 불가투숙객 혜택짐 보관 가능프린터 사용 가능부대시설 정보연회장   2층   호텔 문의비즈니스 센터   2층   호텔 문의레스토랑   1층   23년 8월 중 오픈 예정GS25 편의점   1층   23년 8월 중 오픈 예정인피니티풀(실내 수영장)   정상 요금: 성인 30 000원  소인 20 000원 → 투숙객 할인 요금: 성인 16 000원  소인 10 000원주중(일~목) : 09:00~12:00   13:00~16:00   17:00~20:00 (성인 전용)주말(금~토) : 09:00~11:30   12:00~14:30   15:00~17:30   18:00~20:30 (성인 전용)대여료: 구명조끼 5 000원  비치타월 8 000원  가운 10 000원 (보증금 각 10 000원   대여 용품 반납 시 반환)취사 시설전 객실 취사 불가취소 및 환불 규정체크인일 기준 3일 전 17시까지 : 100% 환불체크인일 기준 3일 전 17시 이후~2일 전 17시까지 : 50% 환불체크인일 기준 2일 전 17시 이후~1일 전 17시까지 : 30% 환불체크인일 기준 1일 전 17시 이후~당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다미성년자는 보호자 동반 없이 이용이 불가합니다이미지는 실제와 상이할 수 있습니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다,5
 충주 호텔 쁠랑충주시청점,충북 충주시 연수동 857,9.9,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/73141/490683/5ad7a17ceb3dfc2d794e2263dfe72d1a.jpg,050240560503,주차장 정보총 30대 주차시설 보유주변 정보충주유흥상권(구.연수동) 도보 이용				충주먹자상권(신.연수동) 차량 5분				충주시청 300m 도보 4분				충주종합운동장 차량 8분				충주호관람선(충주나루) 차량 15분				충주활옥동굴 차량 18분				수주팔봉 출렁다리 차량 18분				중앙탑사적공원&탄금호 차량 12분				충주봉황자연휴양림 차량 20분				주변골프장 킹스데일GC 대영힐스CC 임페리얼레이크CC				중원골프클럽 센테리움CC 동촌골프클럽				올데이컨트리클럽 일레븐컨트리클럽 로얄포레컨트리클럽				스타CC 세일컨트리클럽 레인보우힐스CC		객실내부 시설COVID19 대응 더욱 강화된 살균 소독 매일 방역 시스템!!							깔끔한 위생 관리를 위해 객실 침구를 절대 재 사용 하지 않습니다.							(무독성  친환경 인테리어 자재 사용함)							2023년그랜드오픈! 스타일러 LG스마트75  TV 넷플릭스 웨이브무료시청							스타일러  게이밍PC지포스3060(배틀그라운드 LOL등 모든 게임 렉없이 작동)							공기청정기							헤드셋 고데기 무료대여							전 객실 퀸 사이즈 최고급 매트리스							안마의자 (프리미엄 안마  스위트 객실)프런트 및 그 외 시설한강라면조리기 세탁기  건조기  커피머신 제빙기(컵얼음) 등 제공추가 안내사항성수기 및 특정일  공휴일(전일 포함)에는 요금이 변동될 수 있습니다.							촛불 사용이나 염색  물건 투척 등 파손 시 변상조치될 수 있습니다.							외출 시 카드키는 프론트에 보관해 주세요.							분실물 보관 시  미수령 분실물은 최대 4주 보관 후 폐기됩니다.							연박 이용 시  별도 추가요금 없습니다.							예약 당일은 취소가 불가합니다.(환불 불가)							전 객실 2인까지 입실기준입니다.(추가인원 당 1만원 부과)							동행인을 포함한 모든 입실 고객님의 신분증 확인을 진행하고 있습니다.							신분증 미소지 시 입실이 불가하며  이에 따른 환불도 불가합니다.,6
 오송 빈센트 HOTEL,충북 청주시 흥덕구 오송읍 봉산리 980,9.5,호텔,//image.goodchoice.kr/resize_490x348/affiliate/2023/06/29/649d3d7b1ff62.jpg,0432347000,사장님 한마디                    오송역 근처에 위치한 프리미엄 비즈니스 호텔로 비즈니스와 관광을 포함한 다양한 고객이 만족할 수 있는 맞춤형 공간을 제공합니다                주변정보오송역 8번 출구 도보 15분오송역 버스 이동 17분 소요기본정보체크인 : 15:00 | 체크아웃 : 12:0022시 이후 체크인 시 호텔 프론트 문의무료 WiFi전 객실 금연Bath Amenity (치약  칫솔 무료)주차 무료 (객실당 1대   지하 9대  지하 기계 40대  지상 외부 50대 주차 가능)인원 추가 정보기준인원 외 인원 추가 불가침구 및 침대 추가 불가영유아 인원수 포함   최대인원 초과 불가현장 결제객실 이용안내객실 별 온도조절 가능  바닥 난방투숙객 혜택짐 보관 가능프린터 이용 가능전 객실 넷플릭스 이용 가능 (호텔 계정)퇴실 시 아메리카노 테이크아웃 무료 서비스이용 장소: 빈센트 카페이용 시간: 07:00~10:00 (매주 월요일 휴무)부대시설 정보카페   1층   10:00~20:00   매주 월요일 휴무코인 세탁실 운영 (드럼세탁기  건조기)조식 정보레스토랑   1층   06:00~09:00   매주 월요일 휴무체크인 시 사전 결제: 1인 10 000원  조식 이용 당일 결제: 1인 15 000원취사 시설전 객실 취사 불가취소 및 환불 규정체크인일 기준 1일 전 24시까지 : 100% 환불체크인일 기준 당일 및 Noshow : 환불 불가취소  환불 시 수수료가 발생할 수 있습니다확인사항 및 기타위의 정보는 호텔의 사정에 따라 변경될 수 있습니다미성년자는 보호자 동반 없이 이용이 불가합니다이미지는 실제와 상이할 수 있습니다체크인 시 배정 상품 또는 베드 타입이 미기재된 상품은 특정 객실과 베드 타입을 보장하지 않습니다객실가는 세금  봉사료가 포함된 금액입니다,7
 청주 저스트스테이호텔충북대점,충북 청주시 서원구 사창동 2579,9.6,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/64842/323790/20a75c27799a4c3363301ffbc4e2f90d.jpg,050440698843,사장님 한마디                    JUST STAY는 JUST SLEEP HOTEL의 패밀리 그룹으로JUST SLEEP의 실속형 소형 호텔 브랜드 입니다.좋은 잠자리 본연의 가치를 위한 BEDDING 과 AMENITY 제품은JUST SLEEP과 동일한 제품을 채택 했습니다.우리는 매일 숨 가쁜 일상 속에서 삶(LIFE)의 이유를 잊은 채 살아가고 있지는않은가요?잠시나마 숨 가쁜 일상을 떠나 잠깐의 휴식(REST)을 통해 삶의 이유를 찾아보는건어떨까요?NO REST  NO LIFE 휴식 없이는 삶도 없습니다.                혜택안내요금할인주차장 정보객실당 최대 1대 차량만 가능합니다.총 10대 주차시설 보유주변 정보충북 중심의 충북대 중문(사창사거리)바로  앞  청주 전 지역 차량20분 가능객실내부 시설JUST STAY는 좋은 잠자리에 영향을 미치는 매트리스  베개  침구류  토너 에멀전  욕실 어메니티 등 크고 작은 모든 품목을 직접 엄선하여 세팅합니다.JUST STAY는 좋은 잠자리를 위해 BEDDING과 AMENITY 분야에서 최고의 전문 기업과 협업을 진행합니다.with 좋은숙박연구소 by yanolja(침구류)  커넥티드 블랭크(매트리스)  에스엠인터내셔날(어메니티)침구: 100% 오리털이불(순면 100%  40수  220T l 가 대실 이용시 청소 객실점검으로 입실 시간이 딜레이 될 수 있습니다.헤드셋 대여프런트 및 그 외 시설위치: Information 옆시설: LG 스타일러  커피머신  전자레인지  정수기  제빙기  냉 온 음료 냉장고복합기: 인쇄  스캔  복사  팩스 이용 가능합니다SHOP: 수면용품  코스메틱 등 구매 가능합니다.,8
 참좋은글램핑,충북 제천시 봉양읍 옥전리 3962,7,펜션,//image.goodchoice.kr/resize_490x348/affiliate/2023/08/29/14/1684039952225d4xYuO8I4zcYYA2L96s.jpg,01097509815,사장님 한마디                    산과 하천 자연 그대로의 모습을 볼 수 있는 자연 친화적인 글램핑으로자연속에서 캠핑을 즐기며 편안한 휴식을 누릴 수 있습니다                주변정보의림지 차량 21분박달재자연휴양림 차량 19분치악산자연휴양림 차량 20분공지사항21시 이후 체크인 시 사전 문의 필수연박시 연박 추가요금발생 (인원추가요금  바베큐 비용 등)개인 화기용품(버너  전기 가스그릴 및 숯  그릴  에어프라이어 등) 사용 불가기본 정보입실 : 15:00 | 퇴실 : 11:0022시 이후 입실 시 사전문의 (필수)무료 WiFi전 객실 금연주차 가능픽업 불가인원 추가 정보기준인원 초과 시 추가금액 발생 현장결제24개월미만 무료25개월~19세이하 20 000원성인 20 000원영유아 기준인원 포함 및 추가요금 발생   최대인원 초과불가현장결제펜션 서비스시설 이용문의 및 비용 별도 펜션문의[시설]주차장 무료 이용일산화탄소 감지기 설치[매점]직영 운영 유료이용시간: 09:00~20:00바비큐 시설[개별 테라스 바베큐]숯+그릴 이용 : 인원 상관없이 30 000원이용시간: 17:00~22:00전기그릴 사용 불가우천시 이용 가능불멍 20 000 추가 시15 000원현장결제취소 및 환불 규정숙박일 기준 7 일 전 : 100% 환불숙박일 기준 6 일 전 : 90% 환불숙박일 기준 5 일 전 : 85% 환불숙박일 기준 4 일 전 : 80% 환불숙박일 기준 3 일 전 : 70% 환불숙박일 기준 2 일 전 : 50% 환불숙박일 기준 1 일 전 : 30% 환불숙박일 기준 당일 및 NOSHOW : 환불불가취소  환불시 수수료가 발생할 수 있습니다확인사항 및 기타최대 인원 초과시 입실이 불가 합니다 (방문객 불가)보호자 동반없는 미성년자는 이용하실 수 없습니다전 객실 애완동물 출입이 불가합니다해당 이미지는 실제와 상이 할 수 있습니다이용시설의 분실 및 훼손의 책임은 이용자에게 있으니 주의부탁드립니다객실 내에서는 화재위험물질 (화약  폭죽 등)은 사용 하실 수 없습니다 (화재로 인한 책임은 이용자에게 있습니다)쓰레기는 지정된 장소에 분리하여 주시기 바랍니다위의 정보는 펜션의 사정에 따라 변경될 수 있습니다성수기 기간동안 일부 객실의 경우 요금변동이 있을 수 있습니다,9
 청주 벨리노호텔,충북 청주시 흥덕구 가경동 14574,9.7,모텔,//image.goodchoice.kr/resize_490x348/adimg_new/59153/10080/29312e3f6a335d82dbf819de2c40bb19.jpg,050213799537,사장님 한마디                    Simmons 프리미엄 매트리스5성급 호텔에서 사용하는 시몬스 최고급형 뷰티레스트 프리미업급 침대사용5성급 호텔에서 사용하는 330T 순면 100%침구류사용침대 50mm 탑퍼(Topper) 탑재한 Heavenly Bed구현호텔 내 외부 방역완료전 객실 Netflix 시청 가능고사양 PC설치 완료                혜택안내요금할인주차장 정보주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)주변 정보 청주 시외 고속터미널 3분거리(도보) 서청주IC 10분거리 (차량운행시) 청주공항 30분거리 (차량운행시) 청주 MBC 5분거리 (도보) 청주 CGV 3분거리 (도보)객실내부 시설 모든 객실 금연방입니다. 한번 사용하신 침구류는 재사용을 하지 않습니다. 편안하고 안전한 발렛 파킹 서비스(객실1개당 1대까지) 티비 다시보기(연속극 스포츠 본방송 보지 못하신 프로그램 10분후면 다시보기 가능!) 객실 노하드 컴퓨터 설치 (최고사양) B1층 간단한 조식 서비스(뽀글이라면 토스트 커피 외 군것질거리 운영) #인생 사진관(카페테리아에서 좋은 추억 사진 찍으세요!)  전객실 고대기 및 드라이 설치 전객실 보보 비데설치 무료영화시스템 오리털 침구 은나노 배게(잠이 솔솔 옵니다!) 전객실 55인치 스마트티비 설치 PC연결 비즈니스룸 운영 팩스 복사 프린터 스캔(객실 컴퓨터에서 프린터 출력 가능) 모닝콜 서비스 페이백 전객실 1:1와이파이 설치 운영 스마트폰 고속 충전기 대여 퇴실 10분전에 전화 주시면 가져오신 차량을 대기해드립니다. 미성년자 절대 출입 금지(20살되면 오세요!^^) 전 객실 2인 기준으로 1인 추가당 추가 요금 발생,10
