Lodge_Roome_Price, Lodge_Room_Type_Name, Lodge_Room_Type_MinCapacity, Lodge_Room_Type_MaxCapacity, Lodge_Room_Type_Img, Lodge_Room_Type_Price,Lodge_idx,Lodge_Room_Type_Count
100000,[숙박 페스타] 패밀리(취사/스탠다드/트윈),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18f1492fe.jpg,100000,521,3
 60000,[숙박 페스타] 패밀리(클린/스탠다드/더블),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18c4cf5f0.jpg,60000,521,4
 50000,[SONO 2 NIGHTS STAY] 패밀리(취사/스탠다드/...,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18f1492fe.jpg,50000,521,4
 70000,[SONO 2 NIGHTS STAY] 패밀리(클린/스탠다드/...,2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18c4cf5f0.jpg,70000,521,4
 100000,[SONO 2 NIGHTS STAY] 스위트(취사/스탠다드/...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d1973caca8.jpg,100000,521,2
 50000,[숙박 페스타] 패밀리(취사/스탠다드/온돌),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/64b8cbdd663a5.jpg,50000,521,2
 100000,[숙박 페스타] 패밀리(취사/스탠다드/더블),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18f78f3b6.jpg,100000,521,2
 80000,[SONO 2 NIGHTS STAY] 패밀리(취사/스탠다드/...,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/64b8cbdd663a5.jpg,80000,521,4
 80000,[SONO 2 NIGHTS STAY] 패밀리(취사/스탠다드/...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18f78f3b6.jpg,80000,521,4
 70000,[Moonlight 패키지] 패밀리(취사/스탠다드/온돌),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/18/64df0d3eea129.jpg,70000,521,2
 80000,[Moonlight 패키지] 패밀리(취사/스탠다드/더블),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/18/64df0d3eea129.jpg,80000,521,4
 80000,패밀리(취사/스탠다드/온돌),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/07/20/64b8cbdd663a5.jpg,80000,521,2
 80000,패밀리(취사/스탠다드/더블),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18f78f3b6.jpg,80000,521,4
 70000,[숙박 페스타] 패밀리(취사/레이크뷰/더블),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18e52fed5.jpg,70000,521,3
 50000,[숙박 페스타] 패밀리(클린/레이크뷰/더블),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18b276853.jpg,50000,521,2
 50000,[숙박 페스타] 스위트(취사/스탠다드/온돌),2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d195d2f0d2.jpg,50000,521,3
 50000,[SONO 2 NIGHTS STAY] 패밀리(취사/레이크뷰/...,2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18e52fed5.jpg,50000,521,1
 90000,[SONO 2 NIGHTS STAY] 패밀리(클린/레이크뷰/...,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18b276853.jpg,90000,521,4
 50000,[단양투어 패키지] 패밀리(취사/스탠다드/온돌),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d509e9e2012.jpg,50000,521,4
 60000,[단양투어 패키지] 패밀리(취사/스탠다드/더블),2,7, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d509e9e2012.jpg,60000,521,1
 70000,[SONO 2 NIGHTS STAY] 스위트(취사/스탠다드/...,2,4, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d195d2f0d2.jpg,70000,521,3
 80000,[스마트 초이스 2연박] 패밀리(취사/스탠다드...,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d50a434e1a5.jpg,80000,521,4
 100000,[스마트 초이스 2연박] 패밀리(취사/스탠다드...,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d50a434e1a5.jpg,100000,521,2
 90000,[Moonlight 패키지] 패밀리(취사/레이크뷰/더블),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/18/64df0d3eea129.jpg,90000,521,4
 50000,[Moonlight 패키지] 패밀리(클린/레이크뷰/더블),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/18/64df0d3eea129.jpg,50000,521,2
 80000,패밀리(취사/레이크뷰/더블),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18e52fed5.jpg,80000,521,3
 80000,패밀리(클린/레이크뷰/더블),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d18b276853.jpg,80000,521,4
 90000,[숙박 페스타] 스위트(클린/레이크뷰/더블),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d186e236ea.jpg,90000,521,1
 90000,[Moonlight 패키지] 스위트(취사/스탠다드/온돌),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2023/08/18/64df0d3eea129.jpg,90000,521,1
 60000,스위트(취사/스탠다드/온돌),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2023/06/29/649d195d2f0d2.jpg,60000,521,3
 50000,[스마트 초이스 2연박] 패밀리(취사/레이크뷰...,2,7, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d50a434e1a5.jpg,50000,521,3
 70000,[스마트 초이스 2연박] 패밀리(클린/레이크뷰...,2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d50a434e1a5.jpg,70000,521,4
 70000,[단양투어 패키지] 패밀리(취사/레이크뷰/더블),2,5, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d509e9e2012.jpg,70000,521,1
 100000,[단양투어 패키지] 패밀리(클린/레이크뷰/더블),2,6, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d509e9e2012.jpg,100000,521,1
 100000,[단양투어 패키지] 스위트(취사/스탠다드/온돌),2,8, //image.goodchoice.kr/resize_370x220/affiliate/2022/07/18/62d509e9e2012.jpg,100000,521,1
